"GENE_SYMBOL","GSM4128049","GSM4128050","GSM4128051","GSM4128052","GSM4128053","GSM4128054"
"A1BG",0,1,17,0,12,2
"A1CF",1,0,0,0,0,0
"A2M",3470,2237,1226,809,3790,1156
"A2ML1",3,144,0,0,3,0
"A3GALT2",0,0,0,0,1,0
"A4GALT",151,11,160,44,274,0
"A4GNT",0,0,0,0,0,0
"AAAS",94,462,122,73,63,0
"AACS",224,1319,338,167,295,1
"AADAC",1,0,0,0,7,0
"AADACL2",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0
"AADAT",15,0,15,0,4,0
"AAGAB",284,373,211,568,645,1
"AAK1",1184,864,1087,960,1017,63
"AAMDC",144,452,267,423,255,3978
"AAMP",677,58,354,910,801,1
"AANAT",0,0,0,0,0,0
"AAR2",262,837,527,721,1003,2199
"AARD",3,38,105,13,205,0
"AARS2",80,200,84,37,181,0
"AARSD1",12,10,12,0,9,1
"AASDH",62,118,65,4,71,0
"AASDHPPT",154,131,134,205,233,1
"AASS",23,0,14,0,28,0
"AATF",159,451,217,122,734,1
"AATK",72,33,66,432,147,2
"ABAT",28,40,64,687,92,0
"ABCA1",719,41,594,104,289,355
"ABCA10",29,37,14,9,71,0
"ABCA12",4,13851,132,608,146,2
"ABCA13",0,8,0,0,0,0
"ABCA2",110,160,252,94,227,403
"ABCA3",53,58,123,518,263,0
"ABCA4",4,8,17,1,271,0
"ABCA5",355,148,258,300,337,966
"ABCA6",235,36,67,42,377,0
"ABCA7",251,277,208,136,86,0
"ABCA8",51,15,0,1,292,0
"ABCA9",85,17,16,0,17,0
"ABCB1",63,1,11,0,15,0
"ABCB10",22,7,20,10,24,0
"ABCB11",0,0,0,0,0,0
"ABCB4",10,29,44,13,5,0
"ABCB5",9,0,0,0,10,0
"ABCB6",0,3,1,0,3,0
"ABCB7",212,100,74,211,52,1
"ABCB8",97,579,204,193,94,14
"ABCB9",27,287,138,166,165,0
"ABCC1",30,28,19,1,56,0
"ABCC10",119,32,126,159,89,0
"ABCC11",0,1274,88,125,1,1
"ABCC12",0,0,212,112,0,0
"ABCC2",0,112,0,0,0,0
"ABCC3",340,1,326,759,52,3879
"ABCC4",68,31,44,45,54,0
"ABCC5",805,292,1233,1247,2959,6
"ABCC6",0,121,20,0,249,0
"ABCC8",18,5,20,27,71,0
"ABCC9",92,4,74,81,58,0
"ABCD1",62,90,75,56,360,0
"ABCD2",8,5,0,0,0,0
"ABCD3",167,132,245,183,495,0
"ABCD4",89,22,34,135,57,0
"ABCE1",121,70,135,95,140,0
"ABCF1",756,1379,963,524,654,60
"ABCF2",261,332,229,355,280,0
"ABCF3",114,318,132,175,192,0
"ABCG1",318,145,223,211,537,1
"ABCG2",36,2,18,1,13,0
"ABCG4",0,1,4,0,1,1
"ABCG5",0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0
"ABHD1",17,0,0,166,14,0
"ABHD10",549,2440,1051,1413,942,1415
"ABHD11",119,1922,382,977,1651,23
"ABHD12",440,412,422,668,864,1362
"ABHD12B",0,4,0,0,13,0
"ABHD13",92,95,34,91,179,0
"ABHD14A",141,170,61,86,120,0
"ABHD14A-ACY1",0,0,0,0,0,0
"ABHD14B",382,1071,248,884,406,408
"ABHD15",229,101,187,513,144,0
"ABHD16A",0,0,0,0,1,0
"ABHD16B",0,0,0,0,0,0
"ABHD17A",25,0,9,0,3,0
"ABHD17B",30,14,10,4,82,0
"ABHD17C",256,918,535,4302,667,2200
"ABHD2",616,247,555,521,5683,2
"ABHD3",134,472,86,40,257,0
"ABHD4",151,77,326,255,489,24
"ABHD5",83,3,5,55,61,1
"ABHD6",136,354,23,17,43,0
"ABHD8",63,107,85,100,54,1
"ABI1",236,339,264,98,759,0
"ABI2",367,64,322,379,788,425
"ABI3",157,38,72,105,71,0
"ABI3BP",175,16,33,55,24,0
"ABL1",836,210,1404,1693,1151,3
"ABL2",437,321,651,447,663,470
"ABLIM1",379,1181,218,129,915,2441
"ABLIM2",20,27,16,0,75,0
"ABLIM3",140,199,68,375,130,0
"ABO",50,6,45,0,563,0
"ABR",495,169,255,228,469,1
"ABRA",0,0,0,0,0,0
"ABRACL",542,347,544,520,305,149
"ABT1",180,39,177,415,130,97
"ABTB1",213,18,142,116,287,1
"ABTB2",46,257,85,4,100,20
"ACAA1",486,578,272,277,908,0
"ACAA2",217,107,444,328,467,504
"ACACA",207,2336,266,606,305,0
"ACACB",1028,47,289,117,611,1
"ACAD10",355,762,306,1092,278,0
"ACAD11",1,0,2,0,1,0
"ACAD8",68,151,168,208,158,0
"ACAD9",225,878,384,256,695,1
"ACADL",0,210,0,0,0,0
"ACADM",375,8863,378,837,730,5
"ACADS",189,11,138,102,86,1
"ACADSB",128,161,102,197,909,0
"ACADVL",1926,1113,1725,2398,2418,4
"ACAN",2,0,0,9,32,0
"ACAP1",529,0,114,0,22,707
"ACAP2",193,46,93,160,156,0
"ACAP3",266,278,608,487,311,0
"ACAT1",109,7,56,12,48,0
"ACAT2",195,454,459,392,411,282
"ACBD3",943,94,1006,1378,1369,1
"ACBD4",145,69,91,534,256,0
"ACBD5",88,91,115,77,116,0
"ACBD6",203,129,179,327,387,977
"ACBD7",0,0,0,0,0,0
"ACCS",363,59,127,55,179,674
"ACCSL",0,0,0,0,0,0
"ACD",145,45,120,20,523,154
"ACE",412,77,285,159,156,0
"ACE2",0,2502,1,0,1,53
"ACER1",0,0,0,0,0,0
"ACER2",0,0,0,0,0,0
"ACER3",394,47,279,392,259,1509
"ACHE",6,0,3,0,3,0
"ACIN1",346,89,178,196,118,2
"ACKR1",595,99,16,19,292,0
"ACKR2",37,58,44,19,65,0
"ACKR3",20,0,96,9,37,0
"ACKR4",1,0,9,0,0,0
"ACLY",622,3100,1166,2925,2798,1852
"ACMSD",0,0,0,0,0,0
"ACO1",454,500,249,310,335,0
"ACO2",602,2980,1003,1504,1215,650
"ACOT1",0,18,0,0,54,0
"ACOT11",107,1,87,2,85,0
"ACOT12",0,0,0,0,0,0
"ACOT13",294,310,281,189,432,0
"ACOT2",64,69,125,139,132,1
"ACOT4",83,715,72,905,247,0
"ACOT6",0,0,0,0,0,0
"ACOT7",66,56,72,102,168,1
"ACOT8",109,233,114,123,263,3
"ACOT9",252,90,316,84,249,10
"ACOX1",462,1215,630,910,981,61
"ACOX2",18,34,6,44,28,0
"ACOX3",196,1543,187,364,2187,1976
"ACOXL",0,0,0,0,0,0
"ACP1",294,1074,337,826,957,260
"ACP2",972,645,770,520,656,0
"ACP5",3105,737,977,134,139,829
"ACP6",213,344,135,433,182,1
"ACR",0,0,0,0,0,0
"ACRBP",49,4,47,0,3,0
"ACRV1",0,0,9,0,0,0
"ACSBG1",2,10,0,0,3,0
"ACSBG2",3,0,0,0,0,0
"ACSF2",74,273,155,305,151,2
"ACSF3",104,88,122,62,164,7
"ACSL1",398,648,139,45,271,38
"ACSL3",730,19043,851,5359,2245,3
"ACSL4",283,33,315,220,505,4
"ACSL5",356,65,96,56,157,1
"ACSL6",18,1,1,0,1,0
"ACSM1",0,1777,0,34,30,0
"ACSM2A",6,0,0,0,0,0
"ACSM2B",5,0,0,0,0,0
"ACSM3",11,18,13,32,25,10
"ACSM4",3,0,0,0,0,0
"ACSM5",61,0,4,0,183,0
"ACSM6",3,1,0,0,0,0
"ACSS1",648,1192,299,1314,1199,0
"ACSS2",327,593,280,151,267,0
"ACSS3",28,721,33,6,114,0
"ACTA1",2,0,0,13,26,0
"ACTA2",3564,2369,11308,2829,19371,3378
"ACTB",4351,2905,4951,3652,5947,1273
"ACTBL2",0,0,0,0,0,0
"ACTC1",0,0,2,0,20,8
"ACTG1",9499,750,10011,8389,15510,1127
