"GENE_SYMBOL","GSM7744827--R002","GSM7744829--R008","GSM7744830--R009","GSM7744832--R010","GSM7744833--R012","GSM7744834--R013","GSM7744836--R014","GSM7744837--R015","GSM7744838--R016","GSM7744839--R017","GSM7744841--R018","GSM7744842--R019","GSM7744843--R020","GSM7744844--R021","GSM7744845--R022"
"A1BG",27,55,45,71,8,68,7,45,6,16417,195,91,85,131,161
"A1CF",1,2,11,1,26,4,0,0,13,21337,1,21,1,0,15
"A2M",7875,19143,56224,10879,110483,29284,184380,320761,47905,105241,16596,273866,59013,1161,62569
"A2ML1",941,674,124,0,8,138,4265,2624,7,923,2336,4023,2772,91,399
"A3GALT2",0,2,14,0,0,0,0,0,24,0,239,16,0,0,6
"A4GALT",574,852,1545,127,2452,2151,3950,7843,413,307,471,5960,2357,535,2217
"A4GNT",0,4,0,5,1,0,6,0,0,0,48,17,0,0,0
"AAAS",2536,2204,3292,6920,4186,3489,4108,4862,5443,4105,7772,5089,3761,1800,4750
"AACS",910,2395,2598,8230,14312,2602,7862,10425,7448,5467,3066,7974,9331,2685,8439
"AADAC",0,0,0,0,128,49,1514,0,0,30215,5,1,114,5,29
"AADACL2",1,0,0,0,6,0,1,0,0,0,16,0,0,1,0
"AADACL3",0,2,1,0,0,2,1,0,1,1,0,0,0,1,0
"AADACL4",0,0,0,0,16,0,0,0,1,0,0,0,0,0,0
"AADAT",1938,881,892,121,469,300,394,309,3416,4933,1324,1470,2738,244,621
"AAGAB",4066,4128,5871,10548,4008,4518,4753,15327,11653,4866,6698,7824,8997,1642,9251
"AAK1",780,2720,2718,1301,7210,5576,4328,2872,1721,1492,5941,4212,4539,2439,3972
"AAMDC",1715,2641,4144,35357,6777,2699,5434,1816,2674,4161,5961,3953,5060,544,4542
"AAMP",16518,12968,15388,15750,17493,12820,16314,13688,29885,18102,25048,18667,17731,3018,18524
"AANAT",2,8,14,0,0,10,5,21,43,11,1,0,4,14,29
"AAR2",8825,4750,5996,14143,7322,4848,8011,6826,9853,9247,5822,12267,10788,1501,7180
"AARD",1249,3748,5323,7,14,16,30643,5447,1210,1726,20771,53853,109,229,65784
"AARS2",1421,1412,1891,2900,1609,2123,2593,6317,5092,2703,4878,3689,2593,361,4675
"AARSD1",213,184,266,483,200,164,216,278,458,253,728,503,155,49,302
"AASDH",1468,1012,860,1743,1154,1139,1053,1388,2405,1015,1656,1401,2078,850,2119
"AASDHPPT",5377,2409,2878,4510,4690,3084,4606,5449,15142,5601,3533,7869,7067,1891,7349
"AASS",329,400,57,47,2082,230,825,148,114,1860,681,65,121,17,295
"AATF",5251,3074,5390,21549,5206,7603,6650,7816,13980,6442,7542,11915,8792,1728,10291
"AATK",445,84,306,95,306,305,144,363,740,288,1540,674,2,267,461
"ABAT",1630,258,475,5349,875,450,543,288,383,26866,269,326,1500,561,67
"ABCA1",470,1406,2403,564,7185,13252,5114,3583,713,2337,955,2982,3941,1021,1769
"ABCA10",8,13,0,1,458,19,382,13,2,10,132,1,43,0,51
"ABCA12",7,85,12,107,0,440,198,320,1,103,590,43,453,18,11
"ABCA13",2,11,0,0,1,34,8,194,65,87,2973,1910,1493,114,3030
"ABCA2",2072,644,637,1000,2763,1505,2605,3498,2524,2678,1717,856,2881,131,7082
"ABCA3",9048,2264,1307,14059,2588,1338,3013,7274,6983,2159,7171,6082,1268,1747,10034
"ABCA4",328,35,149,255,64,43,237,1,148,633,2188,931,26,137,3864
"ABCA5",92,578,175,939,2404,509,940,1020,642,3741,4954,1380,1018,260,1229
"ABCA6",20,178,287,40,3436,583,2680,572,65,5362,102,103,829,113,217
"ABCA7",129,334,278,1100,2411,648,2029,1489,599,661,1339,1388,1877,971,902
"ABCA8",60,25,25,62,14580,196,6954,125,20,1859,28,140,356,34,133
"ABCA9",1,22,7,4,987,55,528,8,23,394,57,67,228,1,149
"ABCB1",325,104,133,78,396,30,1017,361,1546,1815,19,23,2124,0,125
"ABCB10",4686,2158,2721,6477,2914,2582,3745,2245,6590,5364,5225,6467,3420,1622,12716
"ABCB11",0,0,4,0,34,1,2,0,0,1743,0,0,31,8,0
"ABCB4",8,30,55,180,181,127,137,17,85,8103,17,104,146,170,230
"ABCB5",0,0,32,0,38,0,24,0,36,0,78,13,5,1,32
"ABCB6",331,140,362,354,803,332,410,425,867,759,618,350,326,38,273
"ABCB7",1671,798,1276,2112,1210,1159,1411,1004,3775,2172,2555,1814,1864,587,2254
"ABCB8",2093,1767,4319,3895,2915,2075,3963,1550,12965,3776,3589,4389,3925,389,4306
"ABCB9",447,530,472,4567,264,1066,845,1466,424,2312,1771,1108,1632,324,3877
"ABCC1",4145,805,1920,1849,1155,2743,1935,3453,2322,1036,1665,5627,3901,1519,1732
"ABCC10",1228,1633,1617,1976,1154,1773,2157,3382,3226,2068,1682,3226,2470,135,7377
"ABCC11",23,47,31,69,104,7,83,9,44,151,63,56,572,37,83
"ABCC12",11,0,0,0,0,1,6,0,4,0,0,2,10,0,2
"ABCC2",8,2,9,399,199,233,50,180,72,4634,20,79,6,43,18
"ABCC3",313,746,1139,103,519,10569,742,1130,2700,5882,421,686,3677,1262,4881
"ABCC4",3788,1135,963,153,728,1219,1158,3113,6739,4209,342,1594,13651,1908,7212
"ABCC5",3655,2450,3229,189,969,1237,1431,2602,4807,1884,6048,9759,3111,616,7374
"ABCC6",126,161,925,1963,2686,179,3907,322,59,10554,92,159,1126,134,25
"ABCC8",0,0,1,587,1,0,18,0,0,1,134,1,1425,0,0
"ABCC9",386,257,266,186,4194,1412,4080,2541,1126,2275,201,1299,640,153,569
"ABCD1",526,678,2941,1704,2040,2580,2176,865,1572,2213,793,3508,4851,482,1203
"ABCD2",2,174,1,0,5845,22,2311,0,46,87,54,51,904,33,79
"ABCD3",4838,4107,6742,9088,4105,2192,4431,3003,17558,12005,8478,6983,5523,1270,28177
"ABCD4",1788,2429,3470,4164,5437,3813,7242,2471,2401,6015,3697,3107,4810,275,3142
"ABCE1",15891,5638,7393,6542,6498,5760,5753,10489,29282,7190,5677,14375,9884,3403,14769
"ABCF1",6686,9284,5487,8874,5454,9594,8415,9048,10725,6221,15595,20674,9381,2821,16526
"ABCF2",9197,6586,11227,8239,7493,4678,8781,9889,51300,4405,6731,14972,7911,956,9645
"ABCF3",6899,3677,7465,10939,7129,5886,6403,8167,23855,7243,11684,14414,11595,1546,20126
"ABCG1",699,998,2808,9810,4043,10886,6548,3390,1231,3066,2358,4364,17377,1214,31360
"ABCG2",66,59,408,175,716,172,677,533,168,3469,22,176,369,1468,2356
"ABCG4",17,1,10,14,63,0,73,144,0,11,65,314,29,6,0
"ABCG5",22,15,48,6,49,0,12,6,42,4526,60,17,0,2,4
"ABCG8",1,0,19,0,9,1,16,0,0,7590,0,0,1,1,0
"ABHD1",111,159,87,96,305,10,393,75,73,362,145,167,49,30,40
"ABHD10",1908,3315,3531,6352,3313,2057,2947,4256,9170,4666,6320,7464,5472,1215,11975
"ABHD11",3008,4304,10702,12292,2092,2556,6883,4563,10350,6987,7214,9265,10525,1661,15634
"ABHD12",10622,10285,13246,19594,6439,10516,13987,11941,10139,13936,19825,15761,20301,2619,43839
"ABHD12B",14,143,28,2,80,196,70,2,10,19,249,139,111,199,19
"ABHD13",7207,1870,1964,2906,2465,1782,2256,3614,4252,2088,2934,3054,3733,1921,3741
"ABHD14A",1322,1725,1761,1135,3491,1751,2635,1272,3386,2565,2968,2328,2475,1041,2102
"ABHD14A-ACY1",6,11,14,8,18,6,11,4,12,33,16,26,9,2,19
"ABHD14B",2239,2076,1846,9318,14097,3416,10444,7201,4489,11521,3343,2996,3608,1338,4135
"ABHD15",460,744,861,2650,11625,1548,4816,898,1157,5592,2098,764,2509,541,1315
"ABHD16A",540,507,994,1080,482,458,545,732,1512,1166,859,1067,990,142,1164
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD17A",4856,5293,5851,8039,8911,9243,10178,7019,4002,5969,7171,8930,8732,5231,10495
"ABHD17B",2003,1565,1757,4910,1215,1103,1824,1705,2520,1926,1282,2835,2802,839,1520
"ABHD17C",3353,5152,2953,10766,559,1777,1654,11012,3605,1019,2701,3529,2379,1083,7239
"ABHD2",1226,3166,2486,2021,2687,7063,4266,21704,3027,10918,10582,5709,6483,2146,7296
"ABHD3",1176,2216,2844,9309,3066,1297,2258,2378,1963,3184,5182,4795,5448,1717,6092
"ABHD4",1723,1860,4689,7484,5611,5070,6570,2646,5785,2496,6254,3487,7834,1196,2631
"ABHD5",1920,957,1457,2767,8341,1661,3374,1904,2984,1272,2814,2971,1145,1321,3522
"ABHD6",256,739,1095,1597,4255,1459,2335,1761,1148,6605,399,1453,2420,201,889
"ABHD8",7755,1247,2448,1209,1456,2774,1110,1336,1869,2397,2056,2449,3819,424,2025
"ABI1",6915,5283,10905,13240,7187,7679,6076,7921,13020,11013,7489,27336,14207,4358,13636
"ABI2",8848,5712,3071,2166,2360,3579,3427,4121,6280,3806,10680,6464,3021,1166,16370
"ABI3",665,2437,3352,1099,1300,2103,2744,1671,1479,2352,408,743,5868,2530,3362
"ABI3BP",68,578,327,380,4747,455,4189,1062,56,342,186,828,1836,5,1497
"ABL1",8192,1810,3847,5540,8401,7360,11049,5729,12620,7072,3730,14495,7043,391,5613
"ABL2",2030,3323,1213,2428,1210,4908,2965,5721,2642,1338,5501,7963,1506,926,4245
"ABLIM1",2774,5887,18076,8405,17875,2997,19676,2211,15600,4133,1294,15225,11193,3114,9506
"ABLIM2",490,6,768,64,345,548,820,1661,490,86,543,171,432,29,1117
"ABLIM3",160,47,490,1706,11599,1560,9042,1754,286,3259,309,682,2259,653,325
"ABO",474,123,36,39,472,70,419,139,48,30,192,116,67,104,405
"ABR",2888,2047,1952,3990,4243,11781,4110,4560,3354,2624,4098,7240,10120,1912,8959
"ABRA",0,20,8,4,22,0,0,0,0,5,0,0,1,0,16
"ABRACL",10131,11775,23551,5752,1724,6638,6426,3043,22167,12995,21153,10738,10484,7128,40288
"ABT1",10619,5851,9240,11175,4751,7446,5476,6476,8495,6704,10319,15383,7387,4058,12947
"ABTB1",1837,1442,5128,1832,8902,4700,6455,3303,1416,2410,4905,5608,4869,8681,4876
"ABTB2",966,1383,2179,993,328,356,732,2844,6058,1318,1481,11611,2204,412,488
"ACAA1",2498,2923,7610,3864,9662,5162,10269,5035,11228,36901,8694,6584,4592,2770,6657
"ACAA2",15374,2543,11777,1122,28373,9113,24241,2987,29354,60467,12337,9028,7126,2651,11428
"ACACA",1886,1656,1762,3815,8408,1142,3936,3082,6045,5594,4282,5439,4153,111,3281
"ACACB",311,576,327,1432,52001,444,17203,61,465,4247,4131,552,424,151,898
"ACAD10",1131,1260,991,5400,2610,858,2601,3616,3008,3997,5281,3176,2038,519,3471
"ACAD11",13,14,20,34,151,14,77,49,39,220,55,55,60,0,47
"ACAD8",1858,2026,5089,1426,4478,2095,4414,2344,11522,4265,2723,5083,8585,946,4959
"ACAD9",3308,4117,5779,5804,8177,3653,5233,7051,13255,6002,9527,17326,5501,1548,11636
"ACADL",7,87,73,0,4624,30,1436,19,124,2084,3,76,1220,15,0
"ACADM",5913,3922,9336,8757,14188,3271,7947,2867,16019,25082,10464,5233,9045,1740,22864
"ACADS",1686,2167,3577,3236,28754,4211,15836,2791,2413,33434,7112,4374,3784,394,3119
"ACADSB",939,1415,384,7556,4212,868,3351,1109,1212,40405,1365,1863,3010,149,6251
"ACADVL",12014,8498,26744,21861,59212,29819,56015,25288,52576,65893,60813,42066,47297,5912,36510
"ACAN",20,573,124,90,23,157,937,823,243,0,520,3715,134,0,693
"ACAP1",564,1632,808,493,2167,1991,1069,1183,70,1553,3843,364,7652,5235,1075
"ACAP2",5723,4735,5252,5138,6341,7532,5644,6399,7607,3438,17687,11690,8654,8605,17537
"ACAP3",1011,1614,2611,3344,2254,3172,4043,2366,2225,3450,3494,1933,2287,143,7695
"ACAT1",3359,4438,6288,5457,23766,3602,15156,3444,23389,86402,4993,11035,13973,1816,6443
"ACAT2",10296,4228,4356,2839,2891,2453,2744,2871,17058,27422,5334,8565,4177,1794,5909
"ACBD3",7699,4040,7030,23026,5372,9823,8297,10200,10117,12356,23682,24540,8593,2274,27870
"ACBD4",1069,361,696,2272,1871,867,2309,637,831,6025,983,819,1115,438,541
"ACBD5",3306,1982,3840,5925,4488,3390,3890,2671,4757,12096,2862,7316,4655,1544,6846
"ACBD6",9577,5275,4881,6267,2918,4384,4607,3243,8287,6595,10322,14044,4368,3106,12776
"ACBD7",275,126,16,1,7,16,6,88,173,150,201,40,4,198,151
"ACCS",257,394,1154,42,803,290,735,348,871,615,895,662,916,6,1025
"ACCSL",0,1,0,0,0,0,2,0,0,0,0,0,1,40,0
"ACD",2939,955,3297,1590,1815,2781,2459,3093,2157,1803,2456,3870,2541,903,3336
"ACE",272,1019,836,391,3265,7788,3382,4916,1406,970,838,1321,3994,25,1229
