"GENE_SYMBOL","GSM4673091--P1","GSM4673101--P3","GSM4673107--P11","GSM4673108--P11","GSM4673110--P13","GSM4673111--P13"
"A1BG",0,0,2,0,0,0
"A1CF",0,1,0,0,0,0
"A2M",34,8,30,15,70,14
"A2ML1",2880,1978,179,797,0,4
"A3GALT2",0,0,0,0,0,0
"A4GALT",48,58,129,95,45,18
"A4GNT",0,0,0,0,0,0
"AAAS",12,0,12,3,5,7
"AACS",36,22,43,58,11,6
"AADAC",5,0,0,0,0,0
"AADACL2",1,0,0,1,0,0
"AADACL3",0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0
"AADAT",0,2,4,0,0,0
"AAGAB",14,6,40,23,4,5
"AAK1",42,31,67,90,30,24
"AAMDC",10,27,4,8,26,12
"AAMP",280,138,197,92,35,33
"AANAT",0,0,0,0,0,1
"AAR2",192,414,299,102,86,33
"AARD",1,2,0,0,0,0
"AARS2",14,19,12,14,13,10
"AARSD1",7,0,6,1,1,1
"AASDH",8,5,3,1,0,1
"AASDHPPT",29,23,16,24,15,10
"AASS",1,4,4,13,0,0
"AATF",19,15,16,19,4,14
"AATK",47,22,11,14,94,158
"ABAT",11,7,6,15,7,14
"ABCA1",13,9,12,16,40,170
"ABCA10",0,0,0,0,2,0
"ABCA12",23,9,4,7,0,0
"ABCA13",3,1,7,8,0,1
"ABCA2",13,18,26,11,16,42
"ABCA3",9,8,3,4,6,7
"ABCA4",0,0,0,0,0,0
"ABCA5",8,15,8,6,9,4
"ABCA6",3,0,0,1,3,5
"ABCA7",85,106,121,92,68,140
"ABCA8",0,1,0,0,0,3
"ABCA9",1,0,1,0,0,0
"ABCB1",4,3,6,1,3,2
"ABCB10",6,4,5,14,2,5
"ABCB11",0,0,0,1,0,0
"ABCB4",0,0,0,0,0,1
"ABCB5",0,0,0,0,0,1
"ABCB6",2,13,17,8,1,5
"ABCB7",11,6,4,5,3,3
"ABCB8",215,150,117,121,73,23
"ABCB9",38,29,16,8,5,4
"ABCC1",112,93,161,124,35,33
"ABCC10",48,31,25,24,25,24
"ABCC11",0,0,0,0,1,0
"ABCC12",0,0,0,0,0,0
"ABCC2",18,30,0,0,0,0
"ABCC3",102,58,36,18,31,33
"ABCC4",0,9,5,4,12,7
"ABCC5",82,41,248,247,13,10
"ABCC6",0,0,5,0,0,2
"ABCC8",0,0,0,0,0,0
"ABCC9",7,2,10,6,8,5
"ABCD1",9,36,21,32,26,28
"ABCD2",0,0,1,0,2,2
"ABCD3",51,19,22,25,16,8
"ABCD4",7,11,4,4,10,8
"ABCE1",319,290,280,170,158,56
"ABCF1",51,26,22,14,31,28
"ABCF2",31,12,12,39,10,18
"ABCF3",80,17,80,49,17,27
"ABCG1",7,11,11,7,10,37
"ABCG2",0,2,0,1,1,0
"ABCG4",1,12,0,5,2,0
"ABCG5",0,0,0,0,0,1
"ABCG8",0,0,0,0,0,0
"ABHD1",3,2,1,0,0,0
"ABHD10",50,3,36,16,13,10
"ABHD11",6,10,22,5,2,0
"ABHD12",26,12,25,15,17,14
"ABHD12B",0,2,2,0,1,0
"ABHD13",12,10,8,8,7,10
"ABHD14A",2,2,0,0,0,0
"ABHD14A-ACY1",0,0,0,0,0,0
"ABHD14B",15,14,9,10,6,19
"ABHD15",132,85,182,129,61,31
"ABHD16A",7,2,1,1,0,6
"ABHD16B",0,0,1,0,0,2
"ABHD17A",45,58,51,40,22,19
"ABHD17B",12,8,8,3,0,4
"ABHD17C",20,12,16,19,4,8
"ABHD2",120,449,245,287,263,220
"ABHD3",45,56,47,41,43,46
"ABHD4",9,7,5,5,4,2
"ABHD5",25,10,2,11,9,30
"ABHD6",87,4,19,13,3,1
"ABHD8",15,14,10,5,12,9
"ABI1",38,44,31,25,10,65
"ABI2",29,51,60,32,13,13
"ABI3",5,10,4,0,3,6
"ABI3BP",0,0,8,1,0,2
"ABL1",28,17,60,64,47,35
"ABL2",37,18,41,38,36,65
"ABLIM1",112,162,95,205,15,4
"ABLIM2",67,69,73,71,11,1
"ABLIM3",12,67,25,25,87,66
"ABO",8,1,20,42,0,0
"ABR",43,51,32,116,70,206
"ABRA",0,0,0,0,0,0
"ABRACL",16,16,26,13,8,35
"ABT1",38,13,17,8,2,8
"ABTB1",4,15,6,12,22,66
"ABTB2",27,41,5,5,9,1
"ACAA1",287,200,73,50,27,65
"ACAA2",5,1,8,3,14,12
"ACACA",71,11,27,14,5,8
"ACACB",19,35,44,31,23,8
"ACAD10",3,10,4,4,0,12
"ACAD11",5,2,1,0,0,0
"ACAD8",18,15,16,4,7,8
"ACAD9",223,97,82,34,17,12
"ACADL",0,0,0,0,0,0
"ACADM",20,36,14,6,15,6
"ACADS",255,119,173,159,70,61
"ACADSB",57,45,60,47,10,12
"ACADVL",76,74,65,58,31,43
"ACAN",4,1,0,0,2,4
"ACAP1",1,4,13,5,50,44
"ACAP2",110,37,74,125,34,60
"ACAP3",69,145,107,153,60,28
"ACAT1",26,22,35,28,19,7
"ACAT2",108,159,256,164,44,61
"ACBD3",89,38,77,58,42,18
"ACBD4",10,3,2,2,5,4
"ACBD5",178,78,103,82,72,59
"ACBD6",30,16,12,17,18,13
"ACBD7",0,0,2,0,0,0
"ACCS",4,4,19,25,7,8
"ACCSL",0,0,0,0,0,0
"ACD",8,8,17,11,5,3
"ACE",5,11,4,0,22,20
"ACE2",4,3,0,4,0,0
"ACER1",1,26,0,14,0,0
"ACER2",4,2,1,1,0,1
"ACER3",13,18,15,21,4,16
"ACHE",1,0,2,2,3,0
"ACIN1",333,218,184,104,143,123
"ACKR1",0,0,1,0,42,0
"ACKR2",1,0,1,0,2,0
"ACKR3",526,570,1283,595,125,119
"ACKR4",1,0,3,5,2,0
"ACLY",233,147,229,167,49,48
"ACMSD",0,0,0,0,0,0
"ACO1",20,10,24,8,13,14
"ACO2",170,105,106,95,71,35
"ACOT1",1,0,0,0,0,0
"ACOT11",18,16,9,6,0,6
"ACOT12",0,0,0,0,0,0
"ACOT13",20,15,9,2,17,17
"ACOT2",2,3,0,0,2,4
"ACOT4",4,2,2,1,0,4
"ACOT6",0,0,0,0,0,0
"ACOT7",23,25,40,20,5,7
"ACOT8",16,24,30,13,12,15
"ACOT9",11,4,7,15,15,37
"ACOX1",39,29,3,12,7,15
"ACOX2",0,0,0,0,0,0
"ACOX3",4,7,1,1,3,4
"ACOXL",0,5,0,0,0,0
"ACP1",59,25,58,58,34,16
"ACP2",52,54,35,22,25,17
"ACP5",96,94,111,96,64,86
"ACP6",10,5,4,10,0,6
"ACPP",18,10,3,5,5,2
"ACR",0,0,0,0,0,0
"ACRBP",0,0,0,0,0,2
"ACRV1",0,2,0,0,0,0
"ACSBG1",3,1,4,2,0,7
"ACSBG2",0,0,0,0,0,0
"ACSF2",63,18,5,9,13,17
"ACSF3",14,24,2,2,23,19
"ACSL1",56,29,52,60,67,820
"ACSL3",42,26,64,52,20,31
"ACSL4",5,16,24,37,178,125
"ACSL5",4,19,0,1,5,20
"ACSL6",0,0,9,11,1,0
"ACSM1",1,0,1,0,0,0
"ACSM2A",0,0,0,0,1,1
"ACSM2B",0,0,2,0,0,0
"ACSM3",0,0,4,1,0,1
"ACSM4",1,0,0,0,0,0
"ACSM5",3,0,1,0,0,0
"ACSM6",0,0,0,0,0,0
"ACSS1",6,7,36,19,16,1
"ACSS2",46,34,55,47,8,22
"ACSS3",0,2,1,3,2,0
"ACTA1",1,0,0,0,0,0
"ACTA2",165,124,768,97,117,38
"ACTB",3207,3484,2166,2172,2273,6520
"ACTBL2",0,0,0,0,0,0
"ACTC1",0,0,1,0,0,0
"ACTG1",928,742,959,849,351,677
"ACTG2",4,7,71,11,27,8
"ACTL10",3,9,17,9,1,0
"ACTL6A",21,22,42,40,6,6
"ACTL6B",0,0,3,0,0,0
"ACTL7A",0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0
"ACTL8",683,0,0,0,0,0
"ACTL9",0,0,0,0,0,0
"ACTN1",649,1406,631,532,953,1408
"ACTN2",1,0,0,0,0,0
"ACTN3",0,0,0,0,0,0
"ACTN4",211,119,240,240,68,83
"ACTR10",94,53,32,21,18,27
"ACTR1A",144,81,74,57,53,29
"ACTR1B",40,45,66,52,41,43
"ACTR2",1141,1238,1950,1087,541,650
"ACTR3",161,139,131,128,97,233
"ACTR3B",1,2,1,0,0,3
"ACTR3C",0,0,0,3,1,0
"ACTR5",2,3,5,2,3,4
"ACTR6",19,9,21,9,0,6
"ACTR8",16,13,4,2,4,3
"ACTRT1",0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0
"ACTRT3",11,2,16,5,0,0
"ACVR1",19,51,28,57,39,44
"ACVR1B",213,189,202,147,53,89
"ACVR1C",1,9,56,46,16,5
"ACVR2A",2,4,4,7,0,7
"ACVR2B",43,14,12,20,32,14
"ACVRL1",13,21,22,4,37,33
"ACY1",18,4,1,3,4,4
"ACY3",0,0,0,0,0,0
"ACYP1",11,11,19,5,3,1
"ACYP2",7,9,9,12,2,9
"ADA",3,7,7,7,2,3
"ADAD1",0,0,0,0,0,0
"ADAD2",2,0,1,1,0,0
"ADAL",5,2,6,1,1,1
"ADAM10",336,103,257,177,95,214
"ADAM11",16,9,1,3,3,1
"ADAM12",9,7,3,1,8,11
"ADAM15",93,36,46,74,14,21
"ADAM17",81,43,99,79,15,44
"ADAM18",0,0,0,0,0,0
"ADAM19",33,15,13,4,19,50
"ADAM2",0,0,0,0,0,0
"ADAM20",2,0,0,0,0,0
"ADAM21",0,0,0,0,0,0
"ADAM22",3,0,0,0,0,0
"ADAM23",4,15,23,29,5,0
"ADAM28",3,7,2,3,5,6
"ADAM29",0,0,0,0,0,0
"ADAM30",0,0,1,0,0,0
"ADAM32",2,0,0,4,0,0
"ADAM33",3,6,4,5,27,9
"ADAM7",0,1,0,0,0,0
"ADAM8",10,4,3,10,19,201
"ADAM9",234,124,124,63,85,176
"ADAMDEC1",10,2,0,0,4,65
"ADAMTS1",17,26,28,9,119,18
"ADAMTS10",2,10,2,2,12,6
"ADAMTS12",9,1,2,0,10,2
"ADAMTS13",2,5,1,2,0,0
"ADAMTS14",0,12,1,4,9,11
"ADAMTS15",8,13,0,5,3,0
"ADAMTS16",1,1,2,0,1,0
"ADAMTS17",11,0,1,4,2,1
"ADAMTS18",0,5,0,0,1,0
"ADAMTS19",0,0,0,0,0,1
"ADAMTS2",20,16,12,5,100,24
"ADAMTS20",0,0,0,2,0,0
"ADAMTS3",1,0,1,2,4,0
"ADAMTS4",6,8,13,2,18,4
"ADAMTS5",0,1,1,1,8,2
"ADAMTS6",0,2,5,1,3,8
"ADAMTS7",0,0,0,1,3,1
"ADAMTS8",0,6,35,4,0,3
"ADAMTS9",1,3,3,3,37,0
"ADAMTSL1",1,0,3,3,2,1
"ADAMTSL2",2,9,4,0,4,0
"ADAMTSL3",1,0,0,0,0,0
"ADAMTSL4",53,27,31,35,31,66
"ADAMTSL5",10,7,7,8,3,4
"ADAP1",28,71,59,35,19,67
"ADAP2",12,0,13,6,2,11
"ADAR",229,57,140,105,75,155
"ADARB1",59,38,35,19,57,30
"ADARB2",0,0,1,0,0,0
"ADAT1",19,7,3,7,3,5
"ADAT2",6,6,10,3,1,7
"ADAT3",1,4,0,3,0,0
"ADCK1",4,0,0,1,0,0
"ADCK2",526,239,269,192,46,40
"ADCK5",16,13,11,17,11,3
"ADCY1",5,3,19,9,0,3
"ADCY10",0,0,12,2,0,1
"ADCY2",0,0,0,1,2,0
"ADCY3",313,176,466,358,95,85
"ADCY4",2,3,4,7,15,3
"ADCY5",0,2,3,0,0,1
