"GENE_SYMBOL","S01","S02","S03","S06","S08","S10","S11","S12","S14","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S29","S30","S31"
"A2M",12.78558561,11.65049586,13.47346253,13.36300877,12.54218813,9.842755799,13.67868456,12.10886503,13.8023746,15.75275142,12.99489222,12.99489222,13.8023746,13.97839053,15.75275142,13.05000727,12.9231644,13.8023746,14.20277655,15.33454528,11.68159315,12.10886503,12.69274229,11.34178904
"ABCB1",9.859458477,11.39669916,12.10886503,9.470221313,10.49845654,12.24600004,8.742550382,10.44402172,11.88133891,11.68159315,11.51571174,10.54124278,10.74637584,10.91941446,11.90414044,10.78947195,9.659678505,11.57622378,10.11028446,11.5413939,11.51571174,11.17592642,11.44549134,10.01009687
"ABCF1",10.2508849,9.082440928,6.369685456,9.796830767,9.629045346,5.97698894,10.86511502,9.993066229,9.398337649,9.189719614,7.422953163,9.052536005,9.429981283,9.251582391,9.928523222,6.077521732,8.703996145,7.414976932,8.909842072,9.063804102,10.38853234,9.773339873,9.242497852,9.006494929
"ABL1",9.959460357,7.972316238,7.920641094,9.512521462,9.031545596,7.661578093,9.773339873,9.380835365,8.975056709,9.22087834,8.36056093,8.868807091,8.429517928,8.76502372,9.13387976,8.672014373,9.361372335,7.615784526,9.959460357,8.880945945,9.12777082,9.036490546,8.690123931,9.282655168
"ADA",10.16589301,8.43503057,8.86349004,8.488039571,8.92295585,10.05203166,8.583586579,8.577517186,8.627124421,8.118660168,8.574012027,8.231745867,8.692782514,8.652977873,8.550381393,8.790679538,8.747940597,10.12327029,8.437791936,8.142800535,8.612440184,8.132090592,8.392605993,8.860274812
"ADORA2A",10.41186098,8.208464387,9.115667774,7.920641094,8.36056093,8.944144148,7.985923873,8.196948969,7.969582816,7.633800573,8.980454209,7.806078494,7.618386956,8.684473261,8.716856461,9.251582391,8.957669411,8.484260642,8.424955648,7.863218563,5.727165714,7.358713436,8.077385908,7.204320108
"AGK",9.223070432,9.572764186,11.47025424,8.742550382,9.019322924,11.44549134,9.380835365,9.303184157,9.572764186,8.752450911,10.42656825,8.429517928,9.13387976,9.167632656,9.912841997,9.869572379,8.747940597,9.891644702,9.528275618,8.957669411,9.557742399,9.506193983,9.521238838,9.314248528
"AICDA",3.702382975,3.239394553,3.371364915,4.017996205,4.308025058,5.97698894,3.825212863,4.150219411,4.170382499,3.72762446,4.113275313,4.457619139,3.483829652,3.97769749,3.997846847,3.617594707,3.276055353,5.251387517,3.877051,3.812246973,4.612772809,3.825212863,3.239394553,3.967596465
"AIRE",8.49709531,8.484260642,9.004100508,7.474814358,7.483310234,9.582301057,8.525260786,8.144646964,6.851768437,7.331781807,8.963382147,7.270193827,7.460179031,7.88554341,8.614562773,8.756816672,8.418153218,9.506193983,8.405146305,7.850180552,8.215730949,7.751398457,7.823808246,7.685305259
"AKT3",10.56005047,9.747586975,10.95901651,10.23712629,10.32664048,11.75365188,8.820323195,9.76740385,9.227490436,9.724272107,10.56005047,9.582301057,9.449348376,9.564466046,8.432274249,10.28505558,10.2508849,8.371697779,9.740415998,8.966953429,8.712784521,9.539056061,9.634404303,9.326049944
"ALAS1",7.692046103,10.00708344,8.875147527,10.68228926,10.27942875,6.264949501,9.572764186,10.90334059,10.87955928,10.6708669,7.615784526,9.903915217,11.03094982,11.22088754,10.40207421,7.535096719,10.0802362,7.265062073,9.322660362,11.27525845,10.16589301,12.14377682,11.49510384,11.0777392
"ALCAM",6.047690794,8.528209929,6.12007541,9.429981283,10.26213034,7.131815044,8.674921176,10.12327029,10.04654262,10.80003033,7.123177014,9.859458477,10.29068241,9.340277464,10.30213141,6.57776104,9.344169744,8.178375157,9.470221313,9.163751781,9.693952184,10.22025013,9.706675215,9.993066229
"AMBP",13.36300877,13.30997293,12.391275,15.75275142,13.36300877,8.880945945,15.75275142,15.33454528,15.75275142,14.9235035,12.34539454,15.75275142,15.75275142,15.75275142,14.9235035,10.68228926,15.75275142,15.75275142,14.9235035,16.44054815,15.75275142,16.44054815,15.75275142,15.33454528
"AMICA1",9.697918214,9.912841997,10.27942875,9.1524985,8.593974036,10.17255535,9.790396977,8.883525312,9.740415998,9.833017943,9.478792662,9.604057489,9.773339873,9.082440928,9.358459913,10.78947195,9.842755799,8.36056093,9.4458642,10.16589301,9.197772997,9.194773361,9.161153237,10.18302647
"AMMECR1L",10.73684413,9.982375339,11.08864468,8.897652614,9.773339873,12.4427271,10.22025013,10.27942875,9.64291886,9.478792662,11.0474582,9.282655168,9.592399233,9.673969563,9.755919087,9.859458477,9.982375339,11.94090831,10.30213141,9.478792662,10.05203166,10.01009687,9.790396977,10.06208609
"ANP32B",11.70774708,10.42656825,9.790396977,11.36840484,11.12961288,10.04105357,11.57622378,10.11028446,10.76782179,10.99691617,10.83337207,10.06680793,10.16589301,9.833017943,11.16362306,10.85819932,10.42656825,11.3209348,11.47025424,10.34277445,10.37422105,10.52223285,10.35955878,10.65679742
"ANXA1",8.712784521,9.099933768,6.725302684,10.0802362,9.227490436,3.40162065,9.982375339,9.437092841,9.938599166,10.73684413,10.01990331,10.72001538,10.57242427,9.971381506,9.270430804,8.936882024,10.90334059,6.280948348,8.383205613,10.60971728,7.38602445,9.781598548,9.982375339,9.40257535
"APOE",15.33454528,15.75275142,15.75275142,16.44054815,13.67868456,7.630095403,14.65435826,15.75275142,16.44054815,16.44054815,13.58387453,16.44054815,16.44054815,16.44054815,16.44054815,13.87475092,16.44054815,16.44054815,16.44054815,15.75275142,16.44054815,15.75275142,16.44054815,16.44054815
"APP",11.68159315,9.364284756,7.792191597,11.44549134,11.42107664,4.675625916,10.99691617,12.29462228,12.85426195,12.4427271,9.828214045,12.34539454,12.14377682,10.9377498,12.4427271,9.161153237,13.05000727,10.60971728,11.88133891,11.42107664,12.05114726,10.90334059,12.05114726,10.01990331
"ARG1",8.745245489,8.990299741,10.57242427,13.22134834,11.22088754,8.80166959,11.7359146,12.99489222,11.65049586,11.44549134,9.417595671,11.47025424,12.10886503,14.9235035,10.65679742,8.246054343,10.28505558,10.73684413,8.596886053,11.80751257,12.9231644,12.391275,12.78558561,10.68228926
"ARG2",7.648896213,6.725302684,7.404721572,8.180436862,6.047690794,7.73757935,7.39138474,9.293535789,6.388154459,6.280948348,7.525490476,6.754189569,5.328154524,7.228158645,6.394673207,6.23371904,6.15465952,7.39138474,6.918966841,7.372360807,9.724272107,7.692046103,5.815431781,8.252629718
"ATF1",7.663758768,5.937482809,4.139596499,9.371494204,9.086794146,6.641433031,9.452832552,9.099933768,8.614562773,8.344176299,5.563249981,8.705866398,8.703996145,8.528209929,7.449304149,5.156544342,7.600851314,7.046419806,7.15337072,7.581386965,9.670342693,8.774627538,8.558403842,9.4458642
"ATF2",9.521238838,6.868874478,5.713983513,10.00407001,9.982375339,6.581770677,10.32664048,10.07152977,9.842755799,9.777469211,6.483621386,9.395583447,9.412541512,9.001706086,10.07152977,7.00106292,8.500078739,7.02277609,8.36056093,9.28801033,9.982375339,9.862510654,9.466589596,9.755919087
"ATG10",8.040746245,8.118660168,9.015613595,8.85474936,8.875147527,9.146757702,8.172726116,8.548718255,8.199276247,7.963741311,8.140134608,8.178375157,8.333250409,8.781198112,8.880945945,8.02119554,8.153249616,7.682067339,7.202225376,7.987856514,8.857512086,8.542384025,8.612440184,8.647812078
"ATG12",7.733914822,7.032135767,8.327323137,8.031402696,7.53224177,8.073284387,7.35207844,7.561231101,6.758142514,6.496818428,8.124420037,7.232226351,6.526338062,8.054053283,6.94728214,7.898477416,7.843343153,7.208767732,7.281061633,6.700598933,8.126243288,7.445595336,7.084025405,6.863239396
"ATG16L1",10.52223285,9.647630014,10.74637584,9.176168402,9.592399233,11.16362306,9.993066229,9.358459913,9.426315556,8.705866398,10.16589301,9.095156358,9.001706086,9.499609376,9.682321395,9.714679171,9.773339873,8.378911074,9.51688015,8.731675453,9.572764186,9.303184157,9.303184157,9.422649829
"ATG5",9.561104222,8.643870974,9.539056061,8.886104679,8.72894982,9.912841997,9.392829244,9.541989648,8.909842072,8.957669411,9.1524985,8.875147527,9.111959867,8.977755459,9.040303687,8.589329134,8.500078739,8.427236788,9.689986154,9.13387976,9.736412395,9.604057489,9.28801033,9.036490546
"ATG7",9.236075246,9.229718347,9.673969563,8.975056709,9.273212505,9.223070432,9.437092841,9.023032253,9.406813051,9.236075246,9.506193983,9.184665866,9.303184157,9.167632656,9.229718347,9.49634286,8.880945945,8.712784521,9.015613595,9.392829244,9.242497852,9.682321395,9.275994207,9.194773361
"ATM",9.040303687,7.283478003,7.169872305,7.596482225,7.63987691,8.062388587,6.992958639,7.75511313,5.97698894,7.103606586,7.35207844,7.703293496,6.000107683,7.087845984,7.963741311,7.810381271,6.981300757,7.194492835,8.596886053,7.656395615,7.792191597,6.257505333,6.857503916,6.089981384
"AXL",9.548921111,8.652977873,8.015112355,8.577517186,9.358459913,9.095156358,8.80166959,8.894852699,8.80166959,9.344169744,7.952947983,9.4458642,9.506193983,9.031545596,8.342116413,9.097545063,9.938599166,7.972316238,8.473448975,9.275994207,7.733914822,8.265961588,9.314248528,8.950012195
"BATF",7.810381271,7.815560757,8.418153218,6.460621562,8.870908915,8.067273418,7.259981948,6.851768437,6.938348069,7.598401739,8.85474936,7.678829419,7.283478003,7.087845984,6.328135,7.843343153,6.603386273,7.305882718,6.938348069,6.807743022,7.345608485,7.145319467,6.913220587,6.625253618
"BAX",10.62209028,10.5472852,10.64937064,10.35359732,10.44402172,10.77891356,10.76782179,10.37422105,11.19766951,10.19572853,10.19572853,10.01990331,10.72001538,10.3169505,10.35955878,10.07152977,10.73684413,10.56005047,10.83337207,10.30213141,10.26213034,10.17255535,10.18302647,10.34277445
"BCL10",10.42656825,10.32179549,11.83672428,9.993066229,10.48001738,12.29462228,10.0802362,10.0802362,10.63705195,9.855668592,11.44549134,9.755919087,9.796830767,9.51688015,10.35359732,10.26213034,9.682321395,11.47025424,10.16589301,9.938599166,10.97811082,10.37422105,9.865562831,10.81824678
"BCL2",7.855615013,9.40257535,8.624596598,8.140134608,8.612440184,7.175045302,7.494897691,8.484260642,7.930440494,8.531159072,9.158554692,8.793520932,8.456998258,8.102611804,8.796362326,10.13866538,8.018607172,8.315532186,6.754189569,7.441886523,8.252629718,7.419642673,8.490039347,8.188367725
"BCL2L1",12.05114726,10.34277445,8.067273418,10.74637584,10.6708669,9.298359973,11.34178904,10.49845654,10.40207421,11.19766951,8.550381393,10.83337207,10.64937064,10.45537563,10.97811082,9.409677282,10.41186098,10.41186098,11.80751257,10.29068241,11.80751257,11.70774708,10.45537563,11.0474582
"BCL6",10.2095304,9.965420932,6.965759527,9.652341167,10.22893157,5.777662793,10.01009687,9.638661581,10.41186098,9.386742806,8.820323195,9.553331755,9.314248528,9.20841465,9.521238838,10.99691617,9.143175425,6.460621562,9.592399233,8.774627538,9.597909213,10.13454984,8.777912825,9.478792662
"BID",7.642248077,6.938348069,7.568048303,7.049990459,8.536918826,7.797751506,7.07346294,6.516027102,8.00561246,7.393598859,7.175045302,7.815560757,7.460179031,7.937189802,7.145319467,6.448462477,7.5879601,9.270430804,7.645572145,6.953146366,8.915118559,6.625253618,7.918772366,8.638274971
"BIRC5",11.27525845,8.43503057,8.771043245,11.10580396,9.536122474,8.657933395,10.44402172,9.971381506,9.873581926,9.561104222,8.383205613,8.616685363,8.333250409,7.987856514,9.553331755,8.320116984,8.674921176,9.95431099,9.109255364,8.440553302,10.01009687,8.933852386,9.412541512,9.682321395
"BLK",3.276055353,4.612772809,5.40498677,3.60074843,3.40162065,5.51840002,4.08091841,3.67714149,2.774662683,4.937061447,4.294074357,4.612772809,5.270404715,3.617594707,4.457619139,3.917032847,4.419981636,3.777969101,4.438800388,3.897041924,3.617594707,4.150219411,6.812094966,4.170382499
"BLNK",3.967596465,5.419895743,5.966985831,7.803756498,8.077385908,5.207823227,5.129773392,9.194773361,9.046199812,7.831023454,6.053649718,8.29015611,7.689133113,7.812971014,7.336897307,6.301114785,6.394673207,6.483621386,6.99701078,7.663758768,8.782984262,6.394673207,7.88554341,9.536122474
"BMI1",8.257646281,7.145319467,7.499952683,9.823410146,9.28801033,7.637505744,9.211949393,9.873581926,8.520247433,9.613770183,7.63987691,9.052536005,9.823410146,8.43503057,8.752450911,7.274419545,8.075305522,7.709194943,8.484260642,8.742550382,10.44402172,9.965420932,9.251582391,9.215484135
"BST1",7.985923873,8.762588489,8.845765761,8.274556926,7.961186191,9.64291886,8.254666411,7.838748076,9.329577109,8.239098371,8.835577245,8.395258851,8.203843101,8.268284631,8.118660168,8.182498568,8.294713685,9.28801033,7.768567335,8.462270292,8.809881749,8.093979861,8.1670553,9.027288924
"BST2",9.223070432,11.97459186,9.548921111,10.16589301,9.227490436,7.594562711,9.034018071,10.97811082,10.60971728,11.12961288,10.34818589,10.77891356,11.49510384,10.90334059,11.51571174,11.10580396,9.600983351,8.92295585,9.747586975,11.7359146,10.52223285,11.7359146,11.77554511,11.27525845
"BTK",7.028108429,7.202225376,7.633800573,7.259981948,7.63987691,7.765591259,7.232226351,6.754189569,6.35924329,7.826883281,7.987856514,7.648896213,7.422953163,6.479674029,6.803238816,7.497256295,7.254901822,7.35207844,7.510587974,7.21658156,7.770206633,7.605397443,6.468174117,7.490078256
"BTLA",8.567752371,8.860274812,9.659678505,7.972316238,7.095447866,10.62209028,8.292594522,7.869504377,8.180436862,8.510721405,9.251582391,8.033618104,8.160329001,7.797751506,8.309213129,8.702125891,8.449043594,9.1524985,8.6060964,7.961186191,8.354381098,9.044116828,8.206082676,8.344176299
"C1QA",9.398337649,10.17255535,8.86349004,9.279324688,11.25181995,8.346236184,10.73684413,9.572764186,9.982375339,10.83337207,8.944144148,10.62209028,10.18302647,9.912841997,10.45537563,12.20207474,10.52871661,8.122596786,9.184665866,10.95901651,9.068016343,9.842755799,10.5120467,9.938599166
"C1QB",10.70347019,10.9377498,11.25181995,9.755919087,11.59853674,10.76782179,10.95901651,10.14985354,9.732408792,11.59853674,10.90334059,10.74637584,10.22893157,10.101207,10.91941446,12.48016955,10.56005047,8.459464195,9.891644702,11.51571174,8.612440184,10.32664048,10.44402172,9.823410146
"C1QBP",11.19766951,10.86511502,8.040746245,11.17592642,10.83337207,7.75511313,11.5413939,10.76782179,11.01400126,10.43529498,9.751753031,9.912841997,10.07152977,11.03094982,11.70774708,9.146757702,10.01990331,8.657933395,9.697918214,10.77891356,11.03920401,10.42656825,10.16589301,10.52223285
"C1R",8.488039571,11.75365188,8.374059117,13.30997293,11.68159315,5.97698894,11.88133891,14.42240893,13.67868456,13.22134834,7.525490476,12.85426195,12.85426195,12.9231644,11.80751257,8.09216041,12.34539454,12.02478334,10.53520036,13.67868456,13.8023746,13.05000727,13.8023746,11.97459186
"C1S",8.614562773,11.49510384,9.528275618,12.9231644,12.20207474,8.309213129,11.70774708,13.87475092,12.9231644,13.36300877,10.4069676,12.78558561,12.9231644,13.13313361,12.99489222,10.18302647,11.44549134,12.5961492,10.17255535,13.47346253,13.22134834,13.47346253,13.13313361,12.05114726
"C2",9.928523222,11.83672428,10.92858213,11.49510384,10.90334059,7.320452483,12.29462228,12.4427271,12.5961492,10.91941446,9.859458477,12.14377682,12.4427271,11.75365188,12.48016955,11.5413939,11.70774708,11.49510384,11.5413939,11.68159315,13.13313361,11.68159315,12.14377682,12.54218813
"C3",11.01400126,12.29462228,8.809881749,13.87475092,13.22134834,7.642248077,11.65049586,14.9235035,13.97839053,13.97839053,11.57622378,14.65435826,15.33454528,15.33454528,12.9231644,11.39669916,14.20277655,13.97839053,13.58387453,13.22134834,12.99489222,14.42240893,14.65435826,14.9235035
"C3AR1",7.985923873,8.057705056,8.905931605,8.424955648,8.451787957,9.358459913,8.482481489,8.035833512,8.287717698,8.446947651,8.655455634,8.385009535,8.35876657,8.312372658,8.424955648,8.756816672,7.963741311,8.268284631,8.213288523,8.643870974,8.354381098,8.312372658,8.140134608,7.75511313
"C4B",12.9231644,15.33454528,14.9235035,13.47346253,15.75275142,8.424955648,13.97839053,13.8023746,15.33454528,14.20277655,15.33454528,13.87475092,13.13313361,13.67868456,13.67868456,14.65435826,13.22134834,14.42240893,10.90334059,12.85426195,13.58387453,13.67868456,15.33454528,13.97839053
"C4BPA",8.395258851,13.13313361,12.02478334,12.20207474,11.39669916,9.851878707,8.860274812,12.85426195,14.42240893,12.63820875,10.80003033,12.9231644,12.69274229,12.54218813,11.94090831,10.35359732,9.506193983,11.08864468,12.34539454,12.99489222,11.49510384,14.9235035,12.9231644,13.87475092
"C5",11.47025424,10.83337207,10.87955928,8.781198112,11.90414044,9.548921111,8.944144148,11.57622378,13.22134834,11.03094982,9.673969563,11.7359146,10.99691617,11.30411302,11.83672428,10.73684413,11.3209348,11.77554511,9.51688015,11.47025424,12.54218813,11.03094982,11.80751257,12.48016955
"C6",9.329577109,10.74637584,11.80751257,9.13387976,10.56623737,11.22088754,8.564997875,13.36300877,12.24600004,9.189719614,10.64937064,10.23712629,11.83672428,11.94090831,9.10655086,10.23302893,9.744001486,11.90414044,9.539056061,11.08864468,12.78558561,11.30411302,12.5961492,12.5961492
"C7",6.102441036,7.845738055,7.568048303,8.536918826,7.411371756,7.298577168,6.475726672,8.023783907,8.68881146,10.5472852,6.807743022,10.54124278,10.87955928,11.36840484,6.803238816,7.920641094,12.29462228,6.99701078,6.341568009,8.866705267,8.790679538,6.184601312,10.30213141,7.618386956
"C8A",8.203843101,9.163751781,8.960525779,10.53520036,9.912841997,8.977755459,8.126243288,10.23712629,10.32179549,9.044116828,8.900452529,10.80003033,11.10580396,10.47072146,10.83337207,9.933561194,8.027583008,11.17592642,8.703996145,10.42656825,11.03920401,11.51571174,12.02478334,10.57242427
"C8B",7.573281131,11.12961288,9.564466046,11.3209348,11.62409744,9.056789215,9.242497852,12.02478334,11.97459186,9.582301057,8.759702581,11.70774708,11.97459186,11.70774708,8.36056093,8.636620071,9.361372335,11.83672428,10.06680793,12.10886503,11.57622378,11.77554511,12.10886503,12.4427271
"C8G",6.581770677,11.70774708,12.24600004,10.64937064,10.95901651,6.959010593,10.59381062,11.3209348,12.29462228,9.796830767,11.15131971,11.3209348,11.51571174,12.02478334,9.998568119,11.50540779,11.83672428,12.24600004,10.48923696,11.17592642,11.77554511,11.44549134,11.7359146,13.05000727
"C9",8.674921176,10.99691617,12.29462228,9.706675215,12.14377682,10.87955928,8.420666121,13.47346253,13.58387453,10.5120467,10.70347019,12.24600004,10.41921461,12.5961492,9.564466046,10.85819932,10.86511502,9.928523222,8.374059117,11.94090831,11.7359146,9.165692219,13.87475092,12.69274229
"CAMP",8.599798071,8.208464387,8.624596598,6.618336915,7.02544226,9.048282796,6.540493985,7.494897691,6.590566323,6.762095459,8.427236788,6.257505333,6.775103554,7.430568728,7.77184593,7.5792222,8.112865754,9.031545596,8.222386312,7.633800573,6.595352333,7.398744772,7.200130645,6.130766139
