"GENE_SYMBOL","GSM6619959--pt-1","GSM6619960--pt-2","GSM6619961--pt-3","GSM6619962--pt-4","GSM6619963--pt-5","GSM6619964--pt-6","GSM6619965--pt-7","GSM6619966--pt-8","GSM6619967--pt-9","GSM6619968--pt-10"
"A1BG",466,1576,3574,1508,641,2907,117,817,6467,502
"A1CF",6558,11470,7312,11619,4903,7589,1344,6782,7996,10786
"A2M",13416,28693,2932,16514,18820,78562,5306,39947,49713,52980
"A2ML1",0,10,0,0,0,0,1,0,0,3
"A3GALT2",0,0,1,0,1,1,0,4,0,0
"A4GALT",14,155,28,53,74,123,2215,70,27,42
"A4GNT",0,0,0,0,0,0,4,8,0,4
"AAAS",1522,933,1228,1470,1370,931,2565,1550,1356,895
"AACS",541,614,275,154,307,134,1366,425,253,422
"AADAC",3727,12635,19081,12016,4408,9336,452,2077,15701,16188
"AADACL2",0,0,1,0,0,0,4,0,0,1
"AADACL3",0,0,0,0,0,0,0,4,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0
"AADAT",706,172,396,237,1011,84,291,205,179,170
"AAGAB",448,740,372,415,776,600,3131,811,999,786
"AAK1",805,794,473,775,1083,625,903,1188,940,779
"AAMDC",365,489,1312,501,375,759,332,812,1501,453
"AAMP",936,1813,1716,1655,1730,2520,8192,5840,2708,3870
"AANAT",8,8,0,2,1,3,19,0,0,0
"AAR2",554,603,619,871,910,1097,2466,1734,1241,920
"AARD",2,70,0,0,6,5,0,0,0,14
"AARS2",493,412,538,1099,700,777,1210,1320,598,947
"AARSD1",289,58,78,171,133,94,272,172,57,161
"AASDH",236,99,82,206,142,96,260,275,164,187
"AASDHPPT",1298,1158,1129,967,660,1008,1070,1473,848,1332
"AASS",1586,280,777,1764,4966,557,94,253,631,1359
"AATF",1164,1431,1060,1194,1691,1040,3749,2105,708,3793
"AATK",1,34,14,40,49,17,104,55,9,13
"ABAT",3994,6105,5754,7295,4649,7044,223,1761,4687,4630
"ABCA1",10097,3409,1560,3298,1703,7703,862,2886,2374,3075
"ABCA10",630,217,399,416,237,300,10,90,264,62
"ABCA12",1,1,0,2,6,2,1,5,0,1
"ABCA13",19,4,5,0,107,6,12,8,49,4
"ABCA2",1505,2210,1850,2098,2040,2446,1786,1090,934,1213
"ABCA3",80,538,61,44,61,130,377,85,57,28
"ABCA4",26,23,61,26,30,12,22,5,24,331
"ABCA5",11894,4365,3217,4936,3658,2215,360,1907,1458,1137
"ABCA6",4468,2266,5477,2407,2140,2458,1,434,4327,2596
"ABCA7",487,596,231,674,1151,514,962,1046,185,245
"ABCA8",66,498,1488,398,1062,36,0,5,1176,322
"ABCA9",702,373,511,505,243,591,7,50,71,126
"ABCB1",2676,5462,1338,959,2091,2855,667,4235,6264,2336
"ABCB10",934,1271,1221,1212,1285,1152,585,813,928,1006
"ABCB11",975,1064,4763,3220,2381,470,0,3,1216,1494
