GENE_SYMBOL,GSM1648121,GSM1648114,GSM1648122,GSM1648115,GSM1648116,GSM1648117,GSM1648123,GSM1648124,GSM1648118,GSM1648119,GSM1648120
A1CF,8.94755,8.6758,6.28425,8.166,6.7414,8.48425,6.4551,6.47545,6.3356,6.3106,6.5672
A2M,12.2113,12.9295,12.2838,12.3693,12.7729,12.8403,12.4859,12.088,12.7874,12.9283,12.8992
A2ML1,6.2951,7.5581,6.066,5.9962,6.1499,6.3677,6.2291,6.21,6.2043,5.9595,6.2839
A4GALT,10.5572,11.7468,10.7016,11.1965,10.1692,10.3832,10.8408,9.0719,11.1008,10.9783,10.1001
A4GNT,6.7422,6.5514,6.3176,6.3571,6.397,6.773,6.5946,6.4724,6.5823,6.1866,6.8023
AACS,9.5352,10.3677,9.68,9.6899,9.86,10.2763,10.3186,10.1523,9.829,9.6487,10.2939
AADACL2,6.5482,6.4724,6.2546,6.1951,6.2867,6.4324,6.3471,6.3375,6.2151,6.0502,6.3911
AADACL4,6.4049,6.6654,6.2371,6.3762,6.1804,6.601,6.5033,6.2382,6.1399,6.1471,6.4944
AAGAB,12.0435,12.7159,11.8823,11.3132,11.3989,12.3046,11.6534,11.6551,12.0803,11.3562,11.6345
AAK1,7.8553,7.5293,7.7825,7.2364,7.7891,6.3625,7.8722,7.5438,7.8914,7.0996,6.3705
AARS2,10.7859,10.962,10.7709,11.0288,10.861,10.8096,11.2451,10.8574,11.026,10.8144,10.8563
AASDH,8.526,9.7141,9.6745,9.2539,9.3955,9.5325,9.7526,10.5031,10.0485,9.0197,9.8204
AASDHPPT,7.5908,8.3264,8.6203,9.2611,8.8437,8.3231,7.8822,9.2337,9.3275,8.7252,9.5105
AASS,8.5251,7.61185,7.6,7.8527,8.199,8.2828,7.97375,8.3103,7.76205,8.08295,8.09835
ABAT,7.8371,8.8787,8.22876666666667,7.90306666666667,7.87543333333333,7.49326666666667,8.28966666666667,8.2707,8.1776,7.879,7.80456666666667
ABCA1,11.9737,12.8659,11.8508,11.8708,11.6843,12.4717,12.3734,12.037,12.151,11.7403,12.5586
ABCA10,7.4053,7.8559,7.1311,7.2035,7.8833,7.8616,8.3612,7.5074,7.4671,8.3999,8.1572
ABCA12,6.85055,6.7253,6.60735,6.9273,8.07745,8.39715,6.223,6.885,7.74945,7.028,8.5319
ABCA13,6.2204,6.3851,6.1004,6.1152,6.08,6.593,6.2952,6.3655,6.0463,5.9596,6.2252
ABCA2,8.74145,6.98545,8.9567,7.62705,8.23835,7.831,7.23785,7.86125,8.0557,7.87875,7.5238
ABCA5,8.4785,8.9478,7.30255,8.4066,8.0732,8.1295,8.0665,7.5383,8.20755,7.8749,8.36845
ABCA6,7.79265,6.91965,7.4089,8.03935,8.2074,7.88035,9.42975,8.29645,9.5893,9.84575,7.96765
ABCA7,8.14935,7.4545,8.00785,7.4275,7.4966,6.9761,7.99945,8.29565,7.6991,6.5005,7.41325
ABCA9,8.1357,7.489,7.527,7.653,7.4505,6.9826,8.0407,7.3254,8.54395,9.1306,7.2677
ABCB10,8.8364,9.0647,9.1297,8.9695,9.6969,9.7377,9.334,10.0928,9.6734,9.2127,10.3719
ABCB4,7.8472,6.7017,6.9085,8.2105,6.2769,6.3501,6.7006,6.9733,6.962,7.316,7.0587
ABCB5,6.4873,6.6105,5.9068,5.9991,6.0039,6.3401,6.1488,6.1332,6.0973,5.8464,6.3369
ABCB7,11.2081,11.5386,10.8678,11.3174,10.7923,11.281,11.2765,10.9833,10.7745,10.944,10.8219
ABCB8,9.1092,9.3132,9.2082,9.6327,8.9164,9.5873,9.8347,9.4203,8.9288,9.1754,7.8748
ABCB9,8.01086666666667,8.67233333333333,8.12813333333333,8.88866666666667,7.84863333333333,8.1339,7.6188,7.87776666666667,8.64833333333333,8.40633333333333,7.79333333333333
ABCC1,11.1745,11.8099,10.9336,11.0978,10.7325,11.4236,11.389,11.6801,10.5572,10.368,10.6326
ABCC10,7.9094,8.4313,8.7908,7.2128,8.3567,8.0248,9.1744,7.9603,9.1878,7.9197,7.6748
ABCC11,6.99585,6.9725,6.9765,6.74395,6.74125,9.5081,6.8392,6.7152,6.68995,6.65205,6.97925
ABCC12,6.434,6.5919,6.0622,6.0763,6.2387,6.8929,6.5119,6.265,6.2048,6.0444,6.3098
ABCC4,7.399,8.5545,7.32545,7.78765,7.99405,7.20535,7.80105,7.8629,8.00335,7.79205,8.2879
ABCC6,8.89402,8.10344,6.52378,7.89332,6.73168,8.29038,6.4198,6.4529,6.36392,6.22696,7.16782
ABCC8,7.1622,8.1679,6.1423,6.7293,6.9,7.8078,8.2563,8.0757,6.8416,6.4465,6.4909
ABCC9,9.6271,8.5001,8.7354,8.0937,9.7172,9.0724,10.19135,8.4289,8.74835,9.69905,9.03165
ABCD1,8.7434,9.6034,8.246,8.831,7.8723,9.0629,8.3898,8.3795,8.466,7.7337,8.0742
ABCD2,6.8962,6.5197,9.3547,7.5171,6.633,6.9798,8.5337,6.7015,8.9753,7.0903,7.5094
ABCE1,10.16535,9.65145,9.8943,10.3447,10.25665,10.06805,10.4745,10.46935,10.08055,9.63375,10.64045
ABCF1,10.99665,11.04615,11.1637,10.69545,11.1388,11.10755,11.18365,10.81455,11.2096,10.8428,10.4234
ABCF3,9.621,8.9494,9.1775,9.5586,9.2398,9.0816,8.9259,8.6564,10.0263,9.7624,9.5889
ABCG1,11.04255,11.09115,10.0887,9.8368,10.56915,9.92715,9.60095,9.379,10.81425,9.90335,10.92735
ABCG2,8.9143,8.2192,6.8707,7.9847,8.074,7.5879,6.8933,6.4334,7.5086,9.4138,8.0869
ABCG4,8.3067,7.968,7.0806,6.9819,7.269,9.4841,7.5368,7.1105,6.9174,9.0411,7.5691
ABCG5,6.4214,6.9116,6.193,6.3184,6.3278,6.41,6.6831,6.4439,6.1683,6.1976,6.4902
ABCG8,6.5299,6.5001,6.2564,6.0603,6.3832,6.3875,6.4901,6.4254,6.5595,6.1374,6.4632
ABHD11,10.5482,11.3202,9.8613,9.9539,9.5899,10.119,9.1899,9.8577,9.3009,9.2084,9.7536
ABHD13,6.8755,7.66585,7.44505,7.3848,7.37625,7.37735,7.5165,7.5847,7.73395,7.30395,7.6324
ABHD14B,9.6356,10.4877,9.8437,9.7126,10.0726,10.0263,9.836,10.2476,10.6375,9.9971,9.6322
ABHD15,9.1578,8.5192,10.0197,9.5485,9.5168,10.248,9.5442,9.1246,9.6014,9.4703,9.6002
ABHD16A,11.9077,11.1652,11.4674,11.0729,10.4845,11.3891,11.1994,10.4618,10.5075,10.6727,10.4527
ABHD17B,7.50256666666667,7.22393333333333,7.77566666666667,6.99636666666667,7.89893333333333,7.99936666666667,8.00223333333333,7.1785,7.73266666666667,7.71463333333333,7.52726666666667
ABHD2,8.17125,8.78135,8.99905,9.0283,8.6899,9.0005,8.01005,8.5882,8.985,9.37455,9.69505
ABHD3,6.9624,7.8726,8.7839,7.4023,8.3778,7.4969,8.2243,7.9366,9.1715,6.964,8.7861
ABHD4,10.9906,11.3389,10.7518,10.4268,11.0815,11.7686,11.3526,10.859,11.1083,11.2753,10.9415
ABHD5,8.7716,10.1525,8.8517,9.5918,8.9962,9.7338,9.2632,8.4307,10.065,8.2561,9.5213
ABHD6,10.8973,12.2161,10.5927,10.8138,10.9887,12.5039,10.7814,9.8321,10.6045,10.1436,10.4202
ABHD8,9.9178,11.8352,11.1694,10.4436,10.095,10.0311,10.7634,10.6489,11.1763,10.7576,10.2488
ABI1,8.4183,8.2949,8.5189,8.1034,7.9742,7.5052,8.6753,7.6743,8.972,7.5145,7.5482
ABI2,10.2615,10.2400666666667,9.56606666666667,9.29886666666667,9.93236666666667,10.3589666666667,9.9421,10.2794333333333,9.44473333333333,9.98566666666667,10.1191333333333
ABI3,10.0147,9.6455,10.2157,8.8667,8.7797,9.3915,9.4019,8.3241,9.5164,9.0537,9.6393
ABL1,9.9332,9.89343333333333,9.52083333333333,9.41223333333333,9.79576666666667,9.9655,10.3563333333333,10.3438,9.4308,9.646,9.8994
ABL2,11.4168,8.9304,9.4968,8.7161,9.894,10.0295,10.3427,10.8861,9.602,10.27,9.899
ABLIM1,8.823175,9.21615,8.8891,8.9879,9.383625,9.549225,8.618025,10.294375,9.150475,8.954875,9.200725
ABR,10.8219,10.5343,10.46095,9.71135,9.8395,10.1005,10.20895,10.2137,9.61375,9.45645,9.8994
ABT1,6.8872,7.2049,6.7605,6.6645,7.0944,6.8169,6.497,6.7214,6.8452,6.6771,6.819
ABTB1,8.9464,8.7736,8.66195,8.5134,8.3165,9.0766,9.19275,8.9632,8.81595,8.66205,8.5695
ABTB2,7.7308,6.869,6.9777,6.2095,6.3149,6.5512,6.8096,6.3646,6.5432,7.2004,8.3027
ACACA,8.00866666666667,8.7976,8.84336666666667,8.95103333333333,8.82076666666667,8.8917,8.65093333333333,9.51706666666667,9.26726666666667,9.04396666666667,8.06306666666667
ACACB,13.0673,13.6982,11.7656,12.4657,12.1141,13.3035,12.5732,11.8875,11.107,12.1099,12.3528
ACADM,9.83995,11.86985,10.7528,11.16005,10.9373,10.2813,9.6143,10.56115,11.4069,10.69915,10.51315
ACAN,7.4011,6.5829,5.9128,6.3535,6.2038,6.3934,6.9418,6.2506,6.2022,6.7125,6.3904
ACAP2,11.3082,11.1504,11.2888,11.4964,11.0822,11.4347,11.3638,11.1517,11.0871,11.0844,11.5444
ACAT2,6.8975,7.587,7.0116,7.1561,6.5751,6.7719,6.9236,7.2214,7.1127,6.9241,7.051
ACBD3,8.0465,9.519,9.0544,9.7363,9.6841,10.1712,8.8066,10.1772,10.5902,9.738,9.8082
ACBD4,7.9649,6.9603,7.1172,7.1862,6.7626,7.2727,7.4042,6.9468,6.9808,6.8866,7.506
