"GENE_SYMBOL","GSM4942759--P10","GSM4942760--P11","GSM4942761--P11","GSM4942762--P13","GSM4942763--P13","GSM4942764--P1","GSM4942765--P1","GSM4942766--P2","GSM4942767--P5","GSM4942768--P5","GSM4942769--P9","GSM4942786--P12","GSM4942787--P12","GSM4942788--P14","GSM4942789--P14","GSM4942790--P3","GSM4942791--P3","GSM4942792--P4","GSM4942793--P4","GSM4942794--P6","GSM4942795--P6","GSM4942796--P7","GSM4942797--P8","GSM4942798--P8","GSM4942799--P8"
"A1BG",0,0,0,1,0,2,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0,3,0,0,1
"A1CF",0,0,3,1,0,0,0,0,3,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
"A2M",99,37,92,90,12,51,75,174,32,71,74,91,65,213,80,78,38,30,24,361,334,210,111,99,99
"A2ML1",321,50,1,30,44,3,0,16,139,236,21,73,17,0,1,23,15,19,15,1,3,0,11,16,7
"A3GALT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GALT",7,10,44,9,6,3,6,8,0,2,28,9,20,32,9,27,11,3,33,23,21,43,28,7,47
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",1,5,14,5,6,2,15,0,13,21,16,3,14,11,5,24,2,7,0,1,8,1,2,6,23
"AACS",0,21,13,19,22,4,8,4,48,127,34,31,21,7,13,32,21,17,25,15,23,34,19,20,13
"AADAC",11,0,0,0,0,0,0,0,10,4,0,3,0,0,0,0,2,6,1,0,0,0,0,0,0
"AADACL2",37,16,10,0,11,0,0,0,53,42,19,7,3,0,0,10,1,7,18,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAT",0,1,2,0,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,4
"AAGAB",4,19,5,24,25,15,2,14,16,28,16,16,10,36,11,3,8,13,3,19,19,56,19,17,19
"AAK1",26,61,81,49,43,52,36,127,29,48,94,81,66,70,62,103,21,26,50,127,86,71,79,55,79
"AAMDC",0,2,0,8,6,5,0,2,11,18,4,4,0,0,5,8,3,4,3,5,11,51,4,4,11
"AAMP",131,72,41,92,101,55,22,121,75,92,73,66,76,71,31,96,47,65,74,43,93,55,109,79,56
"AANAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAR2",3,17,0,6,11,3,34,2,3,18,11,5,14,13,4,10,3,14,3,15,9,1,14,3,21
"AARD",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0
"AARS2",0,5,0,0,0,0,0,22,0,1,1,7,1,3,3,9,0,0,0,2,0,0,0,0,0
"AARSD1",13,0,1,2,1,0,1,4,0,4,2,1,5,1,0,4,0,3,0,1,5,0,4,1,3
"AASDH",0,12,29,13,17,14,20,0,17,36,12,18,7,15,3,20,12,16,6,17,6,8,28,21,17
"AASDHPPT",65,32,24,44,22,24,24,31,13,33,43,37,23,18,11,41,37,12,19,18,18,15,38,23,14
"AASS",35,8,14,19,9,2,13,0,21,21,1,5,11,5,21,9,11,9,0,5,2,13,13,3,5
"AATF",0,3,15,21,5,5,1,5,3,16,11,2,10,22,2,9,12,3,0,15,15,0,13,12,5
"AATK",0,0,0,0,2,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,4,45,3,3,23
"ABAT",0,3,17,1,0,2,25,5,6,1,1,9,1,0,5,8,2,5,0,8,12,1,10,5,0
"ABCA1",77,108,128,57,21,50,91,67,37,97,85,59,62,114,61,80,47,32,45,70,93,90,152,88,167
"ABCA10",0,4,35,7,3,2,0,0,4,10,14,0,14,8,4,5,2,7,0,2,4,160,1,0,4
"ABCA12",22,19,2,17,85,1,1,0,83,55,16,42,20,0,4,14,0,25,6,0,0,3,5,5,0
"ABCA13",2,3,5,1,1,2,2,2,0,3,2,1,0,2,2,2,2,3,3,3,3,2,1,4,2
"ABCA2",3,24,13,7,6,1,10,19,12,1,25,10,7,20,11,19,12,23,20,12,13,38,16,17,7
"ABCA3",0,3,8,4,1,5,21,0,8,0,1,3,3,0,0,13,2,1,0,6,6,4,0,7,0
"ABCA4",0,0,7,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,1,0
"ABCA5",43,54,94,35,19,8,25,2,31,87,46,21,31,56,13,33,19,7,9,30,24,32,38,15,13
"ABCA6",23,38,105,23,8,11,8,34,10,4,47,30,47,163,17,27,13,6,1,24,34,142,60,19,70
"ABCA7",3,11,12,23,17,1,4,2,31,36,21,10,11,19,1,1,6,6,12,30,17,1,14,9,13
"ABCA8",25,45,156,26,21,22,63,56,19,20,53,23,27,66,37,39,32,45,56,41,74,238,39,33,57
"ABCA9",6,25,96,22,13,13,1,33,2,8,30,4,18,23,23,5,0,6,0,24,22,129,24,18,44
"ABCB1",0,7,11,21,2,1,0,11,0,4,0,4,2,13,9,0,0,3,0,5,13,13,3,5,0
"ABCB10",0,5,3,5,2,8,12,1,0,6,19,8,17,10,10,6,12,2,6,5,16,0,7,4,19
"ABCB11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB4",0,0,0,1,2,0,1,3,0,0,0,2,6,1,1,9,2,0,0,3,14,1,0,3,0
"ABCB5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"ABCB7",19,13,15,10,6,3,11,26,16,23,21,14,18,7,9,11,11,5,7,12,15,24,22,16,1
"ABCB8",7,4,0,10,18,2,30,7,4,3,6,2,1,16,3,11,4,0,0,1,2,0,5,10,12
"ABCB9",38,15,26,22,17,54,52,41,21,21,23,28,25,21,19,32,28,44,25,24,35,28,45,24,18
"ABCC1",38,12,3,34,20,17,23,7,6,3,10,21,5,10,19,7,8,3,35,24,23,0,36,20,19
"ABCC10",0,3,0,2,2,2,3,0,0,9,3,16,2,14,11,19,7,1,0,6,4,2,1,2,18
"ABCC11",0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0
"ABCC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC2",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC3",17,19,5,7,6,1,7,3,0,2,7,1,24,26,4,11,4,5,3,31,22,63,9,7,13
"ABCC4",12,9,32,18,6,23,5,0,21,25,8,9,21,19,18,22,11,5,8,13,26,33,17,5,0
"ABCC5",56,31,8,42,2,2,0,0,17,38,12,13,9,7,6,9,14,3,0,9,17,0,20,9,10
"ABCC6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"ABCC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC9",19,2,31,10,1,2,0,16,3,0,1,10,12,2,3,0,3,11,0,20,16,22,17,14,32
"ABCD1",0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,1,0,0,7,0
"ABCD2",0,0,0,7,0,0,0,7,0,6,3,1,1,0,3,8,0,0,0,3,4,0,2,4,0
"ABCD3",12,46,0,42,40,14,1,19,53,48,23,24,38,41,12,30,27,17,36,13,6,48,18,15,9
"ABCD4",0,5,15,15,9,7,0,5,2,11,13,15,15,23,4,14,12,11,5,20,21,18,16,5,4
"ABCE1",12,30,16,116,66,37,34,29,21,30,42,49,47,23,15,48,18,23,0,20,37,67,47,39,27
"ABCF1",79,89,63,229,181,63,73,110,80,151,163,152,128,95,32,123,38,25,21,111,110,89,154,62,72
"ABCF2",19,4,11,33,14,13,45,23,7,5,8,9,11,1,1,30,14,2,0,9,11,2,12,10,4
"ABCF3",3,8,1,5,8,5,17,23,6,6,13,15,9,6,1,14,4,12,17,24,15,11,30,5,4
"ABCG1",54,26,21,22,22,24,77,45,30,86,43,28,20,23,31,22,27,22,26,39,34,24,44,32,106
"ABCG2",3,5,11,0,0,1,0,0,0,1,0,1,6,0,0,0,0,0,0,2,2,0,0,0,0
"ABCG4",0,0,0,1,3,0,0,0,1,11,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
"ABCG5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCG8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,4,0,0
"ABHD10",0,4,5,6,3,10,33,13,9,6,4,11,3,3,3,2,0,3,1,7,4,12,2,7,0
"ABHD11",3,0,4,15,21,5,0,0,6,7,8,11,8,2,5,24,3,0,0,6,13,0,16,7,12
"ABHD12",8,13,19,15,11,6,2,48,16,34,21,21,8,32,12,18,2,6,24,20,11,0,8,15,17
"ABHD12B",0,5,0,0,0,0,0,0,4,4,2,1,0,0,0,0,0,5,0,0,0,0,0,0,0
"ABHD13",37,4,20,20,12,2,5,0,5,18,14,11,13,11,11,4,11,4,4,8,11,35,3,7,15
"ABHD14A",0,6,5,16,5,2,0,0,0,11,2,2,1,0,1,2,1,0,0,8,6,9,8,1,4
"ABHD14A-ACY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABHD14B",49,38,38,21,15,17,14,51,25,31,44,20,43,12,14,20,16,8,2,26,43,15,54,45,32
"ABHD15",14,6,7,27,0,8,28,10,6,0,25,4,9,5,7,4,9,2,0,24,22,25,11,29,21
"ABHD16A",22,4,6,11,7,10,18,0,6,6,17,10,7,5,9,14,6,4,3,10,5,5,8,7,3
"ABHD16B",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ABHD17A",5,9,0,2,5,3,1,1,4,3,6,0,1,2,2,1,0,2,1,3,2,10,2,0,1
"ABHD17B",15,11,3,23,4,14,2,30,22,87,23,17,10,10,17,8,12,14,27,11,12,0,18,12,10
"ABHD17C",7,6,0,10,53,5,6,1,7,26,8,20,3,0,2,14,4,3,4,11,12,24,17,2,2
"ABHD2",77,46,14,43,43,35,32,95,42,46,42,48,51,147,58,53,40,33,29,123,94,135,87,57,33
"ABHD3",5,8,14,51,15,8,1,8,7,4,18,12,10,32,8,10,22,10,9,18,33,0,16,22,9
"ABHD4",11,6,7,5,1,1,1,48,3,17,11,0,1,9,1,8,5,8,0,3,7,7,3,6,4
"ABHD5",34,6,0,15,3,0,4,5,27,59,19,7,3,6,2,2,2,6,0,1,5,0,2,3,0
"ABHD6",0,6,50,5,4,2,2,4,4,26,19,11,5,12,2,19,2,18,48,9,4,1,11,1,8
"ABHD8",0,2,4,8,0,1,10,0,9,1,2,6,10,2,4,1,3,10,0,6,6,0,0,0,5
"ABI1",56,41,18,60,59,31,17,72,68,96,52,37,38,29,43,36,48,27,29,36,61,16,88,44,18
"ABI2",36,24,42,40,8,24,16,27,15,36,17,29,34,49,28,29,8,29,59,44,15,28,24,22,25
"ABI3",0,3,9,0,0,5,7,14,1,0,5,2,18,4,7,0,7,0,0,12,7,17,5,2,0
"ABI3BP",16,15,47,28,11,33,26,2,1,0,8,36,57,75,41,19,32,8,32,10,8,92,64,22,32
"ABL1",15,11,65,57,31,16,22,18,19,9,26,15,29,51,20,54,20,10,4,44,51,99,29,36,59
"ABL2",12,10,37,49,21,35,32,27,10,20,24,16,14,26,17,12,13,7,45,51,36,15,41,37,24
"ABLIM1",125,60,22,63,78,12,67,0,116,200,85,63,44,31,12,46,28,31,54,37,22,56,56,29,38
"ABLIM2",0,7,2,0,7,0,0,0,0,3,0,2,1,10,0,6,2,0,0,2,4,0,3,3,1
"ABLIM3",0,11,0,28,1,2,0,0,2,0,7,4,7,2,0,8,1,3,0,10,7,0,2,3,8
"ABO",5,0,10,2,0,1,1,5,7,10,9,4,0,4,1,9,0,0,1,0,3,2,2,3,0
"ABR",41,31,42,52,53,30,54,39,53,116,77,46,43,37,27,65,33,8,61,46,83,109,49,57,65
"ABRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABRACL",10,7,19,35,26,13,29,13,10,35,48,21,16,27,16,38,8,27,23,21,56,0,49,32,26
"ABT1",16,17,34,37,38,21,24,34,15,38,32,25,15,18,18,47,34,8,3,26,31,43,24,23,23
"ABTB1",19,14,28,24,7,6,2,14,15,27,15,30,28,31,23,41,7,6,22,32,54,44,71,14,9
"ABTB2",0,4,6,7,1,1,0,0,3,0,2,1,1,1,10,1,1,0,0,1,0,4,2,0,0
"ACAA1",21,21,18,31,11,12,48,13,15,47,21,22,24,13,23,22,21,15,51,15,20,20,38,9,13
"ACAA2",1,0,0,9,1,7,11,0,27,6,1,3,0,1,6,0,0,0,0,7,7,0,19,1,18
"ACACA",12,4,0,26,14,6,14,0,16,29,26,19,9,21,4,15,1,18,0,7,10,2,17,33,10
"ACACB",27,8,38,19,6,4,8,10,2,15,5,1,9,7,11,4,4,1,3,17,25,22,12,17,33
"ACAD10",24,9,10,18,1,11,3,20,20,8,27,12,18,28,16,23,12,7,8,5,17,19,25,17,14
"ACAD11",3,9,2,4,0,0,4,4,6,6,12,5,7,28,8,3,1,5,11,15,5,27,13,0,3
"ACAD8",31,17,24,9,14,3,6,9,10,40,11,17,5,1,0,19,10,16,22,9,25,7,22,13,0
"ACAD9",93,31,22,36,31,5,15,45,85,99,22,39,21,13,9,36,12,56,13,22,28,57,21,26,9
"ACADL",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ACADM",21,20,31,30,27,26,52,19,29,38,43,46,43,21,30,43,32,38,16,41,25,55,40,27,38
"ACADS",1,4,35,9,0,6,0,0,23,4,13,11,18,10,8,12,2,6,13,11,12,21,6,5,4
"ACADSB",0,27,35,16,4,9,10,2,41,45,9,13,28,3,7,8,2,26,12,21,10,47,12,2,10
"ACADVL",59,35,95,11,44,29,35,63,67,163,17,62,34,41,25,48,17,42,20,57,53,63,43,49,73
"ACAN",0,0,7,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
"ACAP1",19,30,37,25,12,28,63,47,6,5,24,30,25,68,29,31,10,0,1,54,63,40,24,8,14
"ACAP2",68,76,134,78,44,49,27,27,91,90,76,70,80,60,53,61,43,42,14,80,98,90,56,40,16
"ACAP3",24,29,7,9,24,4,26,10,22,67,17,31,43,19,2,42,22,25,6,13,8,15,12,21,4
"ACAT1",76,5,1,25,18,16,26,0,5,22,19,20,20,18,18,15,6,9,8,15,39,66,19,9,7
"ACAT2",11,13,1,15,2,4,19,18,18,23,17,13,12,4,15,7,17,3,17,8,13,13,27,36,11
"ACBD3",58,36,37,70,103,30,28,49,32,97,46,52,54,50,19,50,15,26,39,37,40,56,61,47,44
"ACBD4",8,6,14,3,0,7,15,19,10,1,7,1,4,7,7,2,0,10,17,9,7,14,14,8,10
"ACBD5",11,10,21,8,8,17,16,0,14,28,17,19,23,19,10,39,7,4,0,16,21,24,38,13,21
"ACBD6",17,10,18,12,8,9,14,11,13,27,34,16,17,10,5,23,22,5,1,16,26,22,13,16,16
"ACBD7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACCS",9,22,46,3,3,1,0,38,3,34,9,16,15,15,16,9,6,5,7,11,3,19,12,1,17
"ACCSL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACD",0,8,5,5,4,7,0,0,2,0,16,3,10,2,0,0,1,4,11,9,9,0,8,18,0
"ACE",27,2,47,6,4,11,6,26,3,3,19,9,12,31,0,13,21,12,1,32,33,12,3,6,9
"ACE2",5,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0
"ACER1",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0
"ACER2",49,20,44,22,18,28,73,34,17,28,32,16,30,18,17,23,17,31,32,21,30,47,45,52,39
"ACER3",7,21,31,22,12,19,48,60,14,23,16,27,37,36,31,49,13,8,42,39,31,37,24,14,23
"ACHE",0,15,0,0,5,1,4,0,0,0,1,1,2,0,0,0,3,0,0,0,3,0,4,0,0
"ACIN1",105,110,151,125,92,56,140,88,103,199,106,97,143,80,61,123,36,45,67,105,116,189,175,71,89
"ACKR1",121,4,22,12,7,19,28,29,1,15,21,4,41,39,38,3,5,21,9,61,73,49,72,59,28
"ACKR2",0,10,4,8,11,0,7,0,9,19,2,6,0,12,0,0,5,0,0,1,0,0,2,6,1
"ACKR3",17,13,31,37,3,18,15,38,6,1,21,10,41,43,4,61,28,2,1,36,9,251,100,45,67
"ACKR4",1,0,0,3,4,0,0,21,1,0,0,0,3,0,0,1,0,0,0,1,0,11,0,0,0
"ACLY",1,25,35,26,29,18,27,58,31,21,40,21,29,41,19,30,36,25,9,40,31,31,82,28,24
"ACMSD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACO1",33,14,8,19,3,24,35,16,4,7,13,10,11,24,6,7,10,6,47,24,31,110,27,34,25
"ACO2",21,8,1,41,31,9,55,60,8,11,36,25,19,29,11,41,20,6,73,18,11,16,35,28,10
"ACOT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT11",3,7,2,11,11,10,0,42,4,30,14,11,18,15,20,9,9,9,13,13,6,44,6,5,14
"ACOT12",0,0,0,0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ACOT13",21,18,11,8,16,11,28,25,17,65,20,8,11,22,19,25,8,4,73,16,27,36,11,20,4
"ACOT2",8,7,6,3,0,3,1,9,2,6,20,1,13,1,0,1,6,0,0,8,14,12,27,7,5
"ACOT4",0,2,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,2,0,49,1,0,2
"ACOT6",0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT7",21,15,0,29,26,2,14,7,9,24,21,10,10,21,7,63,11,9,16,4,4,20,25,12,3
"ACOT8",13,1,0,12,0,5,3,0,1,19,11,2,1,6,4,4,0,5,24,7,4,1,0,9,1
"ACOT9",37,24,66,79,40,18,86,46,13,5,61,47,45,31,15,25,36,14,12,31,72,24,73,56,48
"ACOX1",39,66,61,43,53,25,38,15,44,134,49,46,53,30,25,75,32,40,26,31,46,29,49,31,44
"ACOX2",0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,3,1,6,0,4,6,12,0,0,1
"ACOX3",18,5,0,6,4,6,10,0,25,19,9,15,0,0,0,0,7,1,0,5,0,0,1,0,0
"ACOXL",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"ACP1",37,19,44,44,19,20,35,77,12,30,20,21,24,14,14,18,16,8,8,36,47,48,28,30,31
"ACP2",16,19,21,33,21,18,30,24,8,49,35,47,44,26,22,40,33,19,10,51,33,39,67,12,39
"ACP5",35,20,23,44,26,17,21,57,44,32,26,31,15,42,18,96,24,7,8,33,70,5,23,21,36
"ACP6",7,13,3,7,3,0,0,0,17,11,5,6,12,17,4,5,0,4,6,11,6,3,3,5,0
"ACPP",13,48,1,12,17,0,0,0,66,102,43,32,3,5,0,35,3,0,0,0,2,2,1,2,0
"ACR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ACRBP",0,1,0,0,0,0,25,10,0,0,10,1,0,0,0,0,0,0,0,3,1,2,0,1,2
"ACRV1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSBG1",17,13,2,14,13,5,10,27,34,55,12,10,3,9,6,8,2,6,15,10,4,3,15,11,0
"ACSBG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ACSF2",9,1,1,5,8,1,0,0,0,11,4,1,6,8,0,0,0,3,1,1,2,1,6,0,2
"ACSF3",0,9,2,11,6,3,15,2,10,3,5,11,18,14,3,11,3,1,3,18,7,21,5,10,16
"ACSL1",30,32,18,63,45,35,124,24,80,42,53,33,44,2,7,60,33,47,0,33,36,37,24,25,32
"ACSL3",1,17,64,12,34,12,8,35,21,7,45,34,27,22,9,34,16,21,30,38,30,32,21,14,24
"ACSL4",1,8,38,21,11,56,54,0,5,4,17,16,27,36,15,30,16,8,42,40,47,47,40,25,27
"ACSL5",21,13,5,4,7,14,13,2,1,0,16,10,17,18,10,9,8,5,3,19,48,1,2,15,10
"ACSL6",12,1,5,1,3,5,3,3,3,1,1,0,6,1,4,1,9,2,1,10,10,4,5,1,1
"ACSM1",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM2A",0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,2,0,1,0,2,0,1,0
"ACSM2B",0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"ACSM3",0,1,0,9,0,0,0,0,4,0,0,0,6,5,0,0,0,0,0,6,0,0,0,2,0
"ACSM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACSM5",18,6,0,13,0,0,1,25,1,0,2,13,6,4,16,12,2,0,0,4,2,49,17,4,18
"ACSM6",1,1,0,0,0,0,1,0,2,0,0,1,1,1,0,4,0,4,0,1,0,0,3,2,0
"ACSS1",13,15,19,32,9,9,27,15,7,4,9,32,27,48,23,50,14,10,37,30,49,32,46,20,37
"ACSS2",7,2,15,12,13,5,1,3,6,1,6,8,3,6,0,12,8,1,1,14,4,48,24,0,10
"ACSS3",0,1,5,0,1,3,6,0,0,0,0,0,0,1,0,2,0,0,0,5,1,1,5,9,0
"ACTA1",0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,0,3,1,0,0,0,94,7,3,0
"ACTA2",17,1,60,22,1,31,96,166,19,20,22,10,21,38,15,2,44,12,0,64,49,509,127,62,185
"ACTB",183,155,215,433,218,177,433,361,111,98,333,239,273,388,167,382,166,100,232,317,492,354,510,306,259
"ACTBL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTC1",0,0,10,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,0
"ACTG1",386,404,370,745,858,305,752,887,350,436,713,574,580,542,413,718,293,222,233,583,648,653,1197,638,407
"ACTG2",0,2,32,0,0,13,14,53,0,0,1,0,0,0,0,0,39,0,0,0,0,487,47,2,0
"ACTL10",0,1,25,0,2,0,0,0,0,0,0,0,3,3,1,0,0,4,0,0,0,0,1,0,0
"ACTL6A",14,8,0,14,5,14,8,15,10,11,8,10,10,10,1,23,11,7,21,3,9,0,11,6,5
"ACTL6B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ACTL7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTL9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTN1",48,72,100,152,147,68,264,223,37,65,168,60,86,108,77,79,94,55,11,148,151,350,218,87,51
"ACTN2",0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ACTN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ACTN4",401,313,439,511,408,166,398,418,266,328,521,439,361,282,162,456,268,257,213,283,409,697,452,352,370
"ACTR10",105,29,69,43,17,29,17,101,25,35,21,34,26,46,23,52,24,27,19,23,29,14,49,19,34
"ACTR1A",42,37,20,55,25,17,75,63,36,48,27,38,38,40,10,110,22,41,32,54,68,17,67,31,58
"ACTR1B",11,17,4,44,16,8,15,10,23,39,34,19,13,25,22,37,16,2,0,19,41,0,42,18,20
"ACTR2",194,148,236,322,175,246,419,234,177,180,231,256,286,215,153,331,189,90,173,325,345,180,368,188,111
"ACTR3",107,89,63,140,97,57,103,96,58,50,91,116,82,74,78,102,88,21,33,90,90,118,160,82,58
"ACTR3B",0,2,3,1,2,0,0,15,7,8,1,3,1,2,4,0,1,2,11,2,3,17,0,6,0
"ACTR3C",0,5,0,0,1,2,1,0,5,27,0,0,1,0,0,6,3,0,0,1,7,0,0,0,0
"ACTR5",0,1,14,6,13,2,0,27,3,22,17,3,2,7,0,10,0,0,4,9,9,0,14,13,9
"ACTR6",0,9,6,19,6,13,32,0,13,4,10,6,7,32,6,5,6,6,0,10,6,1,12,0,5
"ACTR8",0,3,28,3,5,3,29,13,7,9,14,3,6,6,4,13,3,2,0,6,0,1,11,3,1
"ACTRT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACTRT3",0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ACVR1",12,14,0,10,6,6,1,18,7,5,23,7,5,13,11,6,15,4,4,10,22,7,27,5,6
"ACVR1B",7,18,17,20,35,13,36,34,31,64,33,14,37,9,8,8,17,28,14,16,26,26,17,9,28
