"GENE_SYMBOL","GSM2634645","GSM2634646","GSM2634647","GSM2634648","GSM2634649","GSM2634650","GSM2634651","GSM2634652","GSM2634653","GSM2634654"
"EEF1A1",8.63325,8.63175,8.23075,8.633,9.0365,9.97875,9.003,12.45175,8.943,8.90775
"GAPDH",10.1923333333333,10.169,9.771,9.43266666666667,10.904,11.5353333333333,11.663,10.5476666666667,9.55466666666667,10.202
"SLC35E2",6.398,6.409,6.354,6.516,6.405,6.291,6.472,6.437,6.537,6.546
"DUSP22",7.676,7.63625,7.6745,7.729,7.89075,7.5565,7.702,7.42275,7.747,7.6515
"RPS28",13.494,13.811,13.609,13.282,13.805,13.704,13.451,11.782,13.754,13.636
"IPO13",9.313,8.194,8.339,8.888,9.045,7.2,7.243,7.279,8.189,8.677
"AFAP1",7.44533333333333,7.47766666666667,7.744,7.859,8.00466666666667,7.49666666666667,7.38133333333333,6.923,7.27166666666667,7.51566666666667
"GGTLC1",6.6495,6.45625,6.4425,6.46575,6.431,6.4925,6.48025,6.4725,6.399,6.469
"CDT1",7.691,8.283,7.78,7.833,7.362,6.739,7.092,6.603,6.579,6.628
"TRPV1",6.4776,6.3966,6.3786,6.3912,6.39,6.3878,6.464,6.3616,6.5048,6.4106
"LPP",11.041,9.678,10.914,10.961,11.041,10.311,9.935,10.029,9.565,10.68
"CCNE2",6.384,6.299,6.385,6.3885,6.34,6.363,6.4095,6.5045,6.3505,6.404
"HNRNPAB",7.62466666666667,7.89033333333333,7.431,7.26966666666667,7.51566666666667,7.72966666666667,7.82066666666667,8.13,7.683,7.67366666666667
"LOH12CR1",6.466,6.374,6.449,6.353,6.355,6.464,6.33,6.477,6.366,6.319
"SNIP1",7.52,7.625,7.232,6.849,6.808,6.975,7.105,7.068,7.53,6.858
"COL17A1",6.513,6.5255,6.6515,6.482,6.932,6.492,6.646,6.437,6.6305,6.53
"BCL6B",8.312,8.19,8.536,7.642,8.09,6.799,7.26,6.695,7.525,7.057
"GRHL1",6.54033333333333,6.48666666666667,6.39,6.41433333333333,6.58833333333333,6.41866666666667,6.40733333333333,6.46766666666667,6.44666666666667,6.437
