"GENE_SYMBOL","GSM5133918--MGH200","GSM5133935--MGH253","GSM5133942--MGHPDL002"
"A1BG",9,126,112
"A1CF",12,5,0
"A2M",84823,19906,51408
"A2ML1",43,67,85
"A3GALT2",5,11,1
"A4GALT",846,145,631
"A4GNT",211,3,7
"AAAS",3483,6185,4379
"AACS",1558,2678,1282
"AADAC",30,0,0
"AADACL2",1,0,4
"AADACL3",0,0,0
"AADACL4",0,0,0
"AADAT",825,1913,465
"AAGAB",1858,1631,4425
"AAK1",9662,2272,2208
"AAMDC",539,723,708
"AAMP",1523,7657,9019
"AANAT",10,50,31
"AAR2",1412,5422,5350
"AARD",0,341,96
"AARS2",1292,10924,3414
"AARSD1",142,964,401
"AASDH",2043,3365,2189
"AASDHPPT",1009,2188,4405
"AASS",5130,1442,2805
"AATF",2963,1916,4304
"AATK",314,479,468
"ABAT",850,61,1200
"ABCA1",118069,2256,6093
"ABCA10",1530,924,126
"ABCA12",252,18,6
"ABCA13",1507,2,7
"ABCA2",5363,10078,9294
"ABCA3",419,88,1272
"ABCA4",271,43,9
"ABCA5",3771,5913,2359
"ABCA6",5125,388,440
"ABCA7",3224,2482,3098
"ABCA8",1908,78,216
"ABCA9",2373,683,320
"ABCB1",527,49,428
"ABCB10",1601,6702,1909
"ABCB11",0,0,14
"ABCB4",973,27,784
"ABCB5",1721,417,9721
"ABCB6",84,2814,367
"ABCB7",2213,827,2111
"ABCB8",1788,7310,3667
"ABCB9",284,1366,303
"ABCC1",11627,10453,3900
"ABCC10",2567,8368,2820
"ABCC11",86,116,296
"ABCC12",0,0,1
"ABCC2",335,540,642
"ABCC3",2030,126,1269
"ABCC4",4748,1713,2220
"ABCC5",7354,17205,8969
"ABCC6",142,119,21
"ABCC8",37,27,1
"ABCC9",8269,375,362
"ABCD1",1639,4544,6371
"ABCD2",311,0,258
"ABCD3",5884,8501,3217
"ABCD4",2731,7886,3750
"ABCE1",4633,8766,9507
"ABCF1",5977,17961,10772
"ABCF2",1906,13323,9339
"ABCF3",2744,6480,5066
"ABCG1",7652,66,2149
"ABCG2",259,46,602
"ABCG4",6,58,15
"ABCG5",17,41,24
"ABCG8",4,12,0
"ABHD1",157,59,44
"ABHD10",1207,2431,2996
"ABHD11",288,5472,2256
"ABHD12",6469,8682,8185
"ABHD12B",223,841,121
"ABHD13",1354,565,3760
"ABHD14A",344,787,916
"ABHD14A-ACY1",3,5,37
"ABHD14B",321,3426,6912
"ABHD15",222,1072,1728
"ABHD16A",211,362,798
"ABHD16B",0,0,0
"ABHD17A",2041,6926,9400
"ABHD17B",693,760,3183
"ABHD17C",401,377,1215
"ABHD2",7295,1522,6909
"ABHD3",527,1567,1593
"ABHD4",1552,1938,2100
"ABHD5",824,330,994
"ABHD6",910,137,2412
"ABHD8",100,547,871
"ABI1",5741,2643,6846
"ABI2",1952,5458,4476
"ABI3",618,54,1987
"ABI3BP",46207,199,3199
"ABL1",12005,7119,10011
"ABL2",3341,5806,13408
"ABLIM1",2053,348,5981
"ABLIM2",88,106,100
"ABLIM3",2377,513,3296
"ABO",39,13,61
"ABR",12172,17542,14070
"ABRA",19,29,0
"ABRACL",408,699,3097
"ABT1",185,3285,4125
"ABTB1",1178,7707,3564
"ABTB2",308,2766,1566
"ACAA1",1191,2569,4446
"ACAA2",1955,6252,3482
"ACACA",8660,4012,4810
"ACACB",14628,5442,1980
"ACAD10",2253,7119,1930
"ACAD11",186,41,75
"ACAD8",1399,3721,1835
"ACAD9",4828,4571,3561
"ACADL",6,5,9
"ACADM",6643,1593,4494
"ACADS",1254,3386,2179
"ACADSB",1109,1082,1634
"ACADVL",15072,52016,20808
"ACAN",1438,133,23
"ACAP1",1548,279,3914
"ACAP2",6409,1315,6277
"ACAP3",2951,20035,6207
"ACAT1",3273,2622,2426
"ACAT2",524,1067,1153
"ACBD3",2735,2590,7313
"ACBD4",774,745,955
"ACBD5",5169,412,2477
"ACBD6",2120,5764,4049
"ACBD7",0,2,10
"ACCS",2119,4129,3787
"ACCSL",59,26,67
"ACD",636,1869,1919
"ACE",4046,285,403
"ACE2",0,86,7
"ACER1",0,5,6
