"GENE_SYMBOL","GSM5133920--MGH530","GSM5133923--MGHBI1","GSM5133933--MGH35"
"A1BG",13,22,24
"A1CF",21,2,2
"A2M",34941,33854,66342
"A2ML1",1109,16,3
"A3GALT2",1,7,2
"A4GALT",471,98,309
"A4GNT",62,2,26
"AAAS",3433,1223,4183
"AACS",1224,685,823
"AADAC",53,0,0
"AADACL2",311,1,0
"AADACL3",0,0,0
"AADACL4",0,0,0
"AADAT",1787,582,25
"AAGAB",2335,2234,1692
"AAK1",6183,2695,3008
"AAMDC",544,449,108
"AAMP",2825,9746,2556
"AANAT",15,30,37
"AAR2",3798,2389,2034
"AARD",117,82,1
"AARS2",8592,937,1498
"AARSD1",463,131,242
"AASDH",4434,537,767
"AASDHPPT",1332,2468,383
"AASS",3708,973,504
"AATF",8861,3354,957
"AATK",1139,998,594
"ABAT",1008,470,507
"ABCA1",19744,2284,1359
"ABCA10",4154,20,163
"ABCA12",1776,3,4
"ABCA13",238,246,16
"ABCA2",13727,2821,3972
"ABCA3",4806,219,1350
"ABCA4",179,28,25
"ABCA5",19699,884,2690
"ABCA6",6409,209,272
"ABCA7",1387,1039,8552
"ABCA8",3189,388,100
"ABCA9",4181,311,351
"ABCB1",845,728,138
"ABCB10",2264,1149,394
"ABCB11",0,0,0
"ABCB4",1769,442,29
"ABCB5",28468,669,2824
"ABCB6",697,358,638
"ABCB7",2292,1046,507
"ABCB8",1659,2564,2395
"ABCB9",211,408,832
"ABCC1",9338,2184,2590
"ABCC10",6561,687,2886
"ABCC11",5224,20,67
"ABCC12",234,0,1
"ABCC2",435,403,4701
"ABCC3",884,123,902
"ABCC4",1934,905,1086
"ABCC5",7336,1724,5954
"ABCC6",38,35,67
"ABCC8",0,0,2
"ABCC9",3580,254,323
"ABCD1",1418,2020,7247
"ABCD2",151,25,76
"ABCD3",12512,1627,745
"ABCD4",2382,757,2043
"ABCE1",10258,6093,1739
"ABCF1",19595,5630,3664
"ABCF2",2509,7570,2541
"ABCF3",4980,2509,2875
"ABCG1",977,388,463
"ABCG2",490,92,53
"ABCG4",34,9,15
"ABCG5",231,10,6
"ABCG8",13,1,5
"ABHD1",123,34,52
"ABHD10",1356,1767,1290
"ABHD11",329,1047,1163
"ABHD12",6307,3341,3323
"ABHD12B",1861,208,88
"ABHD13",2875,650,490
