"GENE_SYMBOL","37_PRE--37","38_PRE--38","39_PRE--39","52_PRE--52","53_PRE--53","58_PRE--58","79_PRE--79","82_PRE--82","83_PRE--83","85_PRE--85","90_PRE--90","98_PRE--98"
"A1BG",5.46257391648781,5.1636082326597,5.80740896736949,9.95991701618012,4.45539600669588,4.88266907473547,4.89993311033452,7.24465890928213,5.57529265226263,6.22550717730329,5.35217220462239,5.03370069479028
"A1CF",2.99613023686065,3.31562082776749,3.32652685285948,9.82196690335191,3.14262917573683,2.91072441838571,2.97109037370002,6.84616088660447,3.02677282550898,2.89309210867748,3.09505155322285,3.30668620151629
"A2M",11.3566914383419,11.1544761842959,9.74867989054269,12.255586188806,11.6147409514717,11.5125242424629,12.4534019193953,12.1807896543723,12.6290854316993,8.54761203774217,10.478435302293,12.0881456507567
"A2ML1",6.77510314825155,2.65343879969545,2.82588766085821,2.79495829577435,3.0133705800793,2.94542678750812,2.9349916890049,2.9155337739568,3.10270239301188,2.99579589964838,5.75467643760517,2.83359519252082
"A3GALT2",3.04791134361425,2.8934265288145,3.29989899778673,2.98223041565645,3.23742477343356,3.11061456922696,2.94630486459635,2.9020997562053,3.38683170455041,2.86284284414938,3.37008558127752,2.94659399495111
"A4GALT",3.7096365205488,3.85652109587626,3.76826951772497,3.23298854312684,3.92736722358742,3.62070635693803,3.3727513138754,3.59772789210562,3.33104312771983,3.47840823619367,3.6138481432503,3.53537274616202
"A4GNT",3.44901420255841,3.43686289681577,3.30992998960181,3.05358419791844,3.55068272373287,3.27200964254655,3.22132496265302,3.38545157021245,3.14052785503911,3.60281725122833,3.22726443842871,2.90440897834844
"AAAS",4.74015136485895,4.95864187296142,5.66730182822989,4.69029741052792,5.13179325527541,4.62898309277795,4.70059408842951,5.02601293044069,4.61389973378629,4.29667261845366,4.78597583062047,5.38277629024521
"AACS",7.96775439531168,8.22915663194203,6.33365010972267,7.64287053951803,6.91954584957509,5.79103886763856,6.59885448766453,6.62251232329993,6.47507426841746,6.89876532836104,6.80843982456789,6.53859277726163
"AADAC",4.30010844865475,3.0325518449621,3.97819127444784,10.1213971036486,3.10559227451196,3.13490720906875,3.04143145907899,7.0087743818898,3.14079000503898,3.08743888412816,3.00232918036262,2.94699825411815
"AADACL2",7.71649523051549,2.8326829143319,2.84855058046474,2.73264535425357,2.80569012966713,2.82599003852172,2.97622708768563,3.06900931857974,2.68512542959519,2.92891080258708,2.96800043215033,3.23707475459176
"AADACL3",3.06148442472148,3.30984491684348,3.73979486283862,3.45653182597154,3.37356281016575,3.3106955643416,3.65549148350182,3.2355550480877,2.91807977295136,3.21983120410941,3.66875603651045,3.35004772472476
"AADACL4",2.96731184584138,3.12784093420845,3.07200012966573,3.15459666878785,3.01285354656403,3.0979951549269,3.01159730406145,3.18295125218141,3.04171349455241,3.27673365490099,3.06838762637519,3.29754343459301
"AADAT",3.13659064699129,3.69786630086139,5.45994050409089,5.56606145237008,3.91017647823799,3.5992703625534,4.38254505313771,3.50808002101352,3.32957956269654,5.82234660320052,3.60743306115785,3.01171286571909
"AAGAB",9.14645708127119,8.8385077565372,7.96427063108346,8.26033831997779,9.35114969894295,8.40248125793092,7.8154124281469,8.22955084735283,9.24814830441822,7.28692728640874,8.90051103942307,8.28381793091062
"AAK1",7.97345230519838,7.16431817027771,6.64182459088445,7.38528611100779,7.91102359580794,8.73087715923147,7.70360006263564,8.06755485487462,7.15014688601055,6.53694965371985,8.15749980303471,6.76259143432831
"AAMDC",8.05701941883164,9.1752317411562,8.20136746758882,8.00190818389825,9.34989687819551,7.87172931442574,8.45866192049267,8.87520617490038,8.69768327922219,9.75069903693574,7.81380994673072,8.48289062491681
"AAMP",9.23636517127994,9.58657758972313,9.66758321273743,9.01489628961049,9.03893013528307,9.48180652502399,9.46276892044517,9.39968734180043,9.05595192890963,9.48783652377885,8.74466204956605,9.27305308081473
"AANAT",3.00455249406929,2.84786748284456,3.05249424957948,2.8579846741009,3.1322672292802,2.9448220818033,2.96977946224461,2.96033816414777,3.08176265741141,3.25172828658386,2.9332756651664,2.92737568246327
