"GENE_SYMBOL","GSM3461245","GSM3461246","GSM3461247","GSM3461248","GSM3461249","GSM3461250","GSM3461251","GSM3461252","GSM3461253","GSM3461254"
"EEF1A1",11773.3368858,14473.7179014667,14713.9667587667,10397.4549754,10522.5120048333,11470.8010924333,11221.6819508,13787.2188897,13479.2238176667,11769.1178769
"SLC35E2",17.72883925,17.72883925,17.72883925,45.84982434,17.72883925,17.72883925,17.72883925,17.72883925,23.12617545,17.72883925
"RPS28",2486.06517,2823.195574,1771.507584,5514.494089,3949.61604,2304.078683,4594.125683,2213.722375,1764.703329,2372.240414
"IPO13",380.9701128,189.0006348,160.0273022,469.9434644,290.3942629,420.5764174,259.778379,190.7944409,162.9812259,514.1411521
"LPP",1550.117283,2280.309,777.020924,1712.72407,1598.187048,1935.62039,1669.903352,1622.94356,1191.257714,1277.320217
"HNRNPAB",1198.18424686667,1261.6908022,2349.44957556667,1036.0367528,1779.05009756667,1448.77114253333,1410.36032196667,2133.98103493333,2573.4162082,1089.89308513333
"LOH12CR1",32.6695207,25.30984538,17.72883925,28.02262622,25.01442098,28.13169563,17.72883925,17.72883925,17.72883925,17.72883925
"SNIP1",270.4944204,240.5049825,196.130184,183.5034574,187.4659274,374.5347867,230.8724376,219.1892168,207.8505413,225.6999988
"COL17A1",17.72883925,31.78216535,17.72883925,26.40263901,17.72883925,17.72883925,10276.22013,38.37793673,26.55086255,30.66000887
"BCL6B",51.8546806,181.1340776,51.15420136,52.56555178,46.63120715,108.7853883,113.8499297,40.02070882,82.66942153,85.89866467
"HMG20B",3171.400931,1197.32069,3228.846827,1644.039903,1044.644444,1194.025199,2620.350666,785.6667466,2943.6914,1576.120351
"CD69",37.581353355,171.925880925,27.679710305,21.11694579,17.72883925,36.97629889,17.72883925,36.25380438,68.02522497,78.13759464
"MLYCD",44.9581575,50.22843039,105.5449898,40.40155591,66.95909318,101.6527554,36.5546358,53.03580516,83.0147724,109.4789296
"ITGA11",33.421047395,128.243188075,37.44111704,39.803060175,43.502974665,28.484189325,31.27978006,17.72883925,40.79799273,31.814263585
"TICAM2",119.499305,267.876565,152.2544601,202.2252435,194.3807691,145.0652393,51.10751084,199.9043921,286.4383076,152.6222506
"SERTAD2",1428.92469,942.8205481,767.0161874,753.9044688,1407.713204,1403.355944,755.7024777,1213.348454,1164.897968,543.8126985
"SPP1",692.9272146,791.4680428,3601.9877775,549.3473834,3538.8937455,2684.09708,482.50365855,9874.359045,616.53489035,7982.623289
"ZBED2",17.72883925,54.21996432,17.72883925,17.72883925,17.72883925,17.72883925,26.53122899,17.72883925,41.18119872,77.18141377
"AUP1",606.7916352,383.3488807,400.5936873,556.3023158,763.3281496,660.3989017,444.2644767,338.0392347,434.8786146,634.8464781
"MFN2",400.2918851,249.5121292,373.1407772,507.3381238,454.8848633,272.7836073,293.1534363,254.4221574,326.9282,400.8664118
"BRD9",687.0333417,1383.691916,707.2048136,2868.389774,1643.300253,735.7704183,1744.196935,1261.808026,1527.29488,1465.78851
"DERL3",17.72883925,34.596828095,28.049523155,46.336322375,31.12839096,22.62400619,17.72883925,22.20580908,37.878351805,73.66855195
"SELM",217.2715726,1027.125397,123.9607167,801.8399307,227.5974703,166.5664882,385.3951114,177.0316368,777.9231116,2055.328119
"DCK",179.414511,149.4699233,165.3073456,43.62189563,81.51372727,174.1773593,53.65547582,126.5244718,135.8026716,65.80089958
"ZFPM1",143.0594398,139.3062323,202.4173551,95.69051685,254.6501798,301.2088137,200.8397881,234.2554968,306.3191865,334.6224722
"KDM2B",33.94667277,17.72883925,17.72883925,17.72883925,28.7449441,17.72883925,17.72883925,17.72883925,30.42580877,17.72883925
"HIST1H2BD",110.290986275,204.111544985,253.45540115,79.19603402,303.02606225,550.32712725,100.02947313,637.40377875,88.73034809,30.558557455
"FAM193A",155.975949,142.9246389,143.8561704,128.8191967,176.3437713,153.8816899,212.4994982,150.9755805,163.7505885,194.8663971
"SKIV2L2",115.4426914,155.4437394,249.1541302,152.0151806,309.9845409,164.4774055,106.9767246,419.2844665,222.0314965,71.1645447
"NUMBL",54.84747896,32.66723252,76.05315197,49.33214082,38.58641312,91.72611026,63.32172004,54.27483644,52.90343459,17.72883925
"HDAC8",49.75195164,67.84576806,41.92309145,59.08148561,42.82686188,52.62399736,138.9220024,82.89179888,55.4521139,37.49006945
"SEMA3E",17.72883925,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925,17.72883925
"RGS5",17.72883925,97.29695424,35.86988521,17.72883925,59.717284415,43.94799341,165.41986526,88.813272445,17.72883925,17.72883925
"KDELC2",248.175813,230.9733855,232.4678162,148.9989845,317.6368997,320.9529706,215.7189532,661.6138564,191.3771333,126.003151
"AQP3",17.72883925,17.72883925,17.72883925,36.58851445,17.72883925,17.72883925,279.414695,25.93614678,17.72883925,17.72883925
"EXOC6",190.8645962,233.0420461,128.8388718,126.66534,145.0729602,114.0516725,79.10644328,128.2896064,144.9394753,164.9016486
"CYP2A13",17.72883925,17.72883925,17.72883925,17.72883925,28.7187936,17.72883925,17.72883925,17.72883925,29.05299051,17.72883925
"GPC2",54.39796114,44.47082117,108.4995189,130.7538069,163.9253439,75.49655432,39.19843962,123.3250411,61.00350163,64.62075335
