"GENE_SYMBOL","GSM4799042--1060699","GSM4799043--1014406","GSM4799044--1048276","GSM4799050--1097378","GSM4799052--1048434","GSM4799063--1082336","GSM4799072--1095369","GSM4799074--1020492","GSM4799077--1094680","GSM4799080--1058310","GSM4799081--1092277","GSM4799082--1048939","GSM4799083--1031074","GSM4799092--1050416","GSM4799109--1037570","GSM4799112--1081859","GSM4799114--1048099","GSM4799115--1025388","GSM4799118--1029017","GSM4799119--1072745"
"A1BG",6,0,0,21,11,0,58,1,0,39,3,0,55,9,58,0,0,35,0,0
"A1CF",10,1,0,654,11,0,0,20,0,7,0,128,53,5,0,48,15,1,0,0
"A2M",12651,8691,18296,2187,5928,118,112674,11860,137,21254,179297,5480,1258,57003,11811,11440,9113,18844,3335,1598
"A2ML1",278,1,5,89,66,0,20,218,0,33,41,131,285,52,22,23,8,5,36,236
"A3GALT2",0,0,0,4,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0
"A4GALT",19,28,31,2,10,0,5,49,0,4,30,1,64,11,44,34,0,5,0,1
"A4GNT",0,0,0,1,15,0,35,3,0,14,24,0,80,1,79,0,0,0,0,0
"AAAS",2692,754,1402,5914,1036,30,3248,960,6,2114,2556,1540,304,2906,3269,1337,18,2141,481,190
"AACS",1192,1094,16,546,119,1,589,953,6,566,562,1086,468,438,1038,202,36,547,55,164
"AADAC",0,731,0,336,35,0,0,1,0,1,782,0,73,0,0,0,0,1,6,6
"AADACL2",21,0,4,11,0,0,0,188,4,38,0,565,18,22,0,19,0,0,0,77
"AADACL3",90,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,71,0,0,0
"AADACL4",0,0,0,0,9,0,0,0,0,0,0,0,50,9,0,0,0,0,0,0
"AADAT",157,0,1,31,4,8,32,16,0,156,155,5,27,241,342,50,0,118,59,0
"AAGAB",1130,150,79,715,399,6,1457,1102,0,2834,3152,960,139,2994,1532,549,3627,3017,190,59
"AAK1",3335,754,2940,1023,946,3,1691,1589,45,1826,2255,1551,703,3858,2522,1148,3057,1125,381,80
"AAMDC",1446,1146,914,1062,337,4,501,867,806,2044,1757,1334,119,1767,612,2760,2075,927,71,11
"AAMP",2927,1030,1277,2321,382,9,4037,1018,6,2389,4833,991,170,5474,3843,1551,0,4401,370,69
"AANAT",0,0,0,0,7,0,0,12,10,0,0,1,27,1,0,0,7,7,0,0
"AAR2",1102,525,69,1758,522,2,3033,244,1,2798,3789,196,146,4940,2327,444,0,3994,280,6
"AARD",60,0,32,0,22,1,35,46,0,9,48,185,20,9,36,0,2,17,22,0
"AARS2",229,58,3,549,582,1,302,362,730,1501,443,969,100,701,505,74,10,792,600,74
"AARSD1",258,76,25,673,47,0,496,136,0,668,341,492,179,419,243,183,2,538,140,93
"AASDH",747,624,1221,1776,364,0,850,911,0,1368,809,1870,115,1275,1345,372,6653,1456,186,116
"AASDHPPT",2163,292,2258,2430,313,46,2736,1050,114,4554,2645,972,70,1976,2795,1447,12,2661,244,136
"AASS",1062,486,584,1630,1880,10,2275,867,16,950,2751,244,443,2845,3394,520,40,2092,591,11
"AATF",758,501,558,1252,116,6,2014,352,17,1310,1802,617,91,1230,1101,515,6,1854,200,41
"AATK",5,0,0,11,10,0,16,1,0,7,17,1,2,1,0,0,0,25,9,0
"ABAT",430,119,42,529,99,64,147,162,0,295,300,437,360,600,283,16,40,145,9,0
"ABCA1",3278,2210,3196,6723,2261,3,7435,4219,83,8118,12557,1749,934,20741,2822,2290,15742,6338,692,765
"ABCA10",844,1090,491,330,712,2,365,1259,8,182,203,865,223,923,108,1192,118,337,878,20
"ABCA12",102,0,9,23,22,1,0,186,0,45,16,345,246,80,32,0,0,4,1,396
"ABCA13",0,4,0,8,42,0,0,325,0,0,155,0,214,0,6,0,3006,9,67,0
"ABCA2",27,6,1,22,47,8,30,21,12,36,16,25,13,33,144,6,22,60,7,0
"ABCA3",194,104,103,24,111,2,62,84,13,475,11536,15,41,112,175,242,1,151,205,1
"ABCA4",905,0,0,1,21,0,258,1,1,0,196,0,160,37,16,0,4,1,0,0
"ABCA5",2183,1179,1231,3995,4419,2,953,3895,0,1683,1313,2223,710,481,1646,3495,885,3613,3688,183
"ABCA6",1470,2510,1221,777,560,3,2796,1371,9,521,1580,582,356,839,1347,1769,65,568,864,2
"ABCA7",73,103,305,3,26,0,139,155,0,41,55,241,120,26,45,24,2,28,9,20
"ABCA8",991,2090,246,275,1882,8,3600,1129,24,80,2657,1160,105,3604,1262,1559,42,1424,1495,0
"ABCA9",818,3803,56,555,546,3,462,764,0,223,595,1022,164,491,11,556,1273,306,671,0
"ABCB1",165,14,268,46,16,0,82,251,1,44,287,0,285,117,85,16,22,26,21,1
"ABCB10",1083,178,398,396,184,1,1020,449,1,601,500,686,113,470,2043,632,0,773,62,12
"ABCB11",1,0,0,145,4,0,0,36,0,0,0,0,106,0,0,0,10,0,0,0
"ABCB4",216,10,75,377,40,0,252,395,4,33,27,48,138,1291,259,353,1,154,39,7
"ABCB5",7329,153,0,68,3987,0,94,147,2,2216,2617,58,297,177,200,0,0,7431,1767,26
"ABCB6",150,193,5,548,132,2,194,65,3,137,102,181,41,106,199,182,223,87,23,23
"ABCB7",1861,486,645,1446,413,1,1210,1529,11,1649,2498,256,184,2280,1079,476,0,2440,339,31
"ABCB8",587,23,23,662,892,16,554,211,3,657,609,159,132,334,601,133,16,449,461,115
"ABCB9",134,3,27,234,64,0,226,15,14,159,46,279,356,130,193,9,14,22,51,28
"ABCC1",1451,861,688,891,529,0,1356,1014,16,1005,2431,818,439,1461,910,851,1,785,540,430
"ABCC10",298,117,483,919,406,1,441,143,1,759,504,808,158,647,528,248,10,554,469,255
"ABCC11",1088,0,0,368,556,0,61,0,0,397,14,0,105,59,10,24,4,488,26,0
"ABCC12",3,0,0,0,19,0,0,0,0,10,0,0,95,0,0,1195,51,25,0,0
"ABCC2",2,9,140,372,33,0,1710,187,8,695,1975,34,42,18,22,142,0,84,11,7
"ABCC3",259,438,753,194,27,2,611,757,19,91,1277,681,244,807,848,1,132,30,19,245
"ABCC4",681,40,249,373,161,0,519,812,2,592,955,182,175,479,2271,209,78,580,178,237
"ABCC5",2779,1438,1501,5156,624,6,1979,1326,863,2592,2283,1638,553,4916,3025,1372,1237,2731,655,46
"ABCC6",33,106,39,282,44,0,29,73,6,18,723,1,174,58,76,74,10,23,14,37
"ABCC8",0,0,0,0,25,0,1,62,0,0,1,0,80,0,0,0,1,0,0,0
"ABCC9",530,1797,1968,105,293,1,9479,1770,0,266,969,731,161,735,166,2546,69,115,123,66
"ABCD1",15,6,1,11,61,0,5,3,0,8,46,6,29,13,89,3,0,25,35,2
"ABCD2",82,356,289,0,6,0,41,324,0,10,69,0,0,72,12,73,50,27,1,0
"ABCD3",1541,251,2032,1421,309,1,2603,2191,1,1657,2365,168,348,1871,1406,1000,0,1329,566,223
"ABCD4",2054,1137,652,2969,424,12,1448,1326,4745,1428,2488,375,385,2911,1420,1107,1,2233,332,293
"ABCE1",2088,927,2835,3159,382,4,4553,1523,17,5473,1763,2476,325,4681,3855,1286,24,5930,420,372
"ABCF1",3328,2151,1580,2518,1055,10,3643,1671,10,9338,2564,2279,470,7053,2963,2937,64,4045,2279,268
"ABCF2",1582,453,1110,1129,759,10,3871,1099,14051,7652,3170,82,173,3708,2705,1567,15,2528,207,140
"ABCF3",902,372,507,1718,822,3,1629,477,6,2365,2882,475,248,2601,828,330,6,1601,311,346
"ABCG1",976,255,482,112,194,1,1461,134,20,130,2364,101,81,655,467,533,0,127,110,46
"ABCG2",30,149,11,60,6,0,72,10,0,105,957,178,47,745,46,102,0,262,1,0
"ABCG4",0,0,0,0,96,0,0,1,34,0,0,0,56,0,4,0,0,0,0,42
"ABCG5",101,0,0,283,189,0,65,2,5,35,32,12,258,15,174,0,84,15,1,0
"ABCG8",0,0,0,122,2,0,0,0,0,1,0,0,29,0,0,0,0,0,0,0
"ABHD1",116,1,0,26,5,0,0,12,53,11,0,104,228,21,153,217,7,101,21,1
"ABHD10",867,384,677,847,397,1,1585,626,0,736,1768,688,88,2321,1322,505,6,2150,484,0
"ABHD11",184,108,116,127,117,0,109,61,1,175,248,352,42,114,255,101,7,77,177,66
"ABHD12",622,156,134,420,375,0,396,286,639,525,922,292,84,534,898,143,5,433,645,5
"ABHD12B",296,0,14,3058,240,1,114,23,0,841,102,185,76,359,753,4,0,897,39,31
"ABHD13",976,434,527,230,325,2,839,207,1,711,353,958,93,743,1181,290,0,1073,67,154
"ABHD14A",257,105,37,249,388,3,384,42,0,266,267,132,113,212,476,213,0,303,296,27
"ABHD14A-ACY1",4,4,0,7,0,0,32,1,0,2,5,1,0,7,2,3,0,11,0,0
"ABHD14B",459,1544,454,1318,599,6,2837,800,3,1029,1467,546,157,1918,2884,193,4,2765,477,235
"ABHD15",301,616,665,355,13,0,461,332,1,926,372,23,117,323,496,194,0,609,3,0
"ABHD16A",95,19,68,61,95,2,198,85,0,205,250,0,20,555,72,17,6,147,4,11
"ABHD16B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
