"GENE_SYMBOL","GSM4799045--1050685","GSM4799049--1081893","GSM4799054--1005994","GSM4799056--1040211","GSM4799059--1005335","GSM4799060--1006796","GSM4799071--1055419","GSM4799075--1087088","GSM4799076--1096936","GSM4799079--1064719","GSM4799085--1096489","GSM4799086--1045404","GSM4799091--1028337","GSM4799095--1062786","GSM4799096--1045396","GSM4799102--1020143","GSM4799108--1046677","GSM4799111--1028265","GSM4799113--1097176","GSM4799116--1014302","GSM4799120--1091717","GSM4799122--1030566","GSM4799128--1028046","GSM4799129--1011434","GSM4799130--1064847","GSM4799131--1042693","GSM4799132--1081897","GSM4799133--1042013"
"A1BG",0,1,12,24,33,10,23,4,0,1,2,0,0,2,76,0,24,11,22,228,66,41,4,18,20,0,14,32
"A1CF",0,0,0,2,0,62,0,4,0,1,0,0,0,7,0,0,0,0,459,0,68,0,0,0,0,0,0,0
"A2M",257,2154,14246,27941,43579,768,105362,6318,3,18258,91,2751,13320,97,49172,1,6938,33084,33721,14249,58790,22941,45929,17442,15836,679,158,54583
"A2ML1",0,13,3,2,28,298,12,28,0,1,0,0,0,2,6,0,0,5,10,0,18,24,745,73,124,0,968,22
"A3GALT2",0,0,0,0,0,4,16,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0
"A4GALT",0,1,17,3,0,3,10,15,0,48,0,12,61,0,6,0,0,7,1,0,88,0,50,79,8,0,0,0
"A4GNT",0,0,1,1,1,40,0,0,0,0,0,0,0,0,1,0,0,23,0,1,70,14,18,0,0,0,0,20
"AAAS",41,355,2435,2655,3015,298,2247,982,0,669,9,2283,347,28,3436,0,1273,3608,1244,3009,3071,3576,4008,2471,3919,4,919,4940
"AACS",1,158,1016,274,1109,352,651,339,0,83,260,854,26,53,416,0,18,383,78,666,533,365,2189,180,590,0,964,1030
"AADAC",0,0,9,0,259,26,0,0,0,0,0,40,0,0,0,0,0,0,149,0,0,11,15,0,9,0,6,1
"AADACL2",0,9,1,6,27,2,78,4,0,0,0,0,0,1,0,0,0,0,2,0,4,0,1064,1,83,0,0,0
"AADACL3",0,1,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,767,0,0,0,0,0
"AADACL4",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AADAT",0,492,268,494,185,15,103,151,0,6,17,443,0,16,206,0,42,375,111,82,322,53,410,311,226,0,61,167
"AAGAB",1,37,2901,2806,3143,174,1782,695,0,457,10,1639,52,6,2329,1,166,3768,968,1909,1322,3512,1417,2105,1824,89,950,5230
"AAK1",9,1177,3905,2610,1933,361,3598,1961,1,387,78,976,929,84,1754,0,1139,5903,1404,1143,2985,1515,2523,1641,1938,10,695,2398
"AAMDC",0,11,856,9646,1870,77,189,307,0,495,64,1124,679,29,1123,12,84,930,461,472,1447,1431,1518,856,585,309,0,1229
"AAMP",2,19,3682,3815,4453,205,3051,262,0,553,40,1620,471,10,3785,1,42,8143,1350,3719,2697,8840,3964,2810,7731,95,705,5525
"AANAT",10,0,3,3,0,5,20,49,0,0,0,0,16,3,7,0,0,10,2,0,1,0,2,4,5,0,0,0
"AAR2",17,33,5266,3334,4027,161,2281,270,0,83,10,669,199,2,3791,4,749,2212,1057,5744,2141,6250,3745,2499,3499,137,18,8487
"AARD",0,0,0,25,7,45,43,33,0,1,4,83,0,0,0,0,28,266,7,74,98,0,26,0,2,0,0,54
"AARS2",0,816,311,1182,452,57,215,231,0,56,339,606,153,22,1104,0,1350,375,144,482,687,655,993,1631,683,0,480,753
