"GENE_SYMBOL","GSM5133931--MGH27","GSM5133940--MGH98"
"A1BG",101,55
"A1CF",0,0
"A2M",26161,13171
"A2ML1",11,51
"A3GALT2",4,7
"A4GALT",404,244
"A4GNT",11,3
"AAAS",5647,3330
"AACS",993,1895
"AADAC",14,1
"AADACL2",2,0
"AADACL3",0,1
"AADACL4",0,0
"AADAT",73,205
"AAGAB",4038,3943
"AAK1",1530,2216
"AAMDC",696,1226
"AAMP",10014,8003
"AANAT",7,6
"AAR2",3704,4655
"AARD",2,2
"AARS2",4504,2597
"AARSD1",579,213
"AASDH",1448,1172
"AASDHPPT",4964,4876
"AASS",1791,808
"AATF",4231,4427
"AATK",1631,2698
"ABAT",56,65
"ABCA1",332,4012
"ABCA10",1612,39
"ABCA12",15,186
"ABCA13",43,10
"ABCA2",4281,2501
"ABCA3",2176,835
"ABCA4",9,4
"ABCA5",783,1574
"ABCA6",3463,44
"ABCA7",2346,707
"ABCA8",3013,20
"ABCA9",3738,41
"ABCB1",251,29
"ABCB10",950,2130
"ABCB11",0,0
"ABCB4",17,587
"ABCB5",33787,18940
"ABCB6",1156,297
"ABCB7",1364,2383
"ABCB8",7337,2682
"ABCB9",727,1192
"ABCC1",1570,1867
"ABCC10",3552,2635
"ABCC11",112,30
"ABCC12",1,0
"ABCC2",5518,2508
"ABCC3",39,92
"ABCC4",185,834
"ABCC5",6708,2459
"ABCC6",28,12
"ABCC8",0,1
"ABCC9",598,399
"ABCD1",2808,2640
"ABCD2",9,3
"ABCD3",3924,6799
"ABCD4",3405,2597
"ABCE1",9595,6910
"ABCF1",10777,11916
"ABCF2",7083,5619
"ABCF3",5389,2326
"ABCG1",283,374
"ABCG2",56,49
"ABCG4",8,18
"ABCG5",22,82
"ABCG8",1,1
"ABHD1",3,16
"ABHD10",2474,3457
"ABHD11",4042,2015
"ABHD12",6164,4690
"ABHD12B",31,6
"ABHD13",1018,2655
"ABHD14A",940,970
"ABHD14A-ACY1",51,22
"ABHD14B",8708,12736
"ABHD15",1287,1493
"ABHD16A",731,411
"ABHD16B",0,0
"ABHD17A",7807,4987
"ABHD17B",1995,1571
"ABHD17C",272,585
"ABHD2",1371,5443
"ABHD3",706,561
"ABHD4",3312,3014
"ABHD5",900,1062
"ABHD6",1301,3505
"ABHD8",289,574
"ABI1",3633,6361
"ABI2",4631,3985
"ABI3",419,131
"ABI3BP",657,411
"ABL1",5228,7059
"ABL2",19107,15665
"ABLIM1",635,207
"ABLIM2",87,80
"ABLIM3",918,5754
"ABO",16,32
"ABR",13810,15410
"ABRA",0,0
"ABRACL",2288,1665
"ABT1",3994,4149
"ABTB1",3776,1516
"ABTB2",2211,6347
"ACAA1",4812,3524
"ACAA2",2255,6622
"ACACA",2384,3214
"ACACB",306,3651
"ACAD10",2897,2390
"ACAD11",62,32
"ACAD8",2026,2722
"ACAD9",4184,3027
"ACADL",0,1
"ACADM",2560,6232
"ACADS",209,1231
"ACADSB",871,1792
"ACADVL",31763,21744
"ACAN",18,78
"ACAP1",314,130
"ACAP2",3990,2276
"ACAP3",9106,3796
"ACAT1",4725,7191
"ACAT2",72,722
"ACBD3",4510,7577
"ACBD4",1058,778
"ACBD5",881,2634
"ACBD6",2656,4526
"ACBD7",6,2
"ACCS",6993,1994
"ACCSL",719,274
"ACD",2273,1330
"ACE",347,175
"ACE2",2,2
"ACER1",1,1
"ACER2",70,29
"ACER3",3936,2225
"ACHE",72,69
