GENE_SYMBOL,GSM2445716,GSM2445717,GSM2445718,GSM2445719,GSM2445720,GSM2445721,GSM2445722,GSM2445723,GSM2445724,GSM2445725,GSM2445726,GSM2445727,GSM2445728,GSM2445729,GSM2445730,GSM2445731,GSM2445732,GSM2445733,GSM2445734,GSM2445735,GSM2445736,GSM2445737,GSM2445738,GSM2445739,GSM2445740
A2M,12.48840647,11.46366462,12.11035098,13.32466136,14.42413274,13.77150483,10.63394157,13.3695467,13.35279711,13.93428894,12.77942668,15.22280682,12.28491433,13.98926178,13.28403013,13.23628329,13.35426454,13.06775583,13.32343749,12.98396304,13.87638909,12.31606812,13.26700284,12.58495629,13.28409259
ABCB1,7.015996996,5.434653534,5.669960928,6.475533753,7.225294529,5.567465362,11.75802458,6.86984066,5.961408357,7.341621351,5.162265356,6.649263375,5.245995339,10.41140592,7.408441841,7.683037999,13.55470754,5.11477197,8.541387653,6.507117588,6.951127245,6.573375918,9.6797642,7.26862088,8.296150189
ABL1,9.380738174,8.657045955,9.850125114,8.687919001,9.963673837,9.675080462,8.696677326,8.86984066,9.613041897,9.418286424,9.162265356,8.557470899,8.935294499,9.032428087,9.731776757,10.04059,9.761676786,9.365859824,9.92281676,9.442022559,8.607117576,9.287205013,9.627184284,9.647792927,8.31057726
ADA,6.820866655,6.309122652,8.105657898,8.26729182,8.127778023,6.744343124,6.364480896,6.991146956,7.572133954,6.919794686,6.673227275,7.014027667,6.782048239,8.366429014,7.561851756,8.142469618,6.442040502,8.330709369,10.65540391,8.106155274,7.874401455,7.297166123,7.614528984,6.963766299,8.025847783
ADORA2A,4.85041093,4.615225779,6.165918423,5.913654865,7.7492664,5.043903406,4.879054069,7.206875647,5.336917492,7.134388736,5.162265356,6.851756239,6.171994757,7.521314616,6.635852337,7.580278425,5.857078002,4.679556588,6.134762394,5.227009669,7.013006693,6.386962794,5.180297919,5.520159647,7.659525569
AICDA,2.640957565,3.112725439,2.96952121,3.521337443,4.215834199,3.365831501,3.879054069,4.496382264,4.144272414,3.191874231,3.342837601,3.044401316,4.245995339,6.137610324,3.816424583,4.753427327,5.219648081,2.851737564,4.79596048,2.834692246,5.608940312,4.33633672,4.694871092,4.68365838,6.19868438
AIRE,3.341397283,4.228202656,3.554483711,3.521337443,4.552869187,4.131366247,4.879054069,4.496382264,4.45239471,5.549426236,3.714806379,3.918870434,5.731422166,6.020253373,4.42940146,4.683037999,4.63468558,2.61727231,4.167929258,3.419654746,7.045672882,4.61644464,3.875443338,4.576743176,7.814343678
AKT3,11.3089561,12.65382205,10.51770092,11.2229327,11.33313554,10.06071169,7.511322284,10.34073139,11.85884504,10.25930859,11.50181848,11.7162372,10.69555671,10.77875892,10.99164388,11.19873784,10.77309961,10.1754679,10.29908469,10.8701787,10.92026434,10.93199382,10.97780506,11.0285883,10.5701683
ALCAM,7.600959497,9.572157058,5.843990328,7.77557873,8.267114704,7.383753409,9.945143259,7.737390364,7.479875446,9.056060376,7.310657196,9.077824318,7.990156434,7.555462838,8.023582491,8.004966094,8.042189407,7.876323202,9.039414517,6.082619759,8.560784273,8.441871135,8.736347728,8.384098098,7.339005668
AMBP,2.96288566,2.112725439,2.706486804,2.743729864,3.775261608,3.043903406,4.364480896,4.737390364,3.658845587,4.191874231,2.25537476,3.266793738,5.245995339,3.838050042,3.536316664,3.531034906,3.786688674,2.337164391,8.030425734,2.156620341,3.067046533,4.776909312,3.595335418,4.576743176,3.659525569
ANP32B,10.40996889,10.67877948,10.49699822,10.8567278,10.63679167,11.48581011,10.80505349,9.988235361,10.91811807,10.73876869,11.34051522,9.955293843,9.80058419,10.72163326,10.57366751,10.44325895,10.41895689,11.01563878,10.98229324,10.69422703,10.92722063,9.929861235,10.30170809,10.76504671,10.59910478
ANXA1,11.962322,12.54491932,12.51158575,12.23128282,13.69337946,11.88310719,9.706873093,11.7304376,12.32252228,13.0408883,13.30887646,11.36181393,13.22898891,11.12771429,12.34711779,13.14513123,11.74321004,10.38233898,12.05334832,10.69422703,11.93123268,13.50178213,12.86078303,13.32983133,11.64821026
