"GENE_SYMBOL","GSM5071304","GSM5071305","GSM5071306","GSM5071307","GSM5071308","GSM5071309","GSM5071310","GSM5071311","GSM5071312","GSM5071313","GSM5071314","GSM5071315","GSM5071316","GSM5071317","GSM5071318","GSM5071319","GSM5071320","GSM5071321","GSM5071322","GSM5071323","GSM5071324","GSM5071325"
"A1BG",12,5,0,5,1,2,0,0,3,3,8,7,1,0,4,1,5,1,0,17,1,7
"A1CF",1,2,572,0,10,7,2,0,0,0,0,0,0,4,1,1,0,14,0,121,7,1
"A2M",9148,176849,95179,89498,8535,181265,7467,228430,17313,29121,46965,5649,56779,24138,3147,57142,267619,29686,167949,100998,10497,23289
"A2ML1",24,4,6,4,1856,87,8,105,25,581,2394,12,0,106,8,23,33,1,0,1,138,10
"A3GALT2",17,29,11,4,14,1,12,2,8,0,19,13,13,25,12,4,18,22,5,17,21,11
"A4GALT",299,1210,999,552,63,618,151,493,124,1258,674,103,707,1913,208,497,759,744,414,1251,7157,307
"A4GNT",0,0,808,3,10,2,1,0,0,0,0,7,2,0,0,1,8,0,1,17,0,1
"AAAS",3993,7077,5864,7313,3356,4693,3528,2817,4793,2483,5571,5420,6396,3418,1612,3295,4227,1523,3548,8438,3752,6128
"AACS",631,1640,2339,898,713,891,2870,1424,1021,762,1025,1172,1552,1160,600,529,1165,535,1034,1902,1486,1793
"AADAC",11,103,1378,7,15,126,17,103,452,20,6,3,1,599,21,62,163,68,319,7533,1226,9
"AADACL2",10,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0
"AADACL3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",14,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,8,0,0
"AADAT",10,607,526,1003,868,1582,88,387,56,351,812,2795,334,189,144,574,641,609,1344,1429,266,2255
"AAGAB",1244,2387,2503,2041,935,2134,1205,2429,1350,1176,1311,1350,2311,1295,553,1185,1526,976,2901,3369,1924,6431
"AAK1",17352,8676,5425,9023,4216,7629,3286,3031,6768,1692,4539,8168,7107,3137,540,4623,7248,2042,8621,11249,2913,3944
"AAMDC",59,524,337,337,132,212,80,263,60,84,243,155,410,95,52,155,417,89,367,1306,62,259
"AAMP",1547,3844,4614,2535,3044,2392,1448,4146,1700,840,2085,2983,2613,1626,329,2060,1756,423,1816,3420,2313,2539
"AANAT",11,0,0,2,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,8
"AAR2",597,1041,1564,1049,542,993,378,1117,543,608,641,407,1470,483,242,563,949,295,885,1946,858,1522
"AARD",3,3,0,1,0,11,1,27,4,0,4,0,0,0,0,1,41,7,7,14,4,9
"AARS2",2957,2827,3277,2880,1158,1806,1288,1439,1964,1548,2562,1469,1987,1654,769,1321,1417,739,1226,2842,2028,3915
"AARSD1",232,335,438,414,201,180,240,87,218,181,215,798,246,212,57,94,164,83,164,431,311,216
"AASDH",2326,1966,1904,2056,1848,1930,1294,753,1622,979,1227,2743,1784,1351,336,1492,1666,938,2077,4347,1290,2024
"AASDHPPT",686,781,519,778,730,1128,724,765,517,516,552,920,608,436,237,739,882,313,1048,1496,519,1628
"AASS",1550,6323,10125,5036,1654,8113,5234,4555,1175,3394,4882,4590,5268,2055,596,1652,14217,1503,8368,10715,1088,2132
"AATF",3605,3594,3971,3655,3501,2968,1925,2636,2574,1806,2142,3002,5383,2793,724,3335,2876,917,3891,3793,4231,4804
"AATK",91,94,278,528,45,108,361,402,285,157,125,91,153,68,69,17,253,2,118,2053,608,430
"ABAT",1723,1025,1530,1170,974,2164,505,1097,1110,1281,575,1027,2508,1509,441,246,2932,314,3407,20915,326,3205
"ABCA1",13565,40370,34125,100725,20112,51937,28461,35349,12630,8459,29907,26733,27429,19472,2395,25615,44781,8376,27786,53949,16218,25184
"ABCA10",245,5696,1417,1819,238,1434,87,296,304,1248,254,440,468,35,311,35,4320,1329,860,4155,118,72
"ABCA12",15,469,222,3250,1300,1066,535,62,1192,993,2716,2044,25855,1906,1351,26,238,3527,6326,6340,107,217
"ABCA13",323,67,5556,1066,9162,2854,1479,1220,502,22045,4996,23574,1745,766,25691,57,7345,837,2104,110,246,141
"ABCA2",5504,6557,8097,4767,2712,3658,1205,2160,4278,1704,4001,3906,5578,2597,494,2491,3355,2538,2522,7063,7023,5044
"ABCA3",1934,3345,37194,14780,8997,25933,6086,183087,1507,1287,1776,4673,104370,14078,507,291,63087,1190,24940,12578,347,11681
"ABCA4",26,280,148,10418,5221,2323,172,314,83,594,1356,25902,369,103,68,146,443,323,7547,606,180,103
"ABCA5",5039,3199,4866,3104,2131,3314,1580,846,2571,3611,1743,6185,2368,173,2004,293,4915,781,3035,13806,2673,3233
"ABCA6",1126,16061,2697,4351,534,8541,84,1481,745,1653,662,251,3036,105,245,234,7323,2118,4223,9920,417,135
"ABCA7",8107,2613,5549,4881,4460,3534,4253,951,4591,3643,1411,4024,2796,1106,3155,593,2880,1288,1483,1560,2913,2256
"ABCA8",31,10920,2298,1100,45,2790,108,2642,132,1005,264,103,1705,30,3,160,7287,1353,3455,18921,73,162
"ABCA9",143,11455,1893,2676,234,1989,35,543,412,1242,411,169,1903,78,223,52,4074,1867,2060,6825,215,45
"ABCB1",2697,2349,958,1449,110,1694,519,1080,1921,804,859,331,1468,258,69,194,978,575,901,53367,732,16
"ABCB10",2224,1902,1886,2320,845,1907,1200,977,1355,1092,1491,1831,2182,1717,524,1002,1371,589,2047,3100,2080,2184
"ABCB11",81,360,49,7,345,22,6,1,154,52,2,4,118,88,54,10,24,4,0,83,36,38
"ABCB4",2827,665,250,706,367,264,229,134,1953,236,826,1721,2047,139,144,177,194,387,295,3198,184,412
"ABCB5",8,244,23,922,1,56,33,63,0,20,9,15,118,0,0,0,263,0,188,10,3,10
"ABCB6",92,310,113,290,228,203,126,111,166,32,184,1303,336,123,23,129,130,78,124,351,958,484
"ABCB7",3456,4253,2954,3956,2566,3468,2015,2588,2404,2157,2249,3480,3014,1790,682,2615,3034,1299,3436,7217,2789,4475
"ABCB8",672,916,982,1021,714,1216,213,546,475,478,512,530,356,497,206,250,642,278,511,1207,1069,445
"ABCB9",173,268,408,187,230,142,202,171,190,106,337,230,153,491,70,259,146,133,164,871,185,299
"ABCC1",11620,7671,16706,10006,5454,9664,4501,4682,10456,6054,4480,24370,7994,8142,1053,6570,8360,2295,6328,8788,135986,6739
"ABCC10",2676,2029,2007,2517,1150,1924,1098,937,1702,1465,1650,1258,1861,1304,713,830,1676,702,1212,9018,1949,1198
"ABCC11",9,63,182,11,7,30,32,2,31,21,2,357,88,22,8,61,2,43,21,31,25,11
"ABCC12",4,1,762,0,1,8,0,8,1,0,0,53,261,13,0,49,0,0,3,343,7,0
"ABCC2",1173,803,884,521,204,1042,526,73,18743,379,339,36643,1367,22865,123,4701,529,243,730,2380,190598,205
"ABCC3",1460,2869,40098,26897,11326,11564,1956,2779,9890,5354,11526,64112,16854,24525,1042,3186,4798,8798,25776,26805,14389,280
"ABCC4",3810,2718,1904,3095,957,5296,2394,2315,1239,2437,1595,2570,4388,817,717,1200,2599,898,3080,5227,2138,330
"ABCC5",2841,7989,7662,11522,3183,6668,3704,1105,3424,5036,5154,4682,3118,3252,1919,2010,5488,1948,5567,6994,5065,3609
"ABCC6",47,1276,3844,562,792,1733,1682,3039,221,1393,1765,2295,715,510,1341,164,3029,1226,2552,10532,586,90
"ABCC8",28,27,155,12,1,16,9,26,1,9,37,3398,154,7,1,0,109,0,107,6910,2,4006
"ABCC9",363,19203,3182,5956,149,3863,254,4007,676,1452,8211,169,1462,284,116,4940,6683,2932,3616,10975,1068,1212
"ABCD1",762,1229,1085,1449,1009,1235,1149,1336,927,449,867,906,696,591,300,259,1069,456,726,1579,1216,385
"ABCD2",1986,1100,96,528,111,576,129,157,914,159,117,110,315,29,27,44,253,82,238,402,206,12
"ABCD3",4373,7731,18341,6767,4210,10583,7548,14700,3783,8879,6799,10326,12541,1665,2844,2400,13340,3818,16869,19100,5567,16134
"ABCD4",1872,3831,3516,3306,1669,2375,1820,1555,1754,1203,2739,1578,1314,776,698,1248,1658,920,912,3074,1191,3276
"ABCE1",2987,3876,2334,2823,2345,3501,1239,2170,1585,1394,1891,3070,4215,2016,450,4734,2703,1187,2893,3984,2835,5294
