GENE_SYMBOL,GSM2445681,GSM2445682,GSM2445683,GSM2445684,GSM2445685,GSM2445686,GSM2445687,GSM2445688,GSM2445689,GSM2445690,GSM2445691,GSM2445692,GSM2445693,GSM2445694,GSM2445695,GSM2445696,GSM2445697,GSM2445698,GSM2445699,GSM2445700,GSM2445701,GSM2445702
A2M,12.18647896,13.55492077,13.96134851,13.16951664,12.30487529,14.58528582,13.84918267,13.79182825,12.92540096,11.93883845,13.17833003,14.53902069,12.63305816,12.43262075,14.72370093,12.8216697,12.35772002,12.44696298,12.6498206,14.16026057,11.10170649,9.144088562
ABCB1,6.96529865,6.858375669,8.801499743,7.140401994,6.347494925,7.503881129,8.793559161,8.606502271,6.841156265,6.882254922,6.816824831,8.468077438,5.16886295,6.358300853,8.403857255,6.155149795,7.218431044,10.8107077,8.233368594,8.583692512,6.66999025,7.053486013
ABL1,9.139977181,9.568119794,9.211687843,9.140401994,9.166098989,9.432327868,9.124532395,9.805282136,9.454973628,9.388145852,9.77412038,9.764517928,9.485397787,9.06979576,9.685769671,9.605811204,8.424881921,8.642715307,9.200653019,10.2874063,8.748875414,9.407122968
ADA,7.431208479,6.246191699,7.105893179,7.840841712,9.180038179,7.407665814,7.20859666,8.191464772,6.703652741,7.523800951,7.213714984,7.601343969,6.695230797,7.358300853,6.270732172,7.524383604,7.342419761,5.99559633,7.146714212,8.502304186,7.735578591,8.275878435
ADORA2A,6.307087167,6.746265302,5.206822088,6.908586319,6.040313416,7.154546877,6.609959222,7.147070653,6.604117068,7.16913607,6.401787332,7.335882825,5.657362612,6.528225855,6.984427987,5.920684541,5.633468543,6.515603389,6.454836507,6.694949264,6.735578591,6.883561012
AICDA,4.516540533,4.509226105,3.804723644,5.388329508,3.858110085,4.964722318,3.8026043,5.732033154,3.796762145,4.408323734,4.864130546,5.406965923,3.562205379,4.25876518,4.7423532,4.055614121,4.595993838,3.727107494,5.239823616,5.279911764,7.535279941,5.999038229
AIRE,3.555014681,4.924263604,4.245296236,5.34985536,3.327595368,5.134647319,3.065638706,6.147070653,4.381724646,4.93883845,3.717289158,5.406965923,4.009664356,4.20629776,4.685769671,3.948698917,3.348066324,3.791237832,4.95603065,4.395388982,6.636042918,5.75803013
AKT3,9.845276099,9.383695223,9.363690937,9.871721025,9.942305212,9.936265872,9.690129571,10.33689521,9.100542894,8.966319187,10.46835495,10.65050612,9.225601755,9.670578778,9.137310504,9.333067587,9.016951308,11.35878063,9.589815629,10.64769051,8.841157348,9.935223132
ALCAM,9.703691948,10.54526886,9.775445852,9.863209525,9.374416225,10.65995061,11.05810503,7.316995654,10.60893945,10.95778755,10.10837928,9.468077438,10.05405847,10.69041202,11.32152406,9.859283996,10.32749152,8.573737565,9.954069134,9.720088826,12.56828111,9.053486013
AMBP,3.007526885,4.509226105,9.923664717,4.784258184,5.479598461,4.549684819,4.940107824,7.053961248,4.604117068,6.045753654,4.079859237,4.793989047,3.960754755,3.974972214,12.26289633,3.948698917,13.50517637,3.589603971,4.824786117,4.694949264,7.612959305,9.498270856
ANP32B,11.16312357,10.78313269,10.5316716,10.92585446,10.81944846,10.55156211,10.33242525,10.46899875,10.63911249,10.64778967,10.50705566,10.46308253,10.73213038,10.08167738,10.92226229,10.32641001,10.89496078,11.10451524,10.97646714,10.91169512,11.60968335,10.90222486
ANXA1,14.86771854,13.44502258,11.69737487,14.60615969,12.46941868,14.81236696,13.10957736,12.7617805,13.83448068,10.45514459,13.0837675,13.41690218,12.77143718,11.98035267,11.4602932,12.57917608,16.15601235,10.50488584,15.58886784,13.34465453,12.9709369,14.42174994
APOE,12.2554544,12.5890918,11.47462105,13.55996722,12.52917478,13.44727821,10.37245991,12.05396125,11.62251598,12.85770169,12.60777059,11.5179009,10.72528321,11.73247093,11.32210427,11.36849708,12.99866935,12.17813123,12.91905235,12.92286599,10.7809439,13.01541797
APP,11.79417351,13.38997576,12.59704915,12.32713528,12.58786154,13.67186572,12.40919458,12.69203509,13.1268387,11.70702277,12.59621589,13.05856963,12.0162242,12.4331559,12.89053642,11.89975942,12.41952869,12.59747221,12.51028582,13.0648192,11.32543084,12.2687044
ARG1,3.69940459,3.116908682,3.319296817,3.947756916,3.157670366,5.286650413,4.288031127,6.147070653,1.796762145,3.823361233,4.23186233,3.513881127,2.910128682,4.25876518,3.626875982,3.8332217,9.75214346,3.174566471,3.432468694,4.694949264,3.56565359,6.386061352
ARG2,5.213977763,6.04764602,7.597281564,6.462330089,6.223759557,6.488284274,6.387566801,7.732033154,6.320324102,8.204183017,5.494896736,5.660722516,4.388175979,4.808962262,7.573294942,5.640576622,5.497813444,6.867588718,6.017431195,6.016877358,5.051080417,6.105953433
ATF1,8.071958758,8.775120165,9.071510185,8.830399966,9.08248287,7.549684819,8.650601207,8.874991107,8.715625383,8.282792851,8.502391273,9.019409161,8.989994375,8.242573146,8.216839164,8.855589513,8.869666764,8.670687899,8.781196848,9.210649102,8.800870052,8.320966324
ATF2,9.701549862,9.912948291,9.735460982,9.753270491,10.14066394,9.309018226,9.747462746,9.556461589,9.976671235,9.664663487,9.897198248,9.357577896,9.517458996,9.528225855,9.442792918,9.281682201,9.325346248,9.63399809,9.493164626,9.961735804,9.647447681,9.891055548
ATG10,7.165068162,7.981094827,6.778728436,6.679560805,7.003160417,7.114469438,7.690129571,7.670632609,7.956633482,7.16913607,7.32778675,6.683806129,7.317092881,7.611281595,7.459765997,7.292653319,7.502884433,7.799057336,7.530500777,7.834500616,6.887581685,8.448345631
ATG12,5.861676019,5.608761779,6.147115842,5.973292008,7.003160417,6.746082032,5.181115924,7.147070653,6.578121859,5.93883845,6.059681355,6.165957824,5.672629368,6.232769971,5.468178236,5.740112295,6.435529165,5.571456624,6.858733449,6.476308977,5.808510114,5.883561012
ATG16L1,9.004054693,9.164032594,8.798268622,8.918479124,9.335089904,9.378350247,8.956409636,8.539388076,10.03993613,9.198400664,8.452966056,8.920845326,8.70082626,9.295331309,8.573294942,9.783534576,9.008062217,8.306594865,9.971627505,8.85985619,8.927889673,8.638448514
ATG5,9.147865091,9.355313422,9.434080264,8.992151036,8.768695164,9.231508859,9.222143192,9.27635367,9.587925034,8.853108576,9.148338975,8.871433132,8.966959905,9.089846172,8.408235696,9.474671392,9.366266503,9.01082727,8.803156101,9.29113902,9.459662894,9.066782836
ATG7,9.000574125,9.413824889,9.182244065,9.658071382,9.024949106,9.797612332,9.228869055,8.819495995,9.044689659,9.157261969,9.284973667,9.037443083,8.514284748,9.550758068,9.142575821,9.906470682,9.563599324,8.759528972,9.873337862,9.774434047,8.507385935,9.053486013
ATM,4.861676019,5.116908682,4.456800341,5.184796114,5.286953383,5.212649831,5.387566801,4.147070653,5.381724646,5.697830351,5.26748624,5.098843628,4.388175979,4.736812477,5.685769671,4.155149795,4.740383747,5.659993299,5.717870913,4.601839859,5.302619184,5.298598511
AXL,9.784845434,9.681058172,9.578569304,10.30027333,9.424456907,11.03886378,9.497484493,9.954425575,10.02558084,8.823361233,10.91626031,10.25727299,10.07647113,9.025057445,8.671270102,10.03779284,10.64383526,8.467348221,9.835480718,10.80869143,8.18232495,8.229335849
BATF,7.255454399,8.041721186,7.157240059,6.425804213,7.470553322,8.390987073,6.8026043,5.732033154,7.025580836,7.714132163,6.816824831,7.06407821,5.211298217,7.651082603,5.327315701,7.068438162,6.79100982,5.897032496,8.33935929,7.18680236,8.667191616,6.386061352
BAX,9.840416899,9.55153691,9.950109969,10.650177,9.851157324,10.52314303,9.747462746,9.336895212,10.10054289,10.45514459,10.07735238,9.966269469,10.01641119,10.11585754,10.13070172,10.46136342,10.03193819,9.833729914,10.51461774,10.524672,9.839915251,10.125147
BCL10,10.00579183,10.81648114,10.23218615,10.61106087,9.863302754,11.50581893,9.645583132,9.670632609,10.56494647,9.893034761,9.988085043,11.02506901,10.9360592,10.33405331,9.903000388,10.35939487,10.7494792,9.696036048,11.43528371,10.49584916,10.11511741,9.407122968
BCL2,7.907000009,8.517788119,7.69780844,9.148830616,7.424456907,9.154546877,9.215385826,9.25559511,7.2230269,10.08388878,8.218273266,8.47471053,6.680202588,8.290614046,8.468178236,7.346291282,6.83991942,8.032547466,8.971627505,9.125401815,8.568656078,6.298598511
BCL2L1,10.76805493,11.55829671,10.71247273,11.17657561,10.23715515,12.46007771,10.87299363,10.41385719,11.2072135,10.75015139,10.44034057,11.16800565,10.76455186,10.96513785,10.629691,10.52321967,11.1224416,10.8121574,11.35207693,10.41946312,10.63532712,11.78844647
BCL6,8.249601672,8.803409209,9.624902607,8.905273585,9.56281183,9.964722318,10.49748449,10.80528214,9.497201864,9.58269464,9.454898668,9.930527879,8.968507031,9.868207785,10.01776145,9.143076962,9.331059899,8.34716066,9.891900313,10.68363395,9.162588732,8.156579506
BID,5.114442089,6.246191699,4.245296236,6.290149114,5.064560962,5.822703313,4.650601207,6.147070653,5.884224987,4.93883845,5.816824831,5.513881127,5.529038515,4.358300853,5.5013451,6.248259199,6.392460443,5.477129241,5.132908412,5.279911764,6.400229981,5.999038229
BIRC5,9.742757428,9.832870673,8.619420542,7.106186279,9.117672299,9.046871359,7.095386049,7.954425575,9.571549205,10.20706553,7.167322078,7.991928424,9.434810308,9.59096161,8.584945302,8.982968819,9.465709425,10.29765322,7.781196848,7.476308977,9.280814814,10.25279482
BLK,6.456834287,4.509226105,5.126651739,7.34985536,3.617101985,5.357039741,5.181115924,5.954425575,4.381724646,4.823361233,5.401787332,6.098843628,2.910128682,6.428690181,4.211838483,4.707690818,3.595993838,4.477129241,4.754396789,4.016877358,7.77250516,5.620526606
BLNK,6.921797011,6.775120165,6.986053409,8.146026543,6.681232323,6.488284274,6.690129571,6.606502271,6.986586704,6.882254922,6.943357237,6.896350764,5.190236601,6.528225855,6.874803496,6.029618913,6.348066324,5.477129241,7.891900313,6.694949264,8.595400933,7.468523513
BMI1,8.225950404,8.987273402,9.011389193,9.371623175,8.8684768,9.309018226,9.486300755,9.556461589,9.193366927,9.25520702,9.37550064,9.500942072,9.136196761,8.941258218,8.31337651,9.385250311,10.88431354,9.701261317,8.837610157,9.206701917,8.466117916,9.193416274
BST1,8.261283477,7.949798696,8.715045145,9.359570515,8.653525393,8.692642773,7.568139047,9.053961248,7.841156265,7.681342228,9.77412038,8.876451207,7.954522801,9.393924763,7.299301324,8.496186713,7.472187636,6.580558831,7.632141039,8.694949264,7.459662894,8.275878435
BST2,10.21172179,11.72747219,10.066147,10.81459426,11.33820117,10.30011267,9.68034855,9.053961248,9.500665719,8.903734649,9.869936168,9.257272991,9.941977548,8.62633594,9.089037394,9.974477358,11.43287471,10.03833977,9.807508125,10.30227958,10.68874034,8.883561012
BTK,7.351481286,6.999551732,5.855349717,8.721602576,7.111866677,7.732906643,6.690129571,6.316995654,6.750958456,7.071288746,7.798677484,7.276381814,5.985416809,6.959204898,6.685769671,6.848172041,6.714388538,5.867588718,6.940263334,7.449836766,8.413650496,7.656150516
BTLA,7.0686384,5.701871183,4.904259318,8.190250544,6.367123732,6.895459656,6.235563708,5.732033154,5.966687147,5.560326827,6.624179753,6.772615396,4.05697007,7.013652682,6.289840995,5.33572204,5.278803662,5.659993299,6.476862813,5.864874265,8.81610993,7.105953433
C1QA,11.36440204,10.2384422,8.925146684,11.81635903,10.57341213,12.24142834,10.02757067,9.992560704,10.05885699,9.706004282,11.03276223,8.157737317,9.084341042,8.462637513,9.870049966,11.31232828,11.42086886,10.03088824,11.99518812,10.83194038,9.18232495,9.040065498
C1QB,13.0317076,11.48650603,10.53652753,13.5752908,12.37955953,13.68453892,11.76954228,11.39499817,11.71488,10.96461689,12.662942,9.649040711,10.66549319,10.3031593,11.31570908,12.88556332,13.12634883,11.49408807,12.76114362,12.48611215,10.62021269,10.84163033
C1QBP,10.62732361,9.849924004,10.73292475,10.62924634,11.42562745,10.85194293,10.21538583,10.42319506,10.20190361,10.66885128,9.861218951,10.44123583,10.35898245,9.751762818,10.64461235,11.65605805,11.34065067,10.41042115,9.673260026,10.67365972,10.52526921,11.12832125
C1R,11.69752486,11.80952418,12.38861231,11.98667591,13.94496079,12.26163852,11.33086304,13.04188842,12.54872456,12.07602667,13.73568807,13.3304077,11.74730605,10.56970249,11.50951903,11.40370993,13.42296039,11.1816872,12.73539316,13.35694998,10.349634,8.527417202
C1S,11.00665962,10.64047064,11.17665583,11.10112799,13.43000855,10.51354423,10.56282525,12.05696374,11.5764815,10.52380095,12.49630493,12.00687877,10.91053116,9.804557083,10.28865408,9.851885544,12.15159206,9.597472214,10.83334813,12.2888072,9.832440131,7.75803013
C2,9.531088841,8.671497534,11.14965356,10.47243854,10.79520092,10.17661061,8.719080945,8.147070653,9.127679024,9.227083419,10.2575556,9.302715961,8.11679423,9.249071784,12.42885373,9.403077308,10.16904302,9.368338215,9.649214552,10.16255481,7.887581685,8.275878435
C3,9.34326078,9.982641953,11.34388246,11.50508385,11.51741993,10.4665595,10.46651814,12.26601173,10.2230269,8.215678656,13.85171548,11.06737329,7.900435286,9.45983888,11.11672394,9.205361241,13.6238271,8.72094651,11.56945981,12.70687533,9.784176465,8.707989447
C3AR1,8.786867431,8.406927529,7.904259318,9.985892045,9.034187313,9.207896301,7.890067142,8.234533494,8.727499483,7.993286234,9.243089586,7.245685016,7.743018696,7.41141219,7.990280713,8.728039463,9.126143454,7.802951252,9.584753536,9.331573884,7.491653008,8.822160467
C4B,8.834564173,11.42183035,10.14838526,10.29648507,13.53067142,10.74772053,9.174163163,10.8952635,9.304556786,11.19550077,10.71970236,11.54020695,8.512164696,11.61474545,13.02846663,9.077981934,12.60294731,10.44072833,11.12943622,11.86737677,9.120242442,6.690915934
C4BPA,2.477012169,9.053546621,12.38242221,8.269685011,3.617101985,10.62114718,3.480676205,6.316995654,5.966687147,8.121041781,7.47217666,10.38424585,4.74662995,7.699337771,12.35649673,4.155149795,10.90696531,6.355138717,5.017431195,11.63305859,5.440122708,5.883561012
C5,6.40511925,6.438836777,9.385386008,6.881868981,6.386489057,6.286650413,7.095386049,7.732033154,6.654743141,8.681342228,6.840671573,7.461413707,6.272698761,6.59096161,10.97707853,6.72399263,9.348066324,5.743409307,6.699255235,6.694949264,6.703157114,6.298598511
C6,4.861676019,5.974889677,6.725289177,6.184796114,4.157670366,5.608578508,6.872993628,9.213159843,5.320324102,6.192595042,5.63785469,5.613416801,4.687736261,5.095266448,8.118729079,4.8332217,10.153004,4.437600877,5.891900313,8.302279577,4.944165213,6.942454701
C7,9.707966603,9.688661326,8.820735962,12.28123176,7.347494925,10.3846825,8.300855168,11.84751037,5.551649648,7.93883845,11.9350738,11.65926745,5.922952722,9.578114731,10.13467062,7.31434839,9.116250649,8.735281426,5.132908412,13.76758434,9.711331045,4.883561012
C8A,3.629015262,3.701871183,3.582331223,3.599833613,3.742632867,4.424153937,4.650601207,5.147070653,2.796762145,4.045753654,3.717289158,3.706526205,3.562205379,3.036372758,4.041913482,4.055614121,9.527975414,2.727107494,4.239823616,4.279911764,2.828687996,5.620526606
C8B,4.477012169,4.760764872,5.92810606,5.632255091,5.064560962,6.134647319,4.650601207,6.732033154,5.381724646,4.823361233,5.401787332,5.350382395,4.460325765,5.601157377,5.327315701,4.707690818,9.783736585,4.125656871,6.540993151,5.942876777,3.980691089,5.999038229
C8G,4.892049668,5.438836777,4.951565033,4.04729259,5.479598461,5.134647319,5.650601207,7.606502271,4.703652741,6.325861573,4.816824831,5.291488706,3.960754755,5.284300272,5.656623326,5.248259199,9.117904168,4.267675876,6.213828408,5.904402629,6.06815393,6.205489107
C9,4.436370184,4.509226105,4.167293724,5.532719417,5.327595368,5.665162036,4.8026043,6.316995654,4.381724646,4.823361233,5.553790425,4.291488706,3.803213478,4.943263354,4.7423532,4.707690818,11.76644604,3.852638376,5.561751711,5.087266686,4.612959305,7.656150516
CAMP,5.716478103,5.576340301,4.904259318,5.755111838,4.157670366,5.822703313,4.940107824,6.954425575,4.604117068,5.145289328,5.494896736,5.954453719,4.190236601,6.066120102,5.596502333,5.106240194,4.991922514,4.396958893,5.824786117,5.904402629,5.016314999,3.883561012
CARD11,9.216980251,9.406927529,8.931059377,8.934817861,7.625275917,8.009116437,8.300855168,6.732033154,9.454973628,8.438071077,7.810801044,10.32674603,6.503653196,9.089846172,8.909192221,8.814313237,7.517991326,6.344491473,8.551409767,8.694949264,9.866997353,8.131488525
CARD9,6.601707916,6.701871183,6.520930678,7.320311084,7.515222371,7.322274323,5.650601207,5.732033154,7.082164364,6.730251828,7.730113198,7.783341802,5.948263811,6.528225855,7.075336483,7.118623919,7.353690873,6.376200333,8.449276982,7.449836766,7.751520135,6.298598511
CASP1,8.035007622,8.116908682,7.063457913,9.233159135,8.657516254,9.313450472,8.620227558,7.901958155,8.288615242,7.346923189,9.084859918,8.513881127,7.23720008,7.585836578,7.803464714,7.292653319,8.588857656,6.975035008,8.220371254,8.456500496,8.615865036,9.34299263
CASP10,5.592489386,4.8173484,4.997368722,6.812827336,4.479598461,5.665162036,5.387566801,5.147070653,4.256193764,3.238398732,5.954328355,4.793989047,5.292598319,4.25876518,4.685769671,5.570187294,5.497813444,4.125656871,5.602393696,5.338805453,3.658762994,3.883561012
CASP3,8.613148857,8.69055587,8.551957574,8.947756916,9.610941,8.34842661,8.766078424,8.819495995,9.109645101,8.293681168,9.018458692,9.170050579,8.670729835,8.762023039,8.927609855,8.372380511,8.564812182,8.696036048,8.460374691,9.327944461,9.541406044,8.741542007
CASP8,9.894864683,9.938682664,9.892186486,10.38357598,9.543532767,10.36560175,9.996376044,8.053961248,10.87357774,8.785293192,9.885782204,10.18428447,9.043821366,10.10425523,9.482782649,9.695342425,9.14248219,8.718886988,11.16463612,9.790346286,10.42280521,9.527417202
CCL1,3.477012169,4.116908682,3.582331223,4.04729259,3.157670366,4.286650413,4.288031127,5.732033154,2.796762145,4.238398732,3.717289158,4.165957824,3.10277376,3.538873099,3.7423532,3.948698917,3.517991326,3.437600877,4.239823616,3.694949264,2.980691089,5.105953433
CCL11,4.69940459,8.364836196,6.456800341,5.532719417,6.266194823,6.847365367,7.153101547,5.954425575,8.082164364,5.882254922,6.74282425,7.783341802,6.068558045,5.095266448,4.626875982,6.377542216,5.902655176,5.075030798,9.284217736,7.137892759,3.658762994,3.883561012
CCL13,8.5597526,9.489773742,5.126651739,8.129086681,8.433794772,7.859540081,6.387566801,7.316995654,9.830185147,5.697830351,9.493017003,6.321236049,7.63415522,6.943263354,9.181464834,10.30354163,10.53418056,6.344491473,9.047178538,9.779757651,5.56565359,5.620526606
CCL14,6.295771854,8.296817772,9.084831564,9.603926367,5.712259218,8.572052632,10.36941945,11.60650227,5.256193764,6.486326246,8.449093047,9.494428765,6.897189626,7.694584241,8.569390488,6.081149213,7.902655176,6.186539113,7.173935681,11.36825834,7.948781841,5.620526606
CCL15,4.061974669,3.8173484,6.264155263,3.599833613,3.479598461,4.871612914,6.181115924,6.468998748,4.11869024,5.145289328,4.157861749,5.098843628,3.857661262,4.095266448,4.626875982,4.496186713,5.435529165,4.125656871,5.132908412,4.864874265,6.166557635,5.468523513
CCL16,3.830649123,5.071104993,5.423633477,4.04729259,4.064560962,4.134647319,5.288031127,6.847510371,3.966687147,4.697830351,4.610373954,4.954453719,3.74662995,5.066120102,4.565475438,4.055614121,7.79100982,3.437600877,4.519931535,6.154380882,3.828687996,4.883561012
CCL17,8.714354931,8.261566925,4.319296817,8.383575978,4.157670366,5.608578508,6.728603719,5.732033154,5.654743141,5.238398732,7.553790425,6.198379302,3.960754755,5.773338353,6.211838483,6.270627012,4.902655176,4.589603971,8.047178538,6.338805453,6.529127714,5.105953433
CCL18,11.51867132,10.55985218,7.83657251,12.13334033,9.915893581,10.92037223,8.31356622,9.954425575,11.70590519,8.973108352,10.15548694,8.214320845,9.118188812,9.857615263,10.92837218,10.54517541,9.299351039,8.201366531,11.01366928,13.1471905,8.154618021,7.822160467
CCL19,7.471994094,9.799903266,7.778728436,12.62824203,7.040313416,10.7864963,10.6605853,10.49579881,8.447813837,8.93883845,10.24755614,9.756374755,5.594626856,10.12736729,7.783380468,7.167122436,8.520493833,8.517974294,8.069093315,10.67936772,11.57762623,7.546526025
CCL2,9.454292092,11.87012543,9.497214609,9.634257443,11.26815368,13.11415191,10.08058905,9.573335408,11.18585567,10.16321124,11.00004666,10.08806916,10.01715889,8.293760601,9.519671748,10.00648241,11.53139155,10.9998433,11.11634056,12.02754532,8.764671503,12.35523623
CCL20,6.40511925,9.276780019,11.89748079,8.444182742,6.871915884,11.82114785,5.181115924,8.394998166,13.67366274,9.860450552,8.909934236,7.245685016,5.717483604,7.951256145,8.294578914,6.877615819,5.705618329,7.971579449,9.965798426,7.68363395,7.944165213,6.386061352
CCL21,7.993587694,8.543173437,7.676848822,13.08767365,7.532709798,10.90136026,8.411413543,9.606502271,8.366617754,9.626416017,9.220547017,10.41905321,4.460325765,9.633804611,9.994654729,7.77964066,8.020491666,10.39438035,8.076324884,9.112801778,12.30846826,4.883561012
CCL22,7.587857937,7.904811242,3.997368722,9.383575978,4.064560962,5.71960982,5.181115924,6.732033154,7.381724646,4.697830351,8.661478295,6.637263543,5.495091183,6.151849976,5.656623326,5.707690818,5.497813444,5.267675876,10.06000258,7.540439314,7.295387615,6.546526025
