"GENE_SYMBOL","GSM5430032--HN001","GSM5430035--HN002","GSM5430037--HN003","GSM5430039--HN004","GSM5430041--HN005","GSM5430043--HN007","GSM5430045--HN008","GSM5430047--HN009","GSM5430049--HN010","GSM5430051--HN012","GSM5430053--HN014"
"A1BG",15,24,35,10,2,6,1,4,16,7,15
"A1CF",0,0,0,0,0,0,0,0,1,0,0
"A2M",75987,13599,6600,7892,5740,8641,9542,5875,5005,14983,2479
"A2ML1",1354,9188,2701,19143,173952,69530,38568,24908,57239,104751,23259
"A3GALT2",1,19,7,0,3,0,0,0,10,4,1
"A4GALT",6271,1829,1271,2339,9074,3096,3174,1158,12673,3058,2448
"A4GNT",1,0,0,0,0,0,0,0,0,0,0
"AAAS",4523,1657,3221,2170,3797,3204,2812,2913,4928,4306,2790
"AACS",2486,2545,3008,2524,5046,6774,4754,4832,12107,5832,3426
"AADAC",14,5,2,6,408,0,6,47,56,689,1
"AADACL2",1,0,0,0,685,6,1,79,85,740,22
"AADACL3",0,1,0,1,0,0,1,0,1,0,7
"AADACL4",0,0,1,0,0,1,0,0,0,0,0
"AADAT",321,67,89,33,283,31,98,16,299,589,46
"AAGAB",3337,3250,4123,7219,3100,3563,4833,6196,7795,3293,3907
"AAK1",6888,2205,4235,4169,2637,3236,3916,5646,7425,2824,3692
"AAMDC",848,436,627,161,624,237,269,377,978,1009,1081
"AAMP",9537,3636,10794,11152,7776,9031,8582,11541,11425,9611,8497
"AANAT",1,0,0,1,0,0,0,5,0,4,0
"AAR2",5369,1522,4799,3254,1777,11050,2675,2705,3264,2540,3156
"AARD",0,31,0,6,9,0,1,0,0,45,0
"AARS2",1977,1034,2300,1264,1678,1096,1322,2161,1880,2400,808
"AARSD1",389,244,397,417,376,190,230,223,300,451,333
"AASDH",664,287,489,1436,439,837,574,671,1055,745,515
"AASDHPPT",1290,1038,3142,960,1543,1893,2334,1321,17107,1856,893
"AASS",270,463,159,192,219,324,276,66,479,762,64
"AATF",5719,2402,5548,7720,4353,5209,5534,5733,8948,3192,5347
"AATK",229,544,195,162,34,136,276,105,188,164,497
