"GENE_SYMBOL","GSM5673325--patient 7","GSM5673326--patient 8","GSM5673327--patient 9","GSM5673328--patient 2","GSM5673329--patient 3","GSM5673330--patient 4","GSM5673331--patient 5","GSM5673332--patient 6","GSM5673333--patient 10","GSM5673334--patient 11","GSM5673335--patient 12","GSM5673336--patient 13","GSM5673337--patient 14","GSM5673338--patient 15","GSM5673339--patient 16","GSM5673340--patient 17","GSM5673341--patient 1"
"A1BG",13,23,18,3,4,5,20,6,8,910,14,282,0,16,22,1305,1991
"A1CF",2,0,2,0,2,1,2,2,0,1992,4,437,10,247,1,3843,6323
"A2M",5714,5873,11188,4220,695,1252,535,5607,4784,14395,7088,3964,4855,955,6820,23964,40725
"A2ML1",3,0,14,4,25,8,0,87,20,0,40,3,30,18,46,2,8
"A3GALT2",2,1,3,2,0,0,8,2,4,1,5,5,9,2,1,1,0
"A4GALT",3202,3571,735,1811,386,185,68,347,1510,50,277,65,296,464,912,110,21
"A4GNT",0,0,1,2,1,0,8,1,0,3,7,1,0,0,0,3,7
"AAAS",801,884,868,1013,605,478,912,903,1681,739,2370,2374,1272,2730,1462,992,703
"AACS",284,301,835,795,375,466,507,541,1025,82,1319,946,542,2140,912,112,130
"AADAC",0,0,7,133,37,42,49,74,70,1230,41,322,238,0,393,3617,4571
"AADACL2",0,0,0,4,4,0,0,2,0,1,0,2,1,0,6,1,2
"AADACL3",2,0,111,6,2,0,1,3,1,0,0,0,3,0,46,0,0
"AADACL4",0,1,0,0,1,1,7,0,0,0,0,0,0,0,1,0,0
"AADAT",29,45,32,37,14,62,77,7,190,531,96,1266,59,91,2873,843,1327
"AAGAB",887,888,758,990,570,1016,694,793,924,137,680,1057,1044,1815,1027,209,239
"AAK1",1137,1285,1376,1432,915,367,646,1127,823,410,1740,762,534,2072,1132,463,349
"AAMDC",101,104,1304,141,268,195,470,476,277,197,260,344,1797,907,211,300,319
"AAMP",2057,2174,2074,2472,1309,1875,1595,3113,4682,1245,5833,2964,4806,5145,2281,1744,1900
"AANAT",0,2,11,14,1,4,12,1,18,0,7,4,6,1,10,1,1
"AAR2",1231,1260,720,604,682,548,993,623,1342,312,1205,1525,1104,1789,1204,345,400
"AARD",18,12,21,5,98,36,127,256,52,3,291,1,661,85,68,1,0
"AARS2",1187,1251,533,469,277,426,869,294,1003,200,687,1976,588,972,1052,374,306
"AARSD1",96,82,96,164,49,33,41,37,89,60,62,341,77,112,117,61,85
"AASDH",207,201,343,352,213,231,258,160,236,104,348,423,289,258,512,131,136
"AASDHPPT",519,495,554,448,174,426,1055,689,985,191,711,804,864,1210,950,361,463
"AASS",100,123,202,91,41,10,156,147,168,1391,392,520,78,138,155,824,1381
