"GENE_SYMBOL","TCGA-DA-A3F2","TCGA-FR-A3YN","TCGA-FR-A3YO","TCGA-FR-A8YD","TCGA-GN-A8LK","TCGA-QB-AA9O","TCGA-WE-A8K5","TCGA-WE-AAA0"
"A1BG",28,52,19,43,276,35,56,70
"A1CF",0,0,0,0,1,0,0,0
"A2M",54369,100515,153886,43755,27246,72453,53087,140754
"A2ML1",2,4,1,2,7,9,4,5
"A3GALT2",0,1,1,0,0,0,5,1
"A4GALT",1515,116,305,124,343,115,449,243
"A4GNT",0,4,1,0,0,0,0,2
"AAAS",1659,2597,4267,4138,2527,1668,2746,3228
"AACS",594,2547,5514,969,1274,489,1017,1641
"AADAC",0,0,1,32,0,0,0,0
"AADACL2",0,1,0,0,0,0,0,2
"AADACL3",0,0,0,0,0,0,0,0
"AADACL4",0,1,0,0,0,0,0,1
"AADAT",30,190,38,74,79,59,569,113
"AAED1",274,1015,268,389,660,665,1218,1700
"AAGAB",454,2418,1204,961,3330,1691,2294,3305
"AAK1",993,4716,1221,604,2187,894,1382,2186
"AAMDC",432,535,1847,416,1166,340,953,624
"AAMP",3458,13413,10779,7778,8488,5774,7613,7436
"AANAT",8,19,9,10,1,1,13,17
"AAR2",2038,5771,5879,4505,3638,2215,3908,3888
"AARD",0,122,0,44,24,0,1,149
"AARS",6938,13590,18846,24368,14838,3122,10585,9519
"AARS2",560,3246,3914,6276,4486,1774,3696,1696
"AARSD1",52,468,158,190,283,126,512,369
"AASDH",69,1958,123,172,294,63,641,896
"AASDHPPT",248,3130,1219,990,838,688,2847,1599
"AASS",28,1322,571,377,181,107,926,486
"AATF",2691,10750,4901,5777,8675,2853,5528,6394
"AATK",101,6474,256,621,2630,615,3345,276
"ABAT",228,161,119,60,112,36,86,207
"ABCA1",2121,5583,698,656,166,417,3002,2872
"ABCA10",3,138,0,9,57,9,162,188
"ABCA12",0,17,48,1,3,1,22,8
"ABCA13",3,61,18,68,8,13,8,46
"ABCA2",4126,5409,3585,2476,3295,898,5084,2756
"ABCA3",271,1826,76,7709,1228,1999,376,4661
"ABCA4",10,29,157,9,11,6,6,8
"ABCA5",53,5723,74,168,790,192,2354,3754
"ABCA6",88,157,3,11,10,47,233,120
"ABCA7",1514,1030,1063,904,1486,1423,1031,4164
"ABCA8",17,19,3,160,22,220,33,73
"ABCA9",109,155,0,18,27,10,1624,83
"ABCB1",114,516,409,19,31,45,49,160
"ABCB10",74,1580,122,257,315,427,1250,2267
"ABCB11",0,1,0,1,0,0,0,0
"ABCB4",71,1999,223,3,219,476,191,197
"ABCB5",104,494,950,4216,864,3691,6719,519
"ABCB6",118,610,784,891,1049,238,958,330
"ABCB7",214,1886,323,182,574,378,1408,1320
"ABCB8",1809,5339,8096,6900,5938,2519,6670,2897
"ABCB9",150,607,2465,636,580,450,424,662
"ABCC1",2079,3763,6026,1235,2664,314,1973,3143
"ABCC10",1030,1547,2471,5875,3118,2056,1737,2451
"ABCC11",0,208,58,45,21,22,219,588
"ABCC12",0,0,0,0,1,0,5,3
"ABCC2",19,202,1019,4296,2476,179,1209,3231
"ABCC3",925,291,218,475,7,74,100,327
"ABCC4",201,1026,151,362,146,18,112,996
"ABCC5",1007,4291,3782,5907,1971,709,2750,6235
"ABCC6",27,16,22,135,22,12,24,13
"ABCC8",8,0,1,1,0,1,0,0
"ABCC9",104,58,37,85,108,22,170,121
"ABCD1",3572,10693,47198,3203,13349,5576,8285,16319
"ABCD2",37,61,1,3,1,27,20,46
"ABCD3",134,7242,494,862,664,260,3292,3836
"ABCD4",882,2239,908,835,887,1388,3474,2443
"ABCE1",435,6397,774,1069,1426,1177,5611,4649
"ABCF1",2904,11140,9172,12017,11791,3079,13599,10314
"ABCF2",1700,10201,10184,7322,5847,2922,9221,5296
"ABCF3",2314,5738,6795,5081,4426,1822,3123,4851
