GENE_SYMBOL,GSM2445676,GSM2445677,GSM2445678,GSM2445679,GSM2445680
A2M,11.90462025,13.03005843,8.19349052,13.75895316,11.55859526
ABCB1,5.361138753,7.315528665,6.386135598,8.754496268,4.907830705
ABL1,9.696425231,10.21109872,8.556060599,10.12787113,9.721355395
ADA,8.048616165,8.873711835,8.244116593,7.406140048,6.978220033
ADORA2A,5.394305617,6.364438266,7.77845302,6.03488424,6.351437357
AICDA,4.104799,3.836059293,6.556060599,4.318677206,3.848937016
AIRE,3.742228921,4.527936998,6.708063692,4.833250379,4.585902611
AKT3,10.76934505,10.01060092,7.473598439,9.927064053,10.39711673
ALCAM,11.68558098,10.1440482,8.029991787,9.341045019,9.002066775
AMBP,3.742228921,3.942974497,6.845567216,3.970753903,6.351437357
ANP32B,11.72114363,10.92678246,10.39736285,10.86115638,10.83667474
ANXA1,14.22078188,14.42073276,17.53492992,16.92501632,12.16672646
APOE,11.76538921,10.5182436,6.556060599,10.86667338,12.5363127
APP,12.9501148,13.9189248,11.08657532,13.10518022,12.67760244
ARG1,4.635313717,5.042510171,6.845567216,4.759249798,3.263974516
ARG2,6.504729607,7.157987388,8.556060599,8.292681998,5.656291938
ATF1,9.206337026,9.225731995,8.430529717,8.86446911,8.807006336
ATF2,10.9454021,9.701673613,8.515418614,9.630263357,9.46854566
ATG10,7.124698557,7.829106533,7.708063692,7.544745286,6.393257533
ATG12,6.519836499,6.836059293,6.971098098,6.465518595,6.372498972
ATG16L1,8.430729025,8.883812425,8.386135598,8.763987717,8.507148499
ATG5,9.650835989,9.536499012,9.595588963,9.427201663,9.526069361
ATG7,8.567869196,8.856718764,9.430529717,9.482865838,9.149670889
ATM,5.519836499,5.345072941,5.971098098,5.41821288,5.071329438
AXL,9.363234171,10.23890738,8.556060599,9.918590048,10.6149137
BATF,5.426727095,6.968509589,8.244116593,6.465518595,6.433899517
BAX,10.20166054,10.11575915,9.925294409,10.02504988,10.5319316
BCL10,10.19579353,9.966926819,11.9710981,10.85005867,9.882360018
BCL2,7.946101254,7.923522135,7.909697554,9.328305907,8.018862018
BCL2L1,10.58771897,10.81861416,11.34613753,10.59480161,11.4389002
BCL6,10.8941515,10.17864686,10.68991635,10.00317538,9.507148499
BID,5.865611336,6.45754767,5.971098098,5.465518595,4.964414234
BIRC5,9.412632265,9.144048197,9.363415521,7.344212298,8.988488369
BLK,3.104799,5.180013695,7.473598439,6.442059622,3.433899517
BLNK,6.182801512,7.325444134,8.877988694,8.050481095,7.170865111
BMI1,9.210998404,9.146846831,10.08657532,10.0524189,9.346123557
BST1,8.000963189,8.185468125,8.244116593,7.995138061,8.651991801
BST2,8.079532241,10.22837672,10.96356443,8.488602208,11.60215377
BTK,6.084621118,6.836059293,6.971098098,7.155178474,6.964414234
BTLA,4.889070309,6.066356913,7.386135598,6.533690097,5.351437357
C1QA,9.619622619,10.3547881,7.971098098,9.114948629,10.47220887
C1QB,11.10040914,11.87582196,10.53588272,10.85339695,11.95178758
C1QBP,11.08271489,11.37879356,11.01549222,11.18904193,10.39325753
C1R,11.81522281,13.5614911,12.01184444,12.9913551,14.0325724
C1S,10.94959193,12.60627845,10.34033191,12.15337398,13.02946782
C2,8.635313717,8.797397673,8.19349052,8.331501247,10.51308797
C3,8.726036887,11.30679637,7.293026193,12.77077133,11.10553886
C3AR1,8.36532655,8.354788096,8.19349052,8.735323958,9.354086935
C4B,7.642233131,10.1936113,6.845567216,11.57066675,8.886026335
C4BPA,3.256802093,4.720582076,5.708063692,3.833250379,5.351437357
C5,6.676340985,6.135619575,7.19349052,6.72077565,9.871304829
C6,4.578730188,5.089815886,6.971098098,7.868874289,4.787536472
C7,6.662794453,8.066356913,6.386135598,12.035864,4.964414234
C8A,3.519836499,3.595051194,6.845567216,3.970753903,3.848937016
C8B,4.635313717,5.042510171,6.845567216,4.903639707,4.263974516
C8G,5.889070309,5.042510171,7.473598439,5.598785125,6.241254439
C9,4.635313717,4.720582076,6.708063692,4.903639707,5.351437357
CAMP,5.02233684,5.45754767,6.845567216,6.292681998,5.585902611
CARD11,9.61611241,7.475469578,8.244116593,7.886361716,7.929310433
CARD9,6.064157016,5.750329419,7.386135598,6.183747626,6.330063706
CASP1,8.215644769,8.880453413,9.909697554,8.609354367,8.981650939
CASP10,5.02233684,4.527936998,6.386135598,4.318677206,5.170865111
CASP3,8.652550422,9.060432079,8.812400352,8.533690097,8.005441502
CASP8,9.957241812,9.629475025,9.535882717,9.479989077,9.182837753
CCL1,3.104799,4.45754767,7.086575316,4.511322284,4.263974516
CCL11,5.792854994,8.042510171,6.971098098,4.903639707,5.818563367
CCL13,8.215644769,8.33529192,7.086575316,6.640605301,9.300148128
CCL14,6.30991343,8.996706481,8.877988694,10.2255678,6.87868436
CCL15,3.519836499,4.042510171,7.708063692,3.970753903,9.436402024
CCL16,3.742228921,4.223082417,6.19349052,4.318677206,4.170865111
CCL17,5.064157016,6.135619575,7.556060599,5.598785125,3.723406134
CCL18,10.08080614,11.7862226,7.473598439,8.465518595,8.723406134
CCL19,7.662794453,10.15937393,7.473598439,11.07069937,7.340790113
CCL2,9.862651961,10.90958294,8.743687602,12.16012923,12.98550098
CCL20,6.716233712,9.684441484,10.07263612,8.073564708,11.43952407
CCL21,5.635313717,7.856718764,6.845567216,9.235836137,5.433899517
CCL22,5.689761501,6.643414215,8.1410231,5.555716404,4.170865111
CCL23,3.635313717,5.383547089,4.971098098,5.970753903,4.723406134
CCL24,4.519836499,1.720582076,3.386135598,3.833250379,2.848937016
CCL25,3.519836499,3.45754767,6.971098098,4.970753903,4.433899517
CCL26,8.099780925,5.135619575,6.556060599,4.681247286,6.62152652
CCL27,3.841764594,3.45754767,5.708063692,4.096284785,4.848937016
CCL28,3.256802093,6.836059293,5.708063692,9.945950512,4.170865111
CCL3,7.614354098,7.33529192,9.575960156,8.890700651,10.38550803
CCL4,7.689761501,7.897170808,10.53588272,10.02109729,10.27380313
