GENE_SYMBOL,GSM2445703,GSM2445704,GSM2445705,GSM2445706,GSM2445707,GSM2445708,GSM2445709,GSM2445710,GSM2445711,GSM2445712,GSM2445713,GSM2445714,GSM2445715
A2M,11.11344379,11.9549031,12.31818042,15.37052483,13.68076158,9.803143474,12.91133483,11.93888177,10.41995328,11.39338069,11.01720659,11.94689902,13.70112448
ABCB1,5.089491465,4.926884305,8.075598512,8.657716644,7.0020784,4.159287285,8.044146663,7.264793376,5.870586336,5.493767264,5.775091073,6.620916067,6.290962251
ABL1,9.595019498,9.202438737,9.574884188,9.555553992,10.00377869,8.697152779,9.02284315,9.032198918,8.610271431,9.166726246,9.048109567,8.802471505,9.113228883
ADA,6.99638206,7.236986964,9.162602554,7.381471365,7.83640037,8.629607219,7.640032813,7.611958762,8.137019318,7.466286528,7.241790692,7.708940815,7.738421228
ADORA2A,5.954561884,5.067061963,6.792144565,6.114684824,5.361620787,4.159287285,6.121901821,7.991111726,6.096862192,5.192111564,7.227217891,5.649297868,6.509602538
AICDA,3.604064637,3.012614179,4.792144565,4.362612338,4.666475368,3.033756402,4.367014319,5.762293035,3.727628382,3.853309651,3.692628913,4.382511328,4.094565039
AIRE,3.530064056,3.31217446,4.714142053,3.574116443,4.444082947,3.033756402,3.58940674,6.569647957,3.843105599,4.520734312,3.927094166,4.13739883,3.509602538
AKT3,10.85436306,8.005661418,10.4480989,9.839198677,10.22398466,8.71003407,9.992723162,9.689083188,8.067478385,9.763026291,9.854279524,10.23660051,9.240921569
ALCAM,11.50221251,11.49052808,10.40064258,10.56486507,9.398279257,10.92995118,12.59603337,9.842666452,11.16918932,10.57561494,8.878961671,10.48579914,11.69633583
AMBP,3.089491465,3.482099462,3.866145147,6.55762832,3.974597663,5.651140381,3.869514659,7.724224994,4.464593976,3.853309651,3.692628913,3.289401923,3.094565039
ANP32B,12.44610063,11.26382345,11.33130338,10.62939888,11.5870409,11.64293514,11.51039753,10.74338457,10.85948534,10.71858806,11.77509107,10.97543548,10.64915389
ANXA1,14.33504417,14.07714969,14.27213751,13.50633119,13.06042757,11.52177909,15.52009128,12.86229826,14.50543163,14.61730307,15.56142878,14.57857549,15.34214647
APOE,11.34452003,11.33696785,13.55893498,9.610539851,10.49815962,9.100824023,11.36136776,12.21933184,8.539270662,9.601897165,7.885936842,11.46366185,12.08324973
APP,12.11877869,12.70328376,12.64914336,13.05077061,13.05551766,11.57502905,11.85451943,12.03064009,13.37073297,12.90075438,12.27338627,12.40817,13.33932527
ARG1,4.411419559,2.634102555,4.451107647,4.436612919,4.081512867,3.618718903,5.911334835,4.425258048,4.390593395,6.208790306,3.775091073,6.542382664,3.509602538
ARG2,5.037024045,6.569562303,7.426860101,7.068881134,5.559560164,6.505062121,6.411408438,6.154610458,7.322574971,7.335702418,6.450656122,7.234260369,5.638885555
ATF1,8.674453965,8.841605015,8.787391035,8.751309445,8.801634951,8.852774242,8.621255606,8.291072701,8.356985002,8.847995851,8.964915632,9.47790835,8.503955975
ATF2,9.190529163,10.15216553,9.436000755,9.771109687,9.540944486,9.363858429,9.54360305,9.246108812,9.24332822,9.027941655,8.93608295,10.1010442,10.05263436
ATG10,6.539524385,7.725802389,7.724126142,6.972665819,7.029045447,7.128913636,7.130779972,7.677176422,7.508988096,6.39520343,6.814619437,7.667913546,8.033164494
ATG12,5.821295354,5.787907891,5.936534475,6.159078943,5.888867789,5.113483595,7.208316573,6.221724654,5.500217886,6.884787882,5.713690528,6.415934329,5.757530051
ATG16L1,8.98776893,9.506931315,8.966281818,8.669273676,8.627304771,7.817498767,8.954479327,9.238026466,9.105561887,8.569977831,8.339875692,8.237379711,9.105792294
ATG5,9.457062225,9.338697903,9.480854991,9.333853345,9.035709178,9.25116339,9.531921245,8.628541646,8.927300727,9.112360543,9.346633058,10.12060359,9.771697383
ATG7,8.883907331,8.829843849,9.332119611,9.521952588,9.10388068,7.836419629,8.989066138,9.418121867,9.264199399,8.431182727,8.687315113,8.488419836,9.410469346
ATM,4.954561884,4.804027557,5.351571974,5.02157542,5.13213894,4.355684497,5.103979913,5.669183631,5.534983304,5.087774905,4.463147067,4.841942946,4.969034157
AXL,7.91513174,8.514298284,9.338632918,9.194169608,10.22544266,6.992177299,8.872164238,10.31303982,7.593876993,8.027941655,8.112960712,8.942844162,9.21696167
BATF,5.821295354,4.866763312,7.743889397,6.896044538,4.974597663,3.822252297,6.191442754,7.938881767,5.390593395,4.975300175,4.927094166,5.13739883,6.486882461
BAX,10.38279888,10.8386737,9.953607988,9.765736515,10.28398656,9.853935365,10.49285825,10.36715509,10.64847744,10.35923793,10.3373335,10.22721709,10.20134606
BCL10,9.823233158,10.18561857,10.16992589,10.04984987,10.14606318,9.173307755,9.816850781,9.750977722,10.99597544,10.39975022,10.89576096,10.0725093,10.25779539
BCL2,9.028650864,7.219065056,9.919256483,8.931668447,9.340247136,7.438510929,8.916478138,9.609872435,8.486961789,8.72004312,7.399581938,7.937100179,7.638885555
BCL2L1,9.534801975,10.56365687,10.08724887,10.69400076,10.48604624,10.03478068,10.39768145,10.15604099,11.10556189,10.04545739,11.97339968,10.85418654,10.9452728
BCL6,9.69364753,10.06455511,10.09688615,10.40815647,9.159854319,9.01726828,9.801642546,9.185759157,10.16780544,10.32139458,9.463147067,10.26515438,9.666949473
BID,5.510955233,5.012614179,6.451107647,5.284609826,5.666475368,5.822252297,5.826445937,5.905250989,6.568930636,5.409703,7.75998418,5.448600518,5.901919961
BIRC5,10.45331334,10.66972647,10.92576,7.772896307,9.939493862,10.78225423,8.971876377,7.747186143,9.624465313,9.717131525,10.18165042,10.44927326,8.776389079
BLK,3.452061544,2.31217446,5.00364867,5.02157542,4.361620787,1.896252879,4.688942414,7.462732753,4.534983304,3.935771811,3.927094166,1.967473828,4.757530051
BLNK,5.282136542,6.588298866,8.075598512,6.590418255,5.559560164,4.505062121,6.396761662,7.693030373,7.096862192,5.409703,7.270501989,5.686292076,7.463798848
BMI1,8.530064056,9.944260873,9.007741425,9.246541785,9.350973542,8.940646998,8.670795067,8.669183631,9.666227837,8.527398042,8.663157794,10.10958089,9.540269674
BST1,6.567538761,6.835736416,7.857100007,8.063052056,9.0020784,6.516839289,7.216680046,8.521626442,5.271948898,5.087774905,5.89056829,7.240492323,8.146227158
BST2,8.060213672,10.20243874,9.79451547,9.137052637,11.07828897,7.339196375,8.82917573,11.56427078,7.073403219,8.928238139,10.79622529,9.561176179,10.27447413
BTK,5.567538761,5.399637302,7.364396014,7.409305573,6.318552065,3.703607801,5.782051818,8.216249524,5.187060001,4.935771811,5.06459769,6.026367517,7.543025539
BTLA,5.304504355,4.866763312,7.463080289,5.787110166,5.228354256,4.329212286,5.890576275,8.3867839,4.230128723,4.672737405,4.412520994,5.336707638,7.06419139
C1QA,9.167832916,8.631846581,11.07657298,10.22582049,9.817189766,7.225376475,8.407760661,10.82838223,6.924025595,7.380556654,8.031430826,10.89722538,10.22384806
C1QB,10.8246848,10.2539557,12.61165141,11.62049638,11.4939315,9.074170671,10.02760452,12.14743643,8.203361813,8.598736824,9.538856726,12.65484951,12.07518067
C1QBP,11.78621066,11.83622638,10.95890229,10.71273732,11.59890106,11.86779643,10.14946657,10.26876592,11.26807935,11.17205182,12.19925736,11.08511693,10.65680746
C1R,11.20434926,12.0912782,13.08845706,13.1049661,12.94503545,9.933525269,11.59342651,11.45112613,12.61637163,10.74169478,10.79251814,11.31914927,12.98761371
C1S,9.878326299,11.20699222,12.29534264,12.19949321,11.66217523,8.659133172,10.33568111,10.15031032,10.1012186,8.391555653,10.40687443,9.919729728,11.94735461
C2,8.745660916,7.783849675,9.596785103,9.009502587,8.805539406,7.058140561,7.991505184,9.915422794,6.870586336,6.648489859,7.159754923,9.058468361,9.921113526
C3,9.421687895,9.930559963,10.9138144,11.58330887,9.685668933,7.025535896,10.80372586,10.96032874,8.271948898,6.409703,7.655014621,9.366929786,11.9893828
C3AR1,7.176954306,7.012614179,8.12164588,8.294593914,7.960658472,6.050058215,6.81547482,8.396499055,5.534983304,6.380556654,6.190128572,9.215401342,8.446240477
C4B,10.24430957,8.90276151,10.22369715,11.49243762,10.07990182,6.850449189,10.74350151,9.492480097,10.54247784,10.06046756,7.014557008,9.290903948,9.361351579
C4BPA,6.282136542,7.847449837,4.351571974,4.114684824,3.733589564,3.931876788,3.688942414,12.49700266,2.950020803,3.466286528,2.605166071,3.289401923,10.040984
C5,6.918761163,6.49208355,6.426860101,6.947574838,6.828746797,6.355684497,6.550236143,7.958690248,6.187060001,6.225278428,6.014557008,5.791902264,6.392245587
C6,3.805698499,3.704491883,5.866145147,8.565895936,5.666475368,4.128913636,6.941923155,5.499258629,4.534983304,5.225278428,4.927094166,4.997221172,3.831530633
C7,7.304504355,7.521627826,9.696501894,10.21797263,6.081512867,3.661787625,8.911334835,11.13733247,5.000646876,4.466286528,4.249022261,9.514368288,9.759900956
C8A,2.282136542,2.119529382,2.866145147,3.574116443,3.859120446,3.618718903,3.241483437,4.700892491,3.843105599,3.573201732,2.775091073,4.082951046,2.831530633
C8B,3.925992732,4.669726465,5.129179552,4.972665819,4.859120446,4.703607801,4.991505184,4.984685457,4.6020975,4.520734312,4.649560191,4.740063332,4.509602538
C8G,4.369599384,3.835736416,5.792144565,5.472236829,5.59608604,4.456967833,4.951976819,6.243419725,6.025308931,6.842662407,6.649560191,5.72236133,3.969034157
C9,3.369599384,3.119529382,5.067779008,4.574116443,4.081512867,3.744249785,3.869514659,6.534882539,3.464593976,4.158164233,3.853093585,4.967473828,4.831530633
CAMP,4.369599384,4.170155456,4.631679893,4.869572326,5.483611311,4.000589539,4.991505184,5.462732753,4.464593976,4.409703,4.734449088,5.05493667,4.831530633
CARD11,9.492807886,9.495809842,8.510001336,7.729394668,7.866614983,4.896252879,7.33664067,9.661146312,5.568930636,6.520734312,7.487809121,8.351178121,7.379967257
CARD9,6.224651048,5.35656858,6.610306242,6.243967841,6.0020784,4.949364215,6.257785249,8.735751248,5.187060001,6.257699906,6.319411589,6.336707638,6.237522992
CASP1,7.558260948,8.300859147,8.966281818,8.869572326,8.035709178,7.358959629,7.931798938,8.945514859,8.674047342,7.27364145,9.132643078,8.004563147,9.537508534
CASP10,3.282136542,3.482099462,4.631679893,5.284609826,4.522085459,3.574324784,3.782051818,5.131526845,3.843105599,3.466286528,4.128728028,4.511794345,5.367583533
CASP3,9.126057594,9.49208355,9.079492428,8.634321077,8.729485166,9.978934182,9.172220774,8.849755876,9.219481478,8.699537465,9.033526244,9.157298387,8.704359392
CASP8,8.704201309,9.962328674,9.88851296,9.772896307,9.302063942,8.529974691,9.424103511,10.60569071,9.478056236,8.802020422,8.538856726,8.852153145,9.484017128
CCL1,2.604064637,3.119529382,4.00364867,3.574116443,3.59608604,2.274764502,4.103979913,3.499258629,4.6020975,3.225278428,4.927094166,3.841942946,3.831530633
CCL11,5.96863707,6.053641447,7.588611171,9.372072667,10.66325147,6.45084173,7.224995314,4.264793376,6.292413001,4.935771811,6.638589073,4.289401923,7.64915389
CCL13,7.595019498,5.95603065,7.129179552,9.540949579,7.413709298,5.98371572,7.367014319,8.750977722,4.727628382,5.72004312,6.744717424,9.04962287,8.498287225
CCL14,5.882049385,4.866763312,7.811003592,11.34350351,9.290966233,4.329212286,9.613359062,8.160324109,6.650460521,5.788214623,6.263377554,5.997221172,7.795004757
CCL15,3.369599384,3.897136961,4.351571974,4.815124542,4.522085459,4.033756402,4.305613774,4.762293035,3.464593976,4.409703,3.190128572,3.382511328,4.31695746
CCL16,3.369599384,3.219065056,3.714142053,6.091964748,4.666475368,3.09788674,5.367014319,5.221724654,4.230128723,3.672737405,3.512056667,4.240492323,3.31695746
CCL17,5.708401297,5.145064475,5.631679893,5.787110166,5.274157945,2.661787625,6.157091249,9.910345856,5.697254733,5.225278428,4.649560191,4.841942946,5.463798848
CCL18,9.587058212,8.948799081,10.19706202,11.07613452,9.471374638,8.091994172,10.0926646,9.369623349,4.786522071,7.069627558,7.814619437,11.48218788,14.04256717
CCL19,8.390660999,7.665321286,12.98560508,10.94361465,10.12434478,3.159287285,11.79572343,12.34066573,8.390593395,6.013774323,6.775091073,5.572335886,10.57838082
CCL2,8.989495675,9.157664511,11.11881058,11.61053985,11.49453627,9.884369463,9.959471356,10.62957177,7.910850206,7.708361315,8.787560425,10.11383036,10.90834623
CCL20,7.282136542,6.730026975,11.58450677,6.32413819,6.859120446,4.033756402,5.804419631,7.958690248,11.00375279,5.9946655,9.445943995,8.579728021,12.95616895
