"GENE_SYMBOL","GSM4673103--P5","GSM4673104--P5"
"A1BG",0,0
"A1CF",0,0
"A2M",6,11
"A2ML1",8517,9530
"A3GALT2",0,0
"A4GALT",47,51
"A4GNT",0,0
"AAAS",2,3
"AACS",22,34
"AADAC",2,0
"AADACL2",0,0
"AADACL3",0,0
"AADACL4",0,0
"AADAT",4,0
"AAGAB",17,16
"AAK1",18,25
"AAMDC",1,3
"AAMP",89,100
"AANAT",0,0
"AAR2",135,129
"AARD",0,0
"AARS2",14,18
"AARSD1",6,1
"AASDH",1,5
"AASDHPPT",9,26
"AASS",0,5
"AATF",4,10
"AATK",4,5
"ABAT",12,4
"ABCA1",8,12
"ABCA10",3,0
"ABCA12",11,30
"ABCA13",2,6
"ABCA2",1,6
"ABCA3",0,3
"ABCA4",0,0
"ABCA5",7,11
"ABCA6",0,0
"ABCA7",65,64
"ABCA8",0,0
"ABCA9",2,0
"ABCB1",11,7
"ABCB10",5,3
"ABCB11",0,1
"ABCB4",0,0
"ABCB5",0,0
"ABCB6",7,2
"ABCB7",3,4
"ABCB8",83,98
"ABCB9",12,15
"ABCC1",16,21
"ABCC10",29,17
"ABCC11",1,0
"ABCC12",0,0
"ABCC2",0,0
"ABCC3",16,24
"ABCC4",0,3
"ABCC5",25,22
"ABCC6",0,0
"ABCC8",0,0
"ABCC9",9,4
"ABCD1",7,2
"ABCD2",0,0
"ABCD3",43,57
"ABCD4",1,6
"ABCE1",244,195
"ABCF1",28,21
"ABCF2",5,9
"ABCF3",16,14
"ABCG1",23,9
"ABCG2",3,0
"ABCG4",13,5
"ABCG5",0,0
"ABCG8",0,0
"ABHD1",0,0
"ABHD10",7,17
"ABHD11",1,7
"ABHD12",23,38
"ABHD12B",1,0
"ABHD13",4,8
"ABHD14A",0,3
"ABHD14A-ACY1",0,0
"ABHD14B",13,17
"ABHD15",36,25
"ABHD16A",1,2
"ABHD16B",1,2
"ABHD17A",73,111
"ABHD17B",3,11
"ABHD17C",26,37
"ABHD2",179,110
"ABHD3",41,25
"ABHD4",4,12
"ABHD5",6,28
"ABHD6",4,4
"ABHD8",1,0
"ABI1",52,82
"ABI2",8,17
"ABI3",4,5
"ABI3BP",0,0
"ABL1",12,19
"ABL2",23,6
"ABLIM1",238,324
"ABLIM2",96,102
"ABLIM3",138,88
"ABO",17,8
"ABR",77,51
"ABRA",0,0
"ABRACL",24,15
"ABT1",18,22
"ABTB1",4,2
"ABTB2",27,12
"ACAA1",257,166
"ACAA2",5,3
"ACACA",15,25
"ACACB",0,7
"ACAD10",0,3
"ACAD11",2,1
"ACAD8",13,16
"ACAD9",55,56
"ACADL",0,0
"ACADM",29,61
