"GENE_SYMBOL","GSM5512434","GSM5512437","GSM5512443","GSM5512446","GSM5512449","GSM5512452","GSM5512455","GSM5512458"
"A1BG",4,4,16,61,2,16,31,242
"A1CF",0,0,1,0,0,1,6,817
"A2M",4592,52338,35197,21857,41117,13055,110933,29394
"A2ML1",45,33,425,300,370,276,7448,651
"A3GALT2",4,27,10,37,19,22,48,23
"A4GALT",3671,337,611,1725,919,554,2118,7199
"A4GNT",1,4,2,0,0,0,15,2
"AAAS",3024,6562,7038,4699,4183,3241,7423,8924
"AACS",13125,1345,40214,9876,2676,3242,6651,1886
"AADAC",2,50,0,10,38,5,21,674
"AADACL2",3,1,66,10,352,6,379,0
"AADACL3",1,0,0,0,0,0,1,0
"AADACL4",4,0,0,12,1,0,0,0
"AADAT",6,1506,296,1301,106,54,563,65
"AAGAB",172,1574,945,713,800,504,1445,1146
"AAK1",1105,6077,13923,6579,13961,5076,38800,17830
"AAMDC",80,439,151,191,121,119,564,200
"AAMP",5079,10470,5073,6072,3858,2755,6470,3920
"AANAT",9,8,5,11,11,10,16,2
"AAR2",467,4408,1172,2466,939,584,1249,1737
"AARD",0,527,4,4,3,93,6,0
"AARS2",3363,3115,5308,3147,4895,4290,5969,2905
"AARSD1",156,1167,885,865,733,585,1163,1254
"AASDH",193,2543,2696,1273,1720,836,3304,2100
"AASDHPPT",415,1532,1230,729,897,470,1099,1103
"AASS",162,2043,1990,3059,2918,1161,7280,4852
"AATF",2511,4084,3399,3444,2867,2659,6427,4643
"AATK",219,1220,392,739,241,530,621,501
"ABAT",206,286,937,625,605,583,846,1745
"ABCA1",3120,19064,13210,15938,17405,14904,31187,16682
"ABCA10",141,2664,2070,115,3128,1187,11809,775
"ABCA12",51,322,404,142,126,26,751,1190
"ABCA13",171,2392,794,1728,32463,2513,46561,18978
"ABCA2",41138,32021,57817,19748,12586,10034,23896,7288
"ABCA3",2018,21594,7244,5837,29089,47704,58387,87080
"ABCA4",54,429,72,59,29,55,149,126
"ABCA5",49,6399,2588,628,3763,1471,6836,2259
"ABCA6",115,870,1389,40,2141,787,9719,1297
"ABCA7",13866,14422,14292,21811,15197,9657,22489,19209
"ABCA8",249,823,615,432,1618,534,11150,1491
"ABCA9",316,1408,2444,342,2990,1676,13802,1627
"ABCB1",44,244,313,310,784,139,1823,706
"ABCB10",717,2134,1992,1352,1790,1354,2506,3081
"ABCB11",10,233,83,210,61,157,369,2459
"ABCB4",22,612,297,151,401,187,1588,1440
"ABCB5",2,13,12,14,3,7,98,15
"ABCB6",377,1624,1446,2425,732,429,888,780
"ABCB7",553,6289,4817,2355,3781,1802,6645,5112
"ABCB8",1435,2587,2485,2314,1388,1109,2576,3158
"ABCB9",3106,3066,3962,2878,1834,1961,3625,1766
"ABCC1",12995,19111,43433,46241,49208,31789,71555,95185
"ABCC10",2133,5201,4963,5110,3148,2229,4413,5854
"ABCC11",28,188,18,36,38,27,60,16
"ABCC12",2,3,0,1,0,0,2,1
"ABCC2",167,203,582,308,343,105,722,2727
"ABCC3",841,3499,1922,534,1853,2650,2815,3930
"ABCC4",2386,10629,4983,508,5192,8299,8080,3609
"ABCC5",3618,17540,20396,15750,8925,5138,18800,30752
"ABCC6",32,1501,151,55,50,121,216,1937
"ABCC8",46,328,159,278,8,56,135,2
"ABCC9",98,3836,2580,813,3007,1407,22498,1147
"ABCD1",2571,8009,4102,2141,2096,1580,1870,2690
"ABCD2",13,210,142,1,1050,481,2865,340
"ABCD3",221,5245,2166,1795,1779,840,3278,2031
"ABCD4",1234,12533,4274,8024,4211,2863,8306,6263
"ABCE1",606,10008,8655,4102,7600,3695,10378,5544
"ABCF1",5695,14377,11128,15031,9479,7132,10967,13660
"ABCF2",2662,7456,6809,5286,4700,2928,7365,10111
"ABCF3",1896,4789,3270,3929,2798,1919,4549,5624
"ABCG1",919,2004,1391,3791,3106,3975,4296,13076
"ABCG2",28,429,183,292,219,29,773,242
"ABCG4",6,65,11,32,3,1,52,5
"ABCG5",1,1,22,6,2,1,2,600
"ABCG8",9,6,32,6,0,1,2,626
"ABHD1",1,90,6,12,9,13,28,32
"ABHD10",31,1653,531,257,680,305,1424,602
"ABHD11",1185,1604,1682,2268,545,920,576,3063
"ABHD12",1364,3004,1841,4440,1918,1111,2517,3334
"ABHD12B",0,52,1,0,0,0,3,0
"ABHD13",74,1211,1065,423,1026,509,1504,761
"ABHD14A",102,303,250,350,235,182,431,122
"ABHD14A-ACY1",17,20,25,81,37,15,43,45
"ABHD14B",250,480,680,709,445,255,768,424
"ABHD15",612,763,626,414,488,296,942,848
"ABHD16A",448,926,698,897,799,576,874,860
"ABHD16B",8,19,12,2,7,7,44,13
"ABHD17A",873,2529,1512,2057,1397,864,1673,3421
"ABHD17B",123,985,1025,527,611,287,1314,756
"ABHD17C",693,258,380,442,756,1134,746,1417
"ABHD2",684,4974,4057,6503,3945,1831,8434,3348
"ABHD3",355,1138,906,4082,1665,726,2130,2279
"ABHD4",94,1407,299,583,425,299,1323,429
"ABHD5",63,1134,699,919,724,406,1707,754
"ABHD6",244,348,309,152,222,114,554,221
"ABHD8",147,707,196,817,253,204,241,612
"ABI1",1545,5191,12741,7934,6422,3322,9668,8648
"ABI2",2216,5787,4132,6156,3569,1884,8999,3318
"ABI3",975,467,500,275,784,387,599,1169
"ABI3BP",152,1289,874,104,4172,1163,12416,740
"ABL1",6612,16038,10689,17120,7681,7321,19658,17156
"ABL2",1101,8952,8023,6130,7596,4910,20638,8994
"ABLIM1",927,3274,1210,853,3297,1144,10418,18347
"ABLIM2",2501,482,5704,1345,1020,724,2345,7008
"ABLIM3",77,881,354,947,1260,446,4726,1500
"ABO",61,1586,3882,1574,322,35,524,60
"ABR",9945,15107,33660,32615,14087,7393,22456,7671
"ABRA",0,0,0,0,0,7,29,5
"ABRACL",144,232,549,307,392,294,471,1106
"ABT1",800,1122,1490,1292,810,482,1114,1422
"ABTB1",464,1072,871,1783,1063,549,2236,926
"ABTB2",354,1184,788,2518,838,1543,910,2455
"ACAA1",1124,3878,4188,3900,3333,1922,4847,3653
"ACAA2",76,6526,454,4380,782,339,1967,2432
"ACACA",9623,34873,29481,22090,13677,17717,31055,51363
"ACACB",8194,11620,4822,11494,6484,2532,39115,5888
"ACAD10",1668,3042,6875,4870,3561,3520,6462,6832
"ACAD11",202,764,540,877,419,226,1020,512
"ACAD8",342,1532,1478,1818,918,572,1791,1799
"ACAD9",1947,7787,4565,6255,4096,2024,5327,5084
"ACADL",7,1929,118,69,53,9,381,143
"ACADM",785,3554,4542,2745,3719,1462,4004,2108
"ACADS",4308,1342,2319,1026,736,878,2130,2832
"ACADSB",43,1653,1459,762,1331,402,1667,4991
"ACADVL",21274,44884,41488,56483,35287,13490,56795,30915
"ACAN",217,6824,828,3236,296,331,4297,614
"ACAP1",198,1044,633,87,3669,1303,6691,2303
"ACAP2",856,6300,4449,3345,4655,1881,7752,5012
"ACAP3",2617,3037,8232,7494,3300,2170,5229,1319
"ACAT1",555,5796,2055,987,1626,650,3618,2970
"ACAT2",325,2668,1971,2699,1930,805,2619,2455
"ACBD3",1870,3537,4364,2760,3786,1958,6831,2872
"ACBD4",638,585,473,493,438,410,831,918
"ACBD5",566,1660,1175,1087,976,591,1400,1144
"ACBD6",671,2309,2510,1735,1595,1058,2521,2337
"ACBD7",16,220,52,139,14,29,68,189
"ACCS",952,1463,1790,1299,1466,1131,2758,991
"ACCSL",0,14,0,1,1,0,0,0
"ACD",338,1022,516,1983,529,357,1075,1359
"ACE",281,4660,734,1687,973,689,1932,711
"ACE2",1,59,16,2,73,8,159,15
"ACER1",5,2,8,12,4,0,25,5
"ACER2",36,57,198,184,118,24,332,129
"ACER3",11,539,288,393,683,380,994,794
"ACHE",72,385,235,456,1930,6110,2719,511
"ACIN1",13146,23871,33605,32005,22111,17934,45281,22593
"ACKR1",67,141,335,59,2304,368,3394,83
"ACKR2",11,371,79,23,78,71,286,207
"ACKR3",148,1251,560,497,587,894,3380,11019
"ACKR4",10,73,111,8,70,29,289,13
"ACLY",7085,29645,18704,21682,12756,11780,23815,26552
"ACMSD",0,3,6,0,0,0,9,308
"ACO1",192,10446,1949,921,1574,992,6701,2434
"ACO2",12420,11706,19205,20255,9426,7268,14163,12389
"ACOT1",95,393,98,215,135,102,259,173
"ACOT11",4143,2718,3636,3137,389,509,1525,4605
"ACOT12",1,2,14,0,8,1,15,187
"ACOT13",19,987,273,238,503,292,784,467
"ACOT2",639,2143,796,643,949,507,674,1049
"ACOT4",1,612,67,100,43,29,112,197
"ACOT6",0,0,1,0,0,0,0,0
"ACOT7",1033,3854,1458,2867,1061,561,955,1585
"ACOT8",1169,6129,2899,4573,1727,1277,3001,2822
"ACOT9",232,2625,759,1597,1217,429,2202,1520
"ACOX1",2676,14519,7141,7064,5963,2971,8619,11785
"ACOX2",60,853,327,192,344,195,1732,1491
"ACOX3",738,2499,3035,4586,2810,1572,4802,5269
"ACOXL",24,932,70,51,263,117,237,25
"ACP1",707,3044,3960,4277,2007,1475,4114,4800
"ACP2",1367,4318,3217,3049,4288,2650,3040,4622
"ACP5",596,2867,441,238,2440,1310,1804,3698
"ACP6",166,1747,1733,1212,650,347,1381,1347
"ACR",97,89,79,127,80,100,207,11
"ACRBP",91,491,306,577,143,176,388,187
"ACRV1",0,13,3,6,0,8,11,50
"ACSBG1",48,1397,67,24,20,2,41,3
"ACSBG2",2,1,9,0,1,2,11,12
"ACSF2",990,5162,444,1757,463,465,1214,2687
"ACSF3",808,2515,3862,3695,1538,829,2538,1553
"ACSL1",3987,6557,10731,5098,12635,3113,26020,10597
"ACSL3",1523,13143,5132,2504,4485,3703,7948,5484
"ACSL4",391,3543,4620,910,6741,2928,10675,5352
"ACSL5",138,1032,2469,1550,2844,903,2749,1378
"ACSL6",8,322,283,2,128,31,328,38
"ACSM1",29,15,292,9,28,69,87,206
"ACSM2A",0,4,0,0,0,1,0,1669
"ACSM2B",0,0,3,0,0,4,4,1045
"ACSM3",86,1161,1622,167,515,683,1099,1215
"ACSM4",0,0,0,0,0,0,0,0
"ACSM5",22,22,88,7,66,27,166,826
"ACSM6",7,4,2,0,0,7,25,2
"ACSS1",3308,4698,12377,6321,6730,2254,6896,4539
"ACSS2",296,5585,1617,15464,1080,589,2610,1674
"ACSS3",63,315,31033,85,235,141,1315,1564
"ACTA1",45,898,106,63,33,124,166,102
"ACTA2",5042,9408,26448,7842,12517,12221,94496,17468
"ACTB",155655,223235,241137,202546,201723,228383,538685,320678
"ACTBL2",1,13,0,5,0,0,1,0
"ACTC1",16,831,31,129,7,35,1229,132
"ACTG1",79870,190841,162290,139100,62484,67555,161795,82119
"ACTG2",303,1297,648,717,505,289,7088,820
"ACTL10",299,101,185,154,22,12,35,114
"ACTL6A",437,5149,3528,3948,2870,1192,4725,6033
"ACTL6B",0,7,4,0,2,4,0,1
"ACTL7A",1,0,0,0,0,6,1,0
"ACTL7B",3,4,1,12,7,5,2,5
"ACTL8",9,23,85,327,1,5,14,0
"ACTL9",0,0,0,0,0,1,1,0
"ACTN1",4162,39835,19940,23117,13344,10699,48986,18128
"ACTN2",42,1163,190,74,373,406,218,235
"ACTN3",14,141,17,10,17,43,39,20
"ACTN4",23451,43033,68519,77228,33437,22943,66228,53722
"ACTR10",342,6074,2353,1275,1571,789,2351,1173
"ACTR1A",2076,5922,4503,4887,3643,2468,5099,6086
"ACTR1B",2407,4409,3938,4484,2390,1668,4788,4619
"ACTR2",2637,17056,22271,6305,17237,7916,25623,19641
"ACTR3",2055,8909,15856,6677,16335,8806,25971,9112
"ACTR3B",207,1083,880,1077,532,596,1073,990
"ACTR3C",147,456,1162,2508,2314,515,2455,1276
"ACTR5",137,2800,608,1475,678,286,900,972
"ACTR6",96,612,1274,678,605,298,930,831
"ACTR8",206,1083,1286,2453,1398,801,2762,1198
"ACTRT1",1,1,19,0,8,34,4,0
"ACTRT2",0,7,0,4,0,4,0,0
"ACTRT3",9,263,171,23,96,34,165,219
"ACVR1",326,3449,3309,1718,3325,1981,6591,2387
"ACVR1B",851,2142,5647,4743,2170,1850,3681,5761
"ACVR1C",5,790,100,22,737,537,956,176
"ACVR2A",107,2039,1284,579,1392,787,3094,1226
"ACVR2B",1207,1442,2871,5355,1008,1045,1906,2517
"ACVRL1",355,2234,944,1057,1677,979,3751,1340
"ACY1",88,94,289,395,125,131,216,341
"ACY3",4,9,10,0,40,24,42,138
"ACYP1",221,2117,1277,2217,1097,572,1850,1062
"ACYP2",72,693,515,230,295,183,482,163
"ADA",80,1433,1605,250,5182,6699,5397,1472
"ADAD1",1,5,0,0,0,1,6,1
"ADAD2",65,8,81,27,8,3,48,4
"ADAL",9,605,187,308,152,67,277,179
"ADAM10",5412,7123,27577,8867,9440,3507,13564,7116
"ADAM11",613,1275,653,390,96,68,336,178
"ADAM12",406,5539,5724,2038,5294,9491,28911,1792
"ADAM15",9474,9291,15277,12671,18972,6025,21558,10242
"ADAM17",1917,7616,8439,7042,7723,4104,14198,7600
"ADAM18",2,0,5,0,1,0,0,0
"ADAM19",14056,8891,17376,2130,25248,188953,30325,24734
"ADAM2",0,2,0,0,1,1,0,0
"ADAM20",95,2569,1828,1048,755,604,2629,2774
"ADAM21",18,178,78,16,12,103,66,36
"ADAM22",304,1884,901,2387,650,480,2926,193
"ADAM23",77,189,8762,1723,2742,8964,6785,3225
"ADAM28",180,3957,1522,115,7567,1362,13418,6041
"ADAM29",2,11,3,0,0,6,12,0
"ADAM30",0,0,1,0,0,1,10,4
"ADAM32",24,605,172,29,62,24,375,363
"ADAM33",200,1011,492,34,205,668,2890,153
"ADAM7",2,7,0,0,0,19,12,3
"ADAM8",8576,1836,9604,11114,10506,8500,10449,10032
"ADAM9",1432,26116,7988,3592,6736,5310,16090,8077
"ADAMDEC1",17,81,245,7,2232,1100,581,970
"ADAMTS1",1282,15656,1424,2910,6969,2307,30054,2240
"ADAMTS10",497,494,1325,1139,4355,1093,6922,934
"ADAMTS12",182,2474,2993,245,1307,1223,5631,1105
"ADAMTS13",480,1502,857,2008,606,1102,1607,2222
"ADAMTS14",835,430,2900,1732,1255,1442,3335,2166
"ADAMTS15",73,179,211,140,395,88,1390,95
"ADAMTS16",37,151,244,28,167,367,1735,11
"ADAMTS17",3269,5535,6007,3064,1322,2790,2216,16346
"ADAMTS18",48,688,53,85,617,63,2381,1797
"ADAMTS19",4,60,82,3,3,12,63,408
"ADAMTS2",1143,20562,7518,2849,4154,3935,14121,4051
"ADAMTS20",7,1654,1190,77,1138,602,3671,3485
"ADAMTS3",21,360,190,269,294,678,1225,57
"ADAMTS4",1255,3238,1459,1227,3742,2168,7460,1614
"ADAMTS5",190,538,593,266,409,404,1899,1057
"ADAMTS6",28,402,574,162,509,655,3181,450
"ADAMTS7",762,1557,1859,1055,604,779,2637,660
"ADAMTS8",33,242,38,9,124,214,424,159
"ADAMTS9",545,2368,1556,1418,6507,1393,22766,13457
"ADAMTSL1",159,170,994,232,979,1052,3209,295
"ADAMTSL2",393,3863,2912,2080,1174,882,4323,1521
"ADAMTSL3",52,2804,608,1385,637,205,1481,297
"ADAMTSL4",301,950,419,271,955,722,2163,1032
"ADAMTSL5",2,100,51,91,34,16,45,519
"ADAP1",203,39,95,116,26,22,44,43
"ADAP2",274,807,1130,596,940,794,1489,822
