"GENE_SYMBOL","GSM6935515--Patient1","GSM6935517--Patient3","GSM6935519--Patient4","GSM6935521--Patient14","GSM6935523--Patient16","GSM6935524--Patient18","GSM6935525--Patient19","GSM6935526--Patient20","GSM6935527--Patient21","GSM6935529--Patient23","GSM6935530--Patient24","GSM6935532--Patient25","GSM6935533--Patient27","GSM6935534--Patient28","GSM6935536--Patient31"
"A1BG",23,11,41,2,407,17,20,57,6,52,269,18,41,68,9
"A1CF",0,0,2,1,14039,0,348,6,0,2358,3934,2,11,0,12
"A2M",28545,44179,36200,9621,61710,51777,11172,14522,15751,36569,40332,14978,203872,63872,503
"A2ML1",6552,113,186,264,4822,6486,7862,1014,143522,3670,35230,2585,13,370,292
"A3GALT2",3,1,1,15,2,1,1,3,0,2,3,4,7,1,5
"A4GALT",399,407,1351,89,1907,1589,3205,581,1337,1462,508,2190,1759,1658,837
"A4GNT",81,0,0,0,0,0,0,0,6,1,0,0,0,1,2
"AAAS",1916,1093,1758,491,1656,1697,2390,8382,1875,3156,2033,1736,2809,2896,1128
"AACS",1360,831,2090,1340,2531,3234,2014,10134,2956,3617,2615,1653,2314,3200,1512
"AADAC",0,157,5,0,3331,1,111,50,454,848,1447,603,0,1,2
"AADACL2",0,8,0,3,2,0,0,4,0,0,1,4,2,0,0
"AADACL3",0,0,0,0,0,3,0,0,0,0,0,0,37,0,0
"AADACL4",0,0,2,2,0,0,0,0,0,0,0,0,0,2,0
"AADAT",145,286,148,73,1107,3556,697,3085,379,1599,552,572,423,56,283
"AAGAB",1859,3388,1938,2114,4518,3925,6891,10137,4303,6405,4534,3116,2386,5626,1239
"AAK1",9540,5061,7642,2853,11431,27420,19076,25469,15156,21836,13657,6609,13942,16292,6560
"AAMDC",295,629,299,107,588,523,646,501,425,423,540,607,850,959,106
"AAMP",2775,3747,3638,2302,5912,5261,5072,12193,6647,3789,12154,2588,3485,6302,673
"AANAT",0,1,1,1,0,1,1,30,0,1,0,0,7,1,0
"AAR2",1520,1507,1735,664,1801,2992,2157,5221,2475,3229,5673,2147,2060,3294,941
"AARD",35,0,78,5,0,173,25,58,0,1,0,7,90,22,0
"AARS2",2007,1363,1789,463,1217,1712,2334,3585,2132,1667,3694,1597,1595,2505,785
"AARSD1",258,117,208,65,101,232,138,516,153,382,141,133,321,266,97
"AASDH",680,419,777,687,1448,1523,1024,2657,625,1826,1480,1228,1565,1683,527
"AASDHPPT",1019,1173,1710,523,2414,2798,2978,5845,1733,4888,2006,1433,1730,4108,575
"AASS",546,872,410,82,2325,612,723,7015,511,542,1283,1831,3085,1214,165
"AATF",3938,3251,4814,2008,2845,5653,7709,12381,5127,8985,15463,3519,3429,10189,1632
"AATK",28,58,202,84,70,152,21,162,81,62,33,108,226,230,95
"ABAT",892,2214,1343,364,16543,825,8065,1124,1540,4223,3510,459,827,2281,905
"ABCA1",15895,9550,9010,3344,12897,58347,27177,36508,23614,32037,16305,12630,21531,15775,5270
"ABCA10",186,51,147,57,483,103,555,87,129,537,194,368,4313,111,432
"ABCA12",337,610,290,482,3061,6738,1175,222,11,131,309,1659,47,1348,1392
"ABCA13",7414,520,38,217,732,156,36,6069,1090,69,11,2045,6,2,20
"ABCA2",5909,2444,2816,1144,2148,5198,8680,4135,3790,1634,7349,1190,6295,6072,4831
"ABCA3",2743,1175,1448,736,166,7432,231,4549,3261,253,27245,2559,1392,2278,54
"ABCA4",47,12,507,25,31,23,154,127,37,29,22,131,78,208,169
"ABCA5",1646,389,839,623,3656,2314,1783,1830,945,2057,1866,3016,2861,2346,6080
"ABCA6",745,624,1178,145,5918,619,384,357,573,1703,1371,782,8499,1489,253
"ABCA7",3588,774,2837,967,625,1273,1194,1252,900,825,1203,2299,1895,5398,1247
"ABCA8",187,80,368,26,2731,63,129,57,39,644,761,318,6131,117,177
"ABCA9",614,457,202,95,1176,408,152,222,362,465,237,434,5428,589,43
"ABCB1",1101,448,656,124,774,228,27690,568,328,575,777,265,992,2211,22
"ABCB10",962,879,1169,280,2027,3120,2342,2701,1204,1484,3028,1216,1575,3430,1378
"ABCB11",21,2,46,5,4469,0,154,28,1,1132,1559,7,64,153,0
"ABCB4",149,148,1333,54,3639,174,395,1125,174,883,2445,86,432,1936,21
"ABCB5",2,0,1,58,3,15,12,4,0,2,0,1,21,3,1
"ABCB6",66,18,99,36,109,79,55,224,76,124,140,64,213,257,131
"ABCB7",1239,980,1410,553,1683,2281,1426,2249,936,1857,8953,1653,1659,3132,728
"ABCB8",1538,873,1269,1043,963,1837,2507,4661,1316,2659,3426,1293,1832,2568,795
"ABCB9",1082,412,518,240,325,614,1736,1794,940,801,1671,800,447,1109,607
"ABCC1",7849,2645,9443,1445,5710,7320,5367,22136,9714,11821,36676,6301,7567,13726,211
"ABCC10",2936,1495,2154,483,1198,2246,1572,3187,2636,2642,2291,1731,2672,2808,1532
"ABCC11",7,26,32,2393,113,52,26,38,86,89,20,30,32,30,46
"ABCC12",1,0,0,395,0,1,0,40,0,2,0,0,0,1,2
"ABCC2",89,10,98,493,3046,58,451,105,28,624,1718,45,223,267,101
"ABCC3",6759,5189,1712,1096,7383,10186,870,965,3266,12921,2058,3139,2058,4478,71
"ABCC4",3362,3964,1817,549,5176,1124,315,5656,8596,12939,21608,1445,3238,2837,147
"ABCC5",2693,5142,2286,1814,4841,2635,10127,22526,1995,7391,3938,10476,9837,6699,1769
"ABCC6",28,11,32,48,2194,45,80,41,4,529,1226,170,499,10,5
"ABCC8",0,1,20,57,0,1,0,583,2,9,1,9,32,2,0
"ABCC9",848,1587,1345,662,3703,2120,560,403,362,858,973,633,17146,1588,30
"ABCD1",1489,850,1175,423,649,1793,770,1140,1665,677,4490,818,1198,1701,497
"ABCD2",641,223,635,74,50,288,11,447,258,27,128,116,1210,1783,26
"ABCD3",2011,1368,2519,1725,12444,10874,10227,6129,15218,12629,5053,5777,2819,4179,1574
"ABCD4",1992,1270,2223,538,1972,1576,1953,7207,1642,3008,2548,2384,3744,3737,1578
