"GENE_SYMBOL","GSM3036125","GSM3036126","GSM3036127","GSM3036128","GSM3036129","GSM3036130","GSM3036131","GSM3036132","GSM3036133","GSM3036134","GSM3036135"
"OR4F5",3.991639464,4.060425745,4.591062777,4.291371133,3.913483239,4.449556764,3.887118967,4.423192492,3.883546735,4.581236166,4.109558804
"OR4F29",4.692976884,5.373977012,5.342546237,5.139046969,5.172058616,5.493922171,5.155552792,6.030361431,5.373977012,4.97585386,5.573038588
"SAMD11",4.737944031,4.708582617,4.777092583,4.760556546,4.7168178,4.725565549,4.725565549,4.874277285,4.728156893,4.845602548,4.894538238
"KLHL17",3.884336268,3.931455777,3.9196759,3.968553526,3.97636501,3.906061648,4.070102826,3.890438679,3.955015531,3.955015531,3.978575285
"PLEKHN1",4.739277934,4.787459862,4.797096248,4.805705517,4.894968736,4.921747701,4.778926552,4.752147587,4.83564179,4.806732633,4.999460346
"ISG15",3.954035028,4.114600737,4.137538695,4.499183241,4.297632084,4.072825024,3.723986483,4.072825024,3.965504007,3.91962809,3.713186464
"AGRN",4.458116367,4.47048939,4.359132182,4.396367987,4.820839822,4.357779639,4.496697694,4.242014593,4.420997297,4.433370321,4.359132182
"TTLL10",4.210136187,4.251093612,4.31252975,4.327220612,4.259439976,4.250967396,4.352638351,4.267912555,4.322769107,4.271572325,4.302290394
"B3GALT6",3.251348931,3.471761566,3.301442712,3.474258287,3.456958414,3.431008604,3.301259556,3.154210634,3.441705298,3.471761566,3.131123858
"SCNN1D",4.415984343,4.405904774,4.46638219,4.417087766,4.400251774,4.45075975,4.400251774,4.551775702,4.486541329,4.335347788,4.345427357
"PUSL1",4.202600199,4.150290262,4.139828275,4.171113597,4.18768539,4.179399494,4.071682837,4.229114874,4.097980326,4.192138211,4.077056351
"TAS1R3",4.101454016,3.972990734,3.809492012,3.88633438,3.981385853,3.981385853,4.290303142,3.783361951,3.937955294,3.902919853,4.008026175
"TMEM88B",3.841041296,3.969476663,3.801522721,4.030164434,3.828933476,3.863930164,3.933923541,3.89017768,4.018874881,3.85092094,3.939837732
"VWA1",4.059697833,4.059697833,4.082757448,4.105969989,4.082126904,3.954963783,4.280819281,3.978806868,3.909810335,4.082757448,4.117346871
"ATAD3C",4.342689787,4.052692607,4.008753641,4.187140146,4.139154855,4.081572504,4.033587213,4.100766621,4.114207161,4.140570541,4.27238744
"ATAD3B",4.509164099,4.485237729,4.521127284,4.535173439,4.582149314,4.433392375,4.543002751,4.464709626,4.557016838,4.521127284,4.545053653
"ATAD3A",4.439867704,4.273155527,4.155476343,4.262839564,4.2885643,4.031316941,4.168515532,4.11706606,4.135863146,4.233929132,4.175089541
"MIB2",4.856490908,4.965363498,4.976250757,4.93768346,5.003373638,4.921260915,5.060852544,4.871993282,4.965363498,5.019799794,4.921814462
"MMP23B",3.982927328,3.890017045,3.843561903,3.96374341,3.924394049,4.160490212,3.869304944,3.908654305,3.971313543,3.890017045,3.982927328
"CALML6",6.017309608,5.21856959,5.655214133,5.492585814,5.26269488,5.574689719,5.229853318,6.050892367,5.644564266,5.80431227,5.570015198
"GABRD",3.959082934,4.113396142,4.016950387,4.066701447,4.146531275,4.217491122,4.252971046,4.040091505,4.190552746,4.190552746,4.238775624
"PRKCZ",4.766532626,4.747234943,4.891967565,4.759212367,4.865030875,4.723939532,4.812121621,4.838576248,4.776181467,4.853372199,4.901616406
"SKI",4.729380725,4.881603906,4.729380725,4.695722922,4.789892356,4.575870916,4.789892356,4.567310058,4.658343241,4.668491453,4.55686112
"RER1",4.696544007,4.719857358,4.731514034,4.709294077,4.8681451,4.637811117,4.701351526,4.478960094,4.545007219,4.754827386,4.684887331
"PLCH2",4.19525889,4.228589565,4.15081799,4.23742728,4.23742728,4.166094893,4.118539969,4.166094893,4.228589565,4.228589565,4.23969979
"TNFRSF14",4.576081673,4.848028471,4.88986644,4.750597197,5.01864496,4.683585257,4.742220705,4.691961749,4.785271518,4.732974056,4.638838626
"FAM213B",5.102107118,4.939068057,5.14046925,4.903769795,5.09393321,4.825975671,5.09393321,5.076645627,4.910296458,5.14046925,5.293917778
"ACTRT2",4.545416393,4.443425175,4.545416393,4.574110384,4.454122221,4.606107228,4.678100126,4.606107228,4.525018149,4.596412002,4.412827809
"PRDM16",5.094513386,4.830002979,4.905577381,4.851753552,4.878387745,4.967168387,5.073705157,4.984924515,5.018938984,5.066172986,5.103960187
"ARHGEF16",4.310098724,4.230497919,4.379749428,4.329994489,4.21959656,4.279041598,4.406423824,4.32150234,4.359849227,4.39964963,4.419549831
"TPRG1L",4.97698965,5.435004278,5.129661193,5.009349392,5.690327052,4.953920978,5.254818083,5.001431047,5.141405158,5.282332736,5.211868947
"TP73",4.406127982,4.425450807,4.444773632,4.510807558,4.404671592,4.555030877,4.440050247,4.404671592,4.580033408,4.454435045,4.338498094
"CCDC27",4.284835443,4.129844676,4.284835443,4.185412802,4.194770508,4.185412802,4.353851515,4.288347571,4.230132819,4.166313091,4.48541173
"SMIM1",4.803315341,4.687651339,5.034643344,4.740330373,5.284495413,4.834967771,5.032129018,4.834967771,4.884280142,4.918979342,4.907412942
"DFFB",4.804202799,5.363509435,5.215768059,5.142171979,5.317296232,5.158850479,5.367331732,4.708530973,5.247426926,4.909732353,4.973050085
"AJAP1",4.104205061,3.903318498,3.96675636,3.979070826,3.912488319,3.970748012,4.137204278,3.937456759,4.051340176,4.051340176,3.96675636
"KCNAB2",4.324999443,4.380893501,4.414429936,4.362447114,4.507919349,4.338201741,4.402856068,4.354365323,4.324999443,4.425608747,4.414429936
"RNF207",4.559493367,4.353872355,4.530118937,4.534060826,4.516778716,4.387162887,4.404444998,4.542701882,4.52032746,4.559493367,4.569284844
"HES3",3.741714512,3.866822957,3.753088007,3.801865841,3.801865841,3.986420214,3.761745325,3.785817634,3.844075967,3.866822957,3.821328977
"ESPN",4.302676711,4.231161778,4.240101145,4.312090904,4.312090904,4.283318649,4.244955642,4.264137145,4.374191644,4.311616078,4.222222412
"TAS1R1",4.020407493,3.97383256,3.962188827,3.969912066,3.977689894,4.08657948,4.016579032,4.02435686,3.985476293,4.00876376,4.00876376
"ZBTB48",4.607990323,4.44310319,4.646787295,4.564185104,4.644083469,4.564185104,4.519797124,4.706226642,4.56919335,4.59829108,4.704982753
"PHF13",4.499999469,4.53442545,4.568851431,4.388253185,4.737962785,4.459784694,4.650535385,4.229294276,4.431147508,4.293443586,4.304918913
"THAP3",4.291111916,4.454492222,4.490798957,4.436453258,4.474186974,4.408152971,4.332685539,4.398719542,4.291111916,4.427262171,4.47264559
"CAMTA1",4.547695497,4.57096044,4.640755269,4.624759327,4.680397141,4.5134837,4.553224996,4.5134837,4.559327968,4.524430554,4.582592911
"VAMP3",4.716369808,5.043148119,4.411376718,4.465419869,5.217542333,4.60439902,5.004985985,4.25286352,4.836188522,4.313343225,4.367806276
"PER3",4.380384809,4.28440458,4.293130056,4.285899009,4.325334207,4.285899009,4.315475407,4.345051806,4.205875303,4.249502679,4.41528671
"PARK7",5.249375613,5.109342038,4.782597031,4.871746412,5.51364465,4.808349055,5.267979892,4.586458306,4.759258102,4.840944353,4.980977928
"SLC45A1",4.528051294,4.316444643,4.383774032,4.45423367,4.365537938,4.330059646,4.551798974,4.347798792,4.335681612,4.499195842,4.585762199
"CA6",4.356067983,4.115808958,4.396111153,4.442046529,4.199811888,4.329580446,4.294975497,4.424744055,4.356067983,4.34605719,4.366078775
"H6PD",4.878555885,4.672399948,4.794219365,4.89133414,4.774261019,4.693210396,4.765255394,4.837300391,4.80359009,4.859814436,4.972263129
"SPSB1",4.186631047,4.197061976,4.165769187,4.099558212,4.293439342,4.158565512,4.226002427,4.133276669,4.124045467,4.311802206,4.124045467
"SLC25A33",4.553886509,4.666865711,4.348469777,4.790844282,4.604021538,4.383231022,4.502118223,4.417198794,4.481990653,4.564157346,4.800386587
"TMEM201",4.065054052,4.021146666,4.087007745,4.208813844,4.033461847,4.328372023,4.065344028,3.945785849,4.185799364,3.87844766,3.977239279
"PIK3CD",4.785463458,4.795276696,4.863969362,4.859306067,4.824341318,4.806858944,4.754411822,4.728188261,4.805089934,4.716770792,4.706957554
