"GENE_SYMBOL","GSM4673094--P2","GSM4673095--P2","GSM4673096--P2","GSM4673106--P7","GSM4673113--P23","GSM4673114--P23"
"A1BG",0,0,0,29,0,0
"A1CF",39,47,51,132,26,35
"A2M",46,24,12,204,36,46
"A2ML1",2,3,0,0,0,0
"A3GALT2",0,0,0,0,0,0
"A4GALT",19,14,4,13,0,3
"A4GNT",0,0,0,0,0,0
"AAAS",4,12,9,10,2,7
"AACS",31,27,18,22,6,16
"AADAC",0,0,0,49,0,0
"AADACL2",0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0
"AADAT",5,7,6,5,7,3
"AAGAB",34,24,11,9,12,17
"AAK1",11,16,16,23,4,12
"AAMDC",85,51,102,52,7,9
"AAMP",193,233,161,101,106,134
"AANAT",0,0,0,0,0,2
"AAR2",505,775,520,410,194,295
"AARD",0,0,1,0,0,0
"AARS2",13,29,26,37,13,19
"AARSD1",2,2,6,3,1,3
"AASDH",18,4,10,4,4,6
"AASDHPPT",23,24,22,24,13,14
"AASS",0,0,0,2,0,0
"AATF",39,9,31,22,18,2
"AATK",14,43,24,67,20,17
"ABAT",25,12,21,174,5,3
"ABCA1",9,1,8,15,5,9
"ABCA10",1,0,0,2,2,0
"ABCA12",0,2,2,0,0,0
"ABCA13",2,0,0,0,0,4
"ABCA2",8,18,6,35,42,70
"ABCA3",5,17,3,4,1,0
"ABCA4",0,0,0,0,0,0
"ABCA5",2,4,3,4,9,7
"ABCA6",1,0,0,13,0,0
"ABCA7",9,51,38,51,10,27
"ABCA8",0,0,0,5,2,6
"ABCA9",0,0,1,6,1,0
"ABCB1",171,60,44,54,43,112
"ABCB10",11,7,13,7,4,2
"ABCB11",0,0,0,15,0,0
"ABCB4",1,2,0,9,0,0
"ABCB5",0,0,0,0,0,0
"ABCB6",2,11,9,6,0,1
"ABCB7",26,12,7,14,6,7
"ABCB8",87,98,48,170,55,64
"ABCB9",10,9,6,15,1,11
"ABCC1",24,52,59,18,10,23
"ABCC10",45,56,36,66,33,57
"ABCC11",0,0,1,0,0,0
"ABCC12",0,0,0,0,0,0
"ABCC2",9,3,5,11,0,0
"ABCC3",85,79,28,174,198,260
"ABCC4",15,4,7,8,1,2
"ABCC5",19,25,22,8,13,25
"ABCC6",4,2,3,13,2,1
"ABCC8",0,0,0,0,0,0
"ABCC9",12,3,1,26,3,1
"ABCD1",16,21,12,50,9,21
"ABCD2",0,0,0,0,0,0
"ABCD3",71,42,44,68,50,64
"ABCD4",15,12,15,15,16,12
"ABCE1",414,416,565,293,249,390
"ABCF1",63,57,42,23,32,18
"ABCF2",14,21,13,13,22,9
"ABCF3",38,40,50,28,18,18
"ABCG1",11,14,17,14,4,22
"ABCG2",2,0,0,2,0,0
"ABCG4",0,0,0,1,0,0
"ABCG5",0,1,0,14,0,0
"ABCG8",0,4,0,17,3,0
"ABHD1",0,0,1,1,0,0
"ABHD10",28,29,41,11,11,10
"ABHD11",107,38,42,29,20,39
"ABHD12",48,43,25,48,19,19
"ABHD12B",0,0,0,0,0,0
"ABHD13",10,15,23,19,5,6
"ABHD14A",11,8,3,2,2,8
"ABHD14A-ACY1",0,0,0,0,0,0
"ABHD14B",35,45,17,56,85,73
"ABHD15",95,137,163,127,78,167
"ABHD16A",14,8,7,1,8,6
"ABHD16B",0,0,3,2,0,0
"ABHD17A",67,21,71,40,22,33
"ABHD17B",8,12,5,10,6,1
"ABHD17C",44,47,64,8,28,21
"ABHD2",250,549,170,1358,901,947
"ABHD3",63,65,65,71,54,65
"ABHD4",11,3,2,3,4,4
"ABHD5",13,5,3,0,4,6
"ABHD6",23,20,14,16,4,19
"ABHD8",2,15,4,10,3,0
"ABI1",38,26,61,39,40,35
"ABI2",40,50,21,23,13,33
"ABI3",11,5,0,13,1,4
"ABI3BP",0,2,1,3,7,3
"ABL1",27,34,33,28,37,40
"ABL2",15,32,35,27,14,23
"ABLIM1",100,92,127,61,37,50
"ABLIM2",158,91,138,96,72,102
"ABLIM3",21,24,7,183,12,25
"ABO",33,17,22,8,19,26
"ABR",40,75,53,107,75,84
"ABRA",0,0,0,0,0,0
"ABRACL",68,60,58,45,43,32
"ABT1",46,31,42,19,19,20
"ABTB1",3,9,3,10,20,43
"ABTB2",14,13,11,42,6,12
"ACAA1",263,172,88,265,77,119
"ACAA2",67,39,55,75,41,38
"ACACA",42,11,17,15,8,24
"ACACB",31,52,19,192,20,42
"ACAD10",8,5,7,3,2,6
"ACAD11",0,1,1,0,2,0
"ACAD8",13,10,14,9,14,16
"ACAD9",108,91,63,37,21,43
"ACADL",0,0,0,1,0,0
"ACADM",35,20,21,33,18,22
"ACADS",185,326,242,1030,414,369
"ACADSB",63,81,127,220,55,61
"ACADVL",106,50,65,140,97,65
"ACAN",0,5,4,2,0,3
"ACAP1",7,6,2,14,5,25
"ACAP2",22,30,37,32,30,25
"ACAP3",30,50,20,64,20,26
"ACAT1",64,44,43,177,19,12
"ACAT2",215,268,313,184,67,93
"ACBD3",88,65,107,45,41,40
"ACBD4",1,3,12,17,7,17
"ACBD5",185,243,259,261,243,287
"ACBD6",24,38,19,19,23,14
"ACBD7",2,1,0,2,1,0
"ACCS",6,8,6,37,23,46
"ACCSL",0,0,0,0,0,0
"ACD",8,7,8,9,2,8
"ACE",19,42,42,7,13,12
"ACE2",42,31,69,11,10,4
"ACER1",0,0,0,0,0,0
"ACER2",0,0,0,1,0,1
"ACER3",23,17,16,12,9,13
"ACHE",12,15,3,13,2,7
"ACIN1",182,252,251,216,150,283
"ACKR1",2,0,0,0,0,2
"ACKR2",0,1,0,5,0,0
"ACKR3",154,106,72,28,38,72
"ACKR4",0,1,0,0,0,0
"ACLY",228,134,86,101,70,90
"ACMSD",0,0,0,14,0,0
"ACO1",22,36,48,28,13,22
"ACO2",176,188,203,94,112,107
"ACOT1",0,2,0,1,1,1
"ACOT11",22,10,20,9,28,28
"ACOT12",0,0,0,3,0,0
"ACOT13",17,20,35,28,22,17
"ACOT2",7,13,15,11,6,9
"ACOT4",4,4,1,4,7,6
"ACOT6",0,0,0,0,0,0
"ACOT7",19,20,12,19,9,16
"ACOT8",47,51,45,35,24,14
"ACOT9",12,10,15,12,6,2
"ACOX1",27,34,66,46,15,19
"ACOX2",6,2,1,13,5,2
"ACOX3",10,7,6,1,1,1
"ACOXL",1,0,0,0,1,0
"ACP1",98,85,71,38,53,52
"ACP2",64,30,47,58,12,14
"ACP5",92,51,33,81,7,21
"ACP6",9,11,7,10,12,9
"ACPP",3,1,0,0,1,1
"ACR",0,0,0,0,0,0
"ACRBP",0,0,0,0,2,1
"ACRV1",0,0,0,0,0,0
"ACSBG1",2,7,5,0,0,1
"ACSBG2",0,0,0,0,0,0
"ACSF2",46,37,42,63,44,54
"ACSF3",20,35,27,51,23,20
"ACSL1",21,18,21,56,4,9
"ACSL3",40,41,36,23,24,15
"ACSL4",51,33,49,22,2,14
"ACSL5",125,75,152,84,18,35
"ACSL6",0,0,0,9,3,8
"ACSM1",2,0,4,0,0,0
"ACSM2A",0,0,0,43,0,0
"ACSM2B",0,0,1,84,0,0
"ACSM3",24,15,35,18,29,31
"ACSM4",0,0,0,0,0,0
"ACSM5",0,2,0,18,0,0
"ACSM6",0,0,0,0,0,0
"ACSS1",28,27,23,44,14,27
"ACSS2",137,118,107,64,33,60
"ACSS3",5,1,1,16,0,0
"ACTA1",0,0,1,0,0,1
"ACTA2",795,250,221,156,155,182
"ACTB",2170,3025,1895,3001,1257,2349
"ACTBL2",0,1,0,0,0,0
"ACTC1",0,0,0,0,0,0
"ACTG1",1119,817,1029,1114,698,975
"ACTG2",40,7,3,1,24,57
"ACTL10",44,60,60,11,16,22
"ACTL6A",56,43,39,20,17,26
"ACTL6B",0,0,0,0,0,0
"ACTL7A",0,0,0,0,0,0
"ACTL7B",0,0,0,0,0,0
"ACTL8",4,2,1,2,0,0
"ACTL9",0,0,0,0,0,0
"ACTN1",543,1003,573,954,425,838
"ACTN2",0,0,0,0,0,1
"ACTN3",0,0,0,2,0,0
"ACTN4",339,194,269,308,93,99
"ACTR10",80,46,107,51,43,63
"ACTR1A",97,52,59,52,16,28
"ACTR1B",90,69,90,76,34,78
"ACTR2",1172,1169,1082,798,597,874
"ACTR3",211,136,198,146,55,67
"ACTR3B",10,2,2,2,4,3
"ACTR3C",1,2,4,1,1,0
"ACTR5",16,9,10,12,2,1
"ACTR6",13,10,12,18,10,4
"ACTR8",5,13,5,8,8,10
"ACTRT1",0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0
"ACTRT3",9,4,7,3,1,7
"ACVR1",23,34,30,41,7,13
"ACVR1B",222,236,221,246,158,167
"ACVR1C",9,12,37,11,27,42
"ACVR2A",1,2,6,5,4,4
"ACVR2B",39,53,44,51,19,35
"ACVRL1",79,73,77,28,71,60
"ACY1",17,33,10,13,9,20
"ACY3",3,1,5,3,3,4
"ACYP1",15,11,12,5,5,10
"ACYP2",17,13,12,24,9,10
"ADA",7,9,7,2,0,1
"ADAD1",0,0,0,0,0,0
"ADAD2",0,0,0,0,0,0
"ADAL",0,1,0,1,9,2
"ADAM10",172,149,113,101,86,142
"ADAM11",2,1,1,1,4,0
"ADAM12",5,3,1,0,0,1
"ADAM15",22,54,22,44,37,58
"ADAM17",33,43,26,27,19,21
"ADAM18",0,0,0,0,0,0
"ADAM19",15,13,16,10,9,10
"ADAM2",0,0,0,0,0,0
"ADAM20",0,0,0,1,0,0
"ADAM21",0,0,0,0,0,0
"ADAM22",2,0,1,0,0,2
"ADAM23",1,9,0,3,0,0
"ADAM28",7,18,7,0,1,2
"ADAM29",0,0,0,0,0,0
"ADAM30",0,0,0,0,0,0
"ADAM32",7,2,4,0,0,0
"ADAM33",3,0,1,1,14,3
"ADAM7",0,0,0,0,0,0
"ADAM8",2,7,2,9,5,3
"ADAM9",97,145,116,60,57,89
"ADAMDEC1",25,8,6,8,20,30
"ADAMTS1",22,13,6,18,2,11
"ADAMTS10",1,6,3,21,1,4
"ADAMTS12",5,6,2,6,0,1
"ADAMTS13",6,7,3,8,5,8
"ADAMTS14",1,2,0,1,4,2
"ADAMTS15",3,1,7,4,9,31
"ADAMTS16",1,1,1,3,0,0
"ADAMTS17",13,33,4,9,0,4
"ADAMTS18",0,1,2,0,0,0
"ADAMTS19",0,0,0,0,1,0
"ADAMTS2",27,12,4,55,5,0
